,MFI_daily_60
2000-01-31,44.9820
2000-02-29,53.4439
2000-03-31,50.1117
2000-04-28,53.0103
2000-05-31,46.2256
2000-06-30,48.0789
2000-07-31,53.4731
2000-08-31,60.8560
2000-09-29,61.8135
2000-10-31,48.7439
2000-11-30,52.3510
2000-12-29,49.2579
2001-01-31,45.7195
2001-02-28,45.4627
2001-03-30,50.8576
2001-04-30,67.2765
2001-05-31,62.2469
2001-06-29,64.5007
2001-07-31,48.1645
2001-08-31,54.3087
2001-09-28,52.4604
2001-10-31,58.9287
2001-11-30,60.2400
2001-12-31,51.0935
2002-01-31,55.6857
2002-02-28,53.9194
2002-03-29,0
2002-04-30,45.7256
2002-05-31,44.9485
2002-06-28,49.4132
2002-07-31,49.7509
2002-08-30,53.5600
2002-09-30,56.4743
2002-10-31,60.8861
2002-11-29,59.5152
2002-12-31,49.4133
2003-01-31,40.0922
2003-02-28,41.1111
2003-03-31,55.8978
2003-04-30,60.5082
2003-05-30,62.9766
2003-06-30,57.2585
2003-07-31,65.8415
2003-08-29,59.8843
2003-09-30,44.8917
2003-10-31,39.1497
2003-11-28,41.0212
2003-12-31,47.0166
2004-01-30,49.6769
2004-02-27,43.6373
2004-03-31,47.8018
2004-04-30,55.2566
2004-05-31,0
2004-06-30,66.0084
2004-07-30,59.2596
2004-08-31,54.3917
2004-09-30,53.3600
2004-10-29,54.0440
2004-11-30,47.8091
2004-12-31,43.9953
2005-01-31,43.2871
2005-02-28,47.0458
2005-03-31,45.6167
2005-04-29,52.5773
2005-05-31,54.1532
2005-06-30,58.2571
2005-07-29,57.2075
2005-08-31,52.4940
2005-09-30,49.6431
2005-10-31,47.4576
2005-11-30,48.0368
2005-12-30,46.2157
2006-01-31,51.6151
2006-02-28,57.8423
2006-03-31,54.4947
2006-04-28,47.1414
2006-05-31,50.4816
2006-06-30,53.0022
2006-07-31,59.3980
2006-08-31,57.5978
2006-09-29,65.8208
2006-10-31,66.0659
2006-11-30,66.8934
2006-12-29,60.5666
2007-01-31,51.2176
2007-02-28,50.4933
2007-03-30,58.0698
2007-04-30,59.9801
2007-05-31,66.4248
2007-06-29,54.1438
2007-07-31,39.1871
2007-08-31,36.9997
2007-09-28,46.2158
2007-10-31,58.7887
2007-11-30,61.9720
2007-12-31,56.3595
2008-01-31,53.4509
2008-02-29,57.2965
2008-03-31,56.7684
2008-04-30,51.2007
2008-05-30,51.0424
2008-06-30,50.4283
2008-07-31,52.7185
2008-08-29,45.6164
2008-09-30,47.6971
