,MFI_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,64.4470
2004-09-30,49.6422
2004-10-29,53.6804
2004-11-30,62.1254
2004-12-31,55.7788
2005-01-31,55.4735
2005-02-28,56.6985
2005-03-31,44.7894
2005-04-29,46.9063
2005-05-31,50.1464
2005-06-30,58.9516
2005-07-29,66.3951
2005-08-31,62.2299
2005-09-30,49.6754
2005-10-31,43.5956
2005-11-30,54.4464
2005-12-30,70.2272
2006-01-31,68.6705
2006-02-28,54.7134
2006-03-31,52.8270
2006-04-28,56.0191
2006-05-31,49.1114
2006-06-30,56.1435
2006-07-31,57.4085
2006-08-31,61.1212
2006-09-29,49.6352
2006-10-31,47.3066
2006-11-30,42.0409
2006-12-29,48.7229
2007-01-31,52.8863
2007-02-28,57.3145
2007-03-30,55.6503
2007-04-30,53.9777
2007-05-31,57.4799
2007-06-29,48.2448
2007-07-31,34.6094
2007-08-31,33.1407
2007-09-28,33.8678
2007-10-31,39.0723
2007-11-30,36.7745
2007-12-31,39.2808
2008-01-31,50.9236
2008-02-29,50.2986
2008-03-31,48.8079
2008-04-30,49.0353
2008-05-30,48.0570
2008-06-30,44.3159
2008-07-31,43.2528
2008-08-29,46.9707
2008-09-30,42.1084
2008-10-31,36.1959
2008-11-28,29.8375
2008-12-31,50.1098
2009-01-30,52.0629
2009-02-27,50.1857
2009-03-31,47.0065
2009-04-30,50.1559
2009-05-29,69.4892
2009-06-30,62.6223
2009-07-31,58.7724
2009-08-31,65.9564
2009-09-30,70.1550
2009-10-30,58.1790
2009-11-30,56.5207
2009-12-31,49.8885
2010-01-29,58.7728
2010-02-26,62.3562
2010-03-31,67.9287
2010-04-30,61.5778
2010-05-31,0
2010-06-30,37.7152
2010-07-30,46.8062
2010-08-31,42.5560
2010-09-30,48.3850
2010-10-29,45.6454
2010-11-30,49.9346
2010-12-31,49.8502
2011-01-31,51.8213
2011-02-28,54.3495
2011-03-31,51.2005
2011-04-29,51.3903
2011-05-31,43.6518
2011-06-30,44.5225
2011-07-29,44.5503
2011-08-31,42.0713
2011-09-30,38.8579
2011-10-31,52.5777
2011-11-30,51.8160
2011-12-30,54.4344
2012-01-31,52.2077
2012-02-29,60.1575
2012-03-30,51.4900
2012-04-30,41.9768
2012-05-31,36.5803
2012-06-29,41.3177
2012-07-31,42.5707
2012-08-31,53.4256
2012-09-28,52.9613
2012-10-31,62.8286
2012-11-30,56.2576
2012-12-31,64.2764
2013-01-31,61.4298
2013-02-28,56.6859
2013-03-29,0
