,MFI_daily_60
2000-01-31,40.9802
2000-02-29,34.3876
2000-03-31,43.5498
2000-04-28,48.0216
2000-05-31,59.4670
2000-06-30,53.4497
2000-07-31,45.3215
2000-08-31,32.0272
2000-09-29,40.9112
2000-10-31,44.8827
2000-11-30,54.6871
2000-12-29,59.2561
2001-01-31,55.1991
2001-02-28,59.7280
2001-03-30,56.7846
2001-04-30,61.2789
2001-05-31,63.0868
2001-06-29,61.9452
2001-07-31,64.0013
2001-08-31,50.4824
2001-09-28,46.5762
2001-10-31,43.0811
2001-11-30,46.3660
2001-12-31,63.0698
2002-01-31,57.3557
2002-02-28,55.8709
2002-03-29,0
2002-04-30,41.0834
2002-05-31,41.1312
2002-06-28,40.8530
2002-07-31,45.4156
2002-08-30,44.3446
2002-09-30,45.3722
2002-10-31,52.4119
2002-11-29,45.5520
2002-12-31,46.8312
2003-01-31,42.7445
2003-02-28,52.8545
2003-03-31,46.4873
2003-04-30,53.4771
2003-05-30,53.8439
2003-06-30,53.3682
2003-07-31,40.2044
2003-08-29,31.2940
2003-09-30,37.8196
2003-10-31,61.5516
2003-11-28,71.3766
2003-12-31,62.0145
2004-01-30,56.8679
2004-02-27,53.5718
2004-03-31,60.5949
2004-04-30,59.2244
2004-05-31,0
2004-06-30,49.5395
2004-07-30,49.4188
2004-08-31,44.1351
2004-09-30,40.5000
2004-10-29,45.3272
2004-11-30,50.5034
2004-12-31,56.4924
2005-01-31,51.8859
2005-02-28,47.5636
2005-03-31,46.7643
2005-04-29,41.3092
2005-05-31,40.7277
2005-06-30,50.3738
2005-07-29,46.9169
2005-08-31,49.2727
2005-09-30,50.2934
2005-10-31,46.4508
2005-11-30,41.9186
2005-12-30,44.9055
2006-01-31,54.1480
2006-02-28,54.8942
2006-03-31,51.0672
2006-04-28,50.1930
2006-05-31,52.9226
2006-06-30,53.8515
2006-07-31,54.9882
2006-08-31,46.2436
2006-09-29,43.5128
2006-10-31,45.0908
2006-11-30,59.0399
2006-12-29,56.4653
2007-01-31,57.1240
2007-02-28,50.3415
2007-03-30,51.6610
2007-04-30,55.2581
2007-05-31,53.0146
2007-06-29,46.0594
2007-07-31,35.1419
2007-08-31,43.7635
2007-09-28,46.4047
2007-10-31,57.1735
2007-11-30,62.8010
2007-12-31,65.0067
2008-01-31,53.6572
2008-02-29,49.8449
2008-03-31,50.2328
2008-04-30,55.0612
2008-05-30,45.4581
2008-06-30,31.8454
2008-07-31,34.5211
2008-08-29,39.3450
2008-09-30,54.2149
2008-10-31,42.2098
2008-11-28,45.0123
2008-12-31,50.0990
2009-01-30,55.2017
2009-02-27,57.5803
2009-03-31,36.9397
2009-04-30,40.2716
2009-05-29,63.8886
2009-06-30,56.5975
2009-07-31,62.1010
2009-08-31,45.4543
2009-09-30,42.9329
2009-10-30,46.8264
2009-11-30,55.9321
2009-12-31,66.4696
2010-01-29,61.4588
2010-02-26,61.0568
2010-03-31,59.6375
2010-04-30,50.6110
2010-05-31,0
2010-06-30,46.5730
2010-07-30,56.3146
2010-08-31,56.9607
2010-09-30,55.9153
2010-10-29,52.8572
2010-11-30,55.4914
2010-12-31,61.4790
2011-01-31,61.2310
2011-02-28,63.2317
2011-03-31,58.2517
2011-04-29,59.6003
2011-05-31,53.8265
2011-06-30,64.6648
2011-07-29,62.5172
2011-08-31,58.4250
2011-09-30,53.7704
2011-10-31,60.4168
2011-11-30,64.6460
2011-12-30,47.0537
2012-01-31,48.7323
2012-02-29,45.8192
2012-03-30,65.1358
2012-04-30,55.5751
2012-05-31,58.5509
2012-06-29,52.2480
2012-07-31,40.8642
2012-08-31,37.3006
2012-09-28,40.5532
2012-10-31,58.3760
2012-11-30,59.0341
2012-12-31,49.8561
2013-01-31,61.7321
2013-02-28,66.5952
2013-03-29,0
2013-04-30,64.3484
2013-05-31,52.4286
2013-06-28,47.7543
2013-07-31,49.8665
2013-08-30,58.8881
2013-09-30,59.8492
2013-10-31,49.5234
2013-11-29,53.6393
2013-12-31,56.5080
2014-01-31,57.6860
2014-02-28,61.2345
2014-03-31,62.8412
2014-04-30,58.7522
2014-05-30,51.3982
2014-06-30,53.6909
2014-07-31,50.6635
2014-08-29,59.1263
2014-09-30,61.4410
2014-10-31,71.4010
2014-11-28,53.8518
2014-12-31,47.9650
2015-01-30,42.4766
2015-02-27,60.7267
2015-03-31,61.3510
2015-04-30,59.8151
2015-05-29,46.2509
2015-06-30,42.6384
2015-07-31,48.8486
2015-08-31,61.6868
2015-09-30,56.2029
2015-10-30,60.3528
2015-11-30,62.9130
2015-12-31,66.9183
2016-01-29,64.9669
2016-02-29,57.7527
2016-03-31,56.7213
2016-04-29,46.4878
2016-05-31,34.6906
2016-06-30,38.3913
2016-07-29,46.6607
2016-08-31,56.2529
2016-09-30,50.3774
2016-10-31,51.8530
2016-11-30,43.0027
2016-12-30,49.3031
2017-01-31,52.7529
2017-02-28,62.2546
2017-03-31,50.1707
2017-04-28,48.0873
2017-05-31,39.9653
2017-06-30,46.2070
2017-07-31,48.9958
2017-08-31,38.5696
2017-09-29,45.1596
2017-10-31,36.7806
2017-11-30,60.9499
2017-12-29,57.9962
2018-01-31,58.3085
2018-02-28,43.6930
2018-03-30,0
2018-04-30,52.6103
2018-05-31,51.7439
2018-06-29,52.2470
2018-07-31,51.2283
2018-08-31,61.5948
2018-09-28,62.4531
2018-10-31,64.4341
2018-11-30,60.9586
2018-12-31,58.4747
2019-01-31,54.4175
2019-02-28,57.1651
2019-03-29,58.1948
2019-04-30,44.9781
2019-05-31,40.1830
2019-06-28,47.2976
2019-07-31,51.2752
2019-08-30,51.8133
2019-09-30,51.7736
2019-10-31,46.3795
2019-11-29,58.2964
2019-12-31,60.5382
2020-01-31,69.8300
2020-02-28,54.0089
2020-03-31,58.2195
2020-04-30,49.0167
2020-05-29,52.4658
2020-06-30,49.1740
2020-07-31,60.3944
2020-08-31,62.6959
2020-09-30,58.3463
2020-10-30,48.6874
2020-11-30,49.6985
2020-12-31,52.7432
2021-01-29,52.3438
2021-02-26,51.2963
2021-03-31,55.2349
2021-04-30,52.3315
2021-05-31,0
2021-06-30,46.0492
2021-07-30,46.6325
2021-08-31,46.1831
2021-09-30,38.8930
2021-10-29,48.0547
2021-11-30,51.6225
2021-12-31,65.2782
2022-01-31,59.0304
2022-02-28,59.8385
2022-03-31,57.3316
