,MFI_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,51.3690
2015-02-27,53.7066
2015-03-31,65.8419
2015-04-30,51.6074
2015-05-29,47.0602
2015-06-30,43.0367
2015-07-31,46.3932
2015-08-31,44.8438
2015-09-30,48.4188
2015-10-30,51.4989
2015-11-30,47.0790
2015-12-31,39.2965
2016-01-29,35.3392
2016-02-29,43.6709
2016-03-31,58.5685
2016-04-29,63.3045
2016-05-31,57.1848
2016-06-30,54.2705
2016-07-29,62.8241
2016-08-31,54.9345
2016-09-30,62.4629
2016-10-31,59.8446
2016-11-30,63.3960
2016-12-30,53.9559
2017-01-31,48.3900
2017-02-28,45.6331
2017-03-31,56.2369
2017-04-28,59.6104
2017-05-31,61.2725
2017-06-30,57.8242
2017-07-31,59.0021
2017-08-31,56.6201
2017-09-29,56.5758
2017-10-31,58.6244
2017-11-30,61.2121
2017-12-29,49.7503
2018-01-31,52.0542
2018-02-28,53.6030
2018-03-30,0
2018-04-30,57.4301
2018-05-31,64.8850
2018-06-29,63.5548
2018-07-31,66.0827
2018-08-31,58.2876
2018-09-28,66.5101
2018-10-31,54.6430
2018-11-30,69.9406
2018-12-31,66.4949
2019-01-31,74.5676
2019-02-28,73.5750
2019-03-29,74.2163
2019-04-30,66.5268
2019-05-31,54.5494
2019-06-28,58.6990
2019-07-31,56.2802
2019-08-30,60.5948
2019-09-30,53.8920
2019-10-31,58.5979
2019-11-29,59.3675
2019-12-31,56.6536
2020-01-31,52.0158
2020-02-28,46.9126
2020-03-31,45.5473
2020-04-30,50.3826
2020-05-29,55.3671
2020-06-30,57.3247
2020-07-31,53.2438
2020-08-31,43.0342
2020-09-30,46.4802
2020-10-30,48.6509
2020-11-30,61.0200
2020-12-31,68.7435
2021-01-29,62.8886
2021-02-26,54.0745
2021-03-31,48.8037
2021-04-30,49.5493
2021-05-31,0
2021-06-30,65.3627
2021-07-30,65.6890
2021-08-31,63.7911
2021-09-30,51.7190
2021-10-29,53.5682
2021-11-30,56.2329
2021-12-31,63.8413
2022-01-31,43.3823
2022-02-28,36.4340
2022-03-31,35.7413
