,MFI_daily_60
2000-01-31,57.5719
2000-02-29,59.3927
2000-03-31,63.9360
2000-04-28,58.2438
2000-05-31,45.8358
2000-06-30,55.7141
2000-07-31,79.6801
2000-08-31,80.6922
2000-09-29,76.5015
2000-10-31,64.3225
2000-11-30,57.8033
2000-12-29,59.1694
2001-01-31,60.6542
2001-02-28,65.9072
2001-03-30,57.6348
2001-04-30,51.8904
2001-05-31,57.8336
2001-06-29,52.0792
2001-07-31,49.1978
2001-08-31,33.1041
2001-09-28,28.4564
2001-10-31,42.9718
2001-11-30,43.9059
2001-12-31,53.5975
2002-01-31,47.1107
2002-02-28,56.6562
2002-03-29,0
2002-04-30,54.0835
2002-05-31,50.6007
2002-06-28,52.3412
2002-07-31,53.2104
2002-08-30,53.1510
2002-09-30,50.7152
2002-10-31,53.7161
2002-11-29,52.0643
2002-12-31,44.4795
2003-01-31,45.7174
2003-02-28,47.5003
2003-03-31,48.7228
2003-04-30,37.5258
2003-05-30,42.4819
2003-06-30,47.1374
2003-07-31,59.0374
2003-08-29,48.5673
2003-09-30,46.8236
2003-10-31,56.5801
2003-11-28,52.1654
2003-12-31,57.8166
2004-01-30,57.6487
2004-02-27,52.7007
2004-03-31,39.9945
2004-04-30,37.4327
2004-05-31,0
2004-06-30,59.7705
2004-07-30,59.3037
2004-08-31,60.3798
2004-09-30,42.2838
2004-10-29,55.7158
2004-11-30,53.5552
2004-12-31,60.1505
2005-01-31,56.2584
2005-02-28,66.5237
2005-03-31,66.6516
2005-04-29,62.8603
2005-05-31,61.2610
2005-06-30,61.4067
2005-07-29,69.4471
2005-08-31,62.4788
2005-09-30,62.1840
2005-10-31,56.4643
2005-11-30,61.9288
2005-12-30,45.2355
2006-01-31,47.1573
2006-02-28,41.1161
2006-03-31,46.2678
2006-04-28,46.5645
2006-05-31,61.3730
2006-06-30,59.2495
2006-07-31,48.9006
2006-08-31,50.4209
2006-09-29,41.0427
2006-10-31,45.7445
2006-11-30,49.7682
2006-12-29,58.7128
2007-01-31,58.0703
2007-02-28,56.0811
2007-03-30,59.8982
2007-04-30,61.3576
2007-05-31,61.6848
2007-06-29,51.5489
2007-07-31,45.9445
2007-08-31,40.0426
2007-09-28,44.0620
2007-10-31,56.4818
2007-11-30,52.3562
2007-12-31,58.2827
2008-01-31,55.2424
2008-02-29,60.7459
2008-03-31,57.2777
2008-04-30,62.9594
2008-05-30,68.2003
2008-06-30,59.3287
2008-07-31,60.2576
2008-08-29,45.0008
2008-09-30,48.1757
2008-10-31,38.9460
2008-11-28,36.2726
2008-12-31,39.8673
2009-01-30,42.1509
2009-02-27,46.3467
2009-03-31,43.5976
2009-04-30,45.9521
2009-05-29,54.2831
2009-06-30,56.2070
2009-07-31,58.3739
2009-08-31,62.4078
2009-09-30,65.3176
2009-10-30,54.9170
2009-11-30,56.9044
2009-12-31,56.6590
2010-01-29,58.0190
2010-02-26,57.9169
2010-03-31,56.7273
2010-04-30,64.8693
2010-05-31,0
2010-06-30,50.1809
2010-07-30,44.0548
2010-08-31,44.4200
2010-09-30,49.7024
2010-10-29,60.2997
2010-11-30,66.8517
2010-12-31,69.4178
2011-01-31,63.3149
2011-02-28,65.0565
2011-03-31,62.5842
2011-04-29,62.1553
2011-05-31,57.3522
2011-06-30,55.3888
2011-07-29,58.5822
2011-08-31,55.8500
2011-09-30,49.6457
2011-10-31,59.4858
2011-11-30,62.9258
2011-12-30,63.2516
2012-01-31,60.8565
2012-02-29,60.6187
2012-03-30,56.1219
2012-04-30,60.2031
2012-05-31,51.0921
2012-06-29,48.6686
2012-07-31,43.9474
2012-08-31,55.7381
2012-09-28,53.2680
2012-10-31,56.7622
2012-11-30,48.5255
2012-12-31,54.4174
2013-01-31,56.8352
2013-02-28,66.7805
2013-03-29,0
2013-04-30,63.4035
2013-05-31,44.7227
2013-06-28,42.7263
2013-07-31,38.9152
2013-08-30,48.3198
2013-09-30,46.5495
2013-10-31,54.4502
2013-11-29,51.7721
2013-12-31,57.9483
2014-01-31,45.4366
2014-02-28,40.2841
2014-03-31,46.1483
2014-04-30,50.4394
2014-05-30,58.3364
2014-06-30,50.2496
2014-07-31,58.0589
2014-08-29,58.9455
2014-09-30,61.7165
2014-10-31,59.0162
2014-11-28,56.3835
2014-12-31,54.6372
2015-01-30,59.5519
2015-02-27,62.0283
2015-03-31,49.8219
2015-04-30,42.5946
2015-05-29,33.3517
2015-06-30,39.2055
2015-07-31,44.2115
2015-08-31,44.7245
2015-09-30,46.5371
2015-10-30,43.4398
2015-11-30,53.0883
2015-12-31,39.7630
2016-01-29,40.6818
2016-02-29,40.8132
2016-03-31,56.1069
2016-04-29,61.2186
2016-05-31,47.9506
2016-06-30,52.2337
2016-07-29,56.1723
2016-08-31,60.9910
2016-09-30,54.6155
2016-10-31,42.9941
2016-11-30,48.9034
2016-12-30,45.6466
2017-01-31,47.1360
2017-02-28,45.5039
2017-03-31,50.5013
2017-04-28,51.6271
2017-05-31,54.4011
2017-06-30,66.8506
2017-07-31,62.3536
2017-08-31,54.1572
2017-09-29,53.7338
2017-10-31,51.2690
2017-11-30,56.0778
2017-12-29,46.3448
2018-01-31,49.7096
2018-02-28,46.1148
2018-03-30,0
2018-04-30,40.7922
2018-05-31,46.4157
2018-06-29,43.1172
2018-07-31,57.8279
2018-08-31,59.3250
2018-09-28,56.8751
2018-10-31,42.5067
2018-11-30,40.1436
2018-12-31,38.4525
2019-01-31,48.9765
2019-02-28,51.1825
2019-03-29,64.0164
2019-04-30,61.2818
2019-05-31,54.6226
2019-06-28,54.1181
2019-07-31,54.7122
2019-08-30,54.5618
2019-09-30,53.8124
2019-10-31,57.7724
2019-11-29,60.7177
2019-12-31,59.7956
2020-01-31,65.9022
2020-02-28,56.2386
2020-03-31,51.0127
2020-04-30,40.2932
2020-05-29,44.6092
2020-06-30,52.6170
2020-07-31,58.5851
2020-08-31,57.7499
2020-09-30,60.2010
2020-10-30,45.0875
2020-11-30,49.1634
2020-12-31,59.7029
2021-01-29,59.6443
2021-02-26,57.0698
2021-03-31,69.2086
2021-04-30,66.9766
2021-05-31,0
2021-06-30,48.9380
2021-07-30,38.6869
2021-08-31,40.5543
2021-09-30,44.5393
2021-10-29,56.8353
2021-11-30,59.6559
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
