,MFI_daily_60
2000-01-31,40.3828
2000-02-29,47.7149
2000-03-31,53.5697
2000-04-28,53.5680
2000-05-31,56.3012
2000-06-30,49.7213
2000-07-31,50.4510
2000-08-31,60.1126
2000-09-29,64.2415
2000-10-31,60.3372
2000-11-30,56.4179
2000-12-29,51.1022
2001-01-31,63.4567
2001-02-28,61.1193
2001-03-30,43.8837
2001-04-30,45.7218
2001-05-31,46.1526
2001-06-29,66.0016
2001-07-31,57.5170
2001-08-31,56.3965
2001-09-28,50.5930
2001-10-31,54.8862
2001-11-30,49.6018
2001-12-31,61.9487
2002-01-31,57.7372
2002-02-28,51.8180
2002-03-29,0
2002-04-30,50.1426
2002-05-31,64.4715
2002-06-28,67.4871
2002-07-31,57.5748
2002-08-30,53.6442
2002-09-30,52.3192
2002-10-31,56.6132
2002-11-29,48.0362
2002-12-31,42.9133
2003-01-31,34.4989
2003-02-28,39.2545
2003-03-31,46.2572
2003-04-30,52.2393
2003-05-30,57.8135
2003-06-30,52.4829
2003-07-31,53.2173
2003-08-29,47.0168
2003-09-30,53.8151
2003-10-31,59.8340
2003-11-28,54.0942
2003-12-31,53.7254
2004-01-30,57.5682
2004-02-27,56.8129
2004-03-31,53.7945
2004-04-30,47.1997
2004-05-31,0
2004-06-30,47.8774
2004-07-30,52.5740
2004-08-31,55.6288
2004-09-30,56.6314
2004-10-29,62.0830
2004-11-30,62.6982
2004-12-31,65.6037
2005-01-31,58.9445
2005-02-28,53.5631
2005-03-31,46.0639
2005-04-29,40.8577
2005-05-31,44.8868
2005-06-30,52.4115
2005-07-29,55.6169
2005-08-31,57.8617
2005-09-30,59.1102
2005-10-31,58.7515
2005-11-30,64.9656
2005-12-30,67.0224
2006-01-31,65.4186
2006-02-28,62.6791
2006-03-31,66.1175
2006-04-28,55.3093
2006-05-31,40.0334
2006-06-30,39.6874
2006-07-31,51.8880
2006-08-31,58.9244
2006-09-29,63.2837
2006-10-31,63.8338
2006-11-30,63.1643
2006-12-29,61.3025
2007-01-31,59.4725
2007-02-28,44.3198
2007-03-30,42.8990
2007-04-30,47.5933
2007-05-31,55.0207
2007-06-29,52.7439
2007-07-31,41.1819
2007-08-31,29.5540
2007-09-28,39.2455
2007-10-31,36.6525
2007-11-30,38.3206
2007-12-31,26.7096
2008-01-31,36.4800
2008-02-29,48.8244
2008-03-31,47.3924
2008-04-30,48.2124
2008-05-30,43.3969
2008-06-30,45.0957
2008-07-31,44.5223
2008-08-29,47.1559
2008-09-30,49.8848
2008-10-31,41.4231
2008-11-28,39.3857
2008-12-31,45.5735
2009-01-30,48.1039
2009-02-27,43.9648
2009-03-31,50.6695
2009-04-30,55.5402
2009-05-29,64.9870
2009-06-30,57.8074
2009-07-31,46.3654
2009-08-31,51.9122
2009-09-30,37.5477
2009-10-30,45.6850
2009-11-30,45.2687
2009-12-31,59.5859
2010-01-29,56.1933
2010-02-26,53.6029
2010-03-31,51.1775
2010-04-30,37.1120
2010-05-31,0
2010-06-30,34.2415
2010-07-30,43.9071
2010-08-31,61.0263
2010-09-30,60.9945
2010-10-29,58.3772
2010-11-30,56.0861
2010-12-31,54.3008
2011-01-31,57.6893
2011-02-28,59.5602
2011-03-31,63.8947
2011-04-29,68.4328
2011-05-31,71.4962
2011-06-30,60.2304
2011-07-29,54.0159
2011-08-31,47.0133
2011-09-30,43.9064
2011-10-31,54.2281
2011-11-30,58.7195
2011-12-30,52.9079
2012-01-31,47.8558
2012-02-29,50.9835
2012-03-30,62.9111
2012-04-30,56.5113
2012-05-31,46.0102
2012-06-29,36.3626
2012-07-31,48.1694
2012-08-31,46.9941
2012-09-28,65.0634
2012-10-31,65.7876
2012-11-30,65.5510
2012-12-31,56.2700
2013-01-31,66.9993
2013-02-28,53.6226
2013-03-29,0
2013-04-30,52.5272
2013-05-31,69.7061
2013-06-28,64.1039
2013-07-31,59.9341
2013-08-30,52.4850
2013-09-30,54.8291
2013-10-31,46.1046
2013-11-29,60.7359
2013-12-31,63.9867
2014-01-31,58.7735
2014-02-28,57.5732
2014-03-31,50.2116
2014-04-30,51.4612
2014-05-30,52.1113
2014-06-30,55.7588
2014-07-31,59.4887
2014-08-29,60.5554
2014-09-30,59.2714
2014-10-31,61.1913
2014-11-28,52.9739
2014-12-31,47.5357
2015-01-30,40.5880
2015-02-27,47.1281
2015-03-31,54.3011
2015-04-30,61.4491
2015-05-29,59.0945
2015-06-30,56.3320
2015-07-31,53.0283
2015-08-31,54.7596
2015-09-30,50.2028
2015-10-30,47.3021
2015-11-30,46.9882
2015-12-31,44.5758
2016-01-29,43.0918
2016-02-29,40.9048
2016-03-31,49.1818
2016-04-29,54.6897
2016-05-31,50.1788
2016-06-30,46.0652
2016-07-29,57.1211
2016-08-31,54.3091
2016-09-30,59.7180
2016-10-31,46.2986
2016-11-30,45.7774
2016-12-30,40.5091
2017-01-31,59.3192
2017-02-28,61.7539
2017-03-31,63.1784
2017-04-28,60.8129
2017-05-31,55.2437
2017-06-30,58.6859
2017-07-31,59.1853
2017-08-31,60.1091
2017-09-29,62.2938
2017-10-31,64.3401
2017-11-30,67.2763
2017-12-29,62.1106
2018-01-31,68.0681
2018-02-28,63.8266
2018-03-30,0
2018-04-30,49.8367
2018-05-31,51.5584
2018-06-29,52.2993
2018-07-31,50.7649
2018-08-31,49.8387
2018-09-28,49.2066
2018-10-31,38.3052
2018-11-30,44.8009
2018-12-31,45.6535
2019-01-31,57.7788
2019-02-28,60.4402
2019-03-29,65.4322
2019-04-30,64.6129
2019-05-31,58.7986
2019-06-28,57.9915
2019-07-31,56.7826
2019-08-30,60.0801
2019-09-30,46.2430
2019-10-31,46.0222
2019-11-29,47.8098
2019-12-31,61.8996
2020-01-31,65.6774
2020-02-28,60.5043
2020-03-31,53.8313
2020-04-30,54.6609
2020-05-29,58.4921
2020-06-30,67.3238
2020-07-31,63.2633
2020-08-31,60.3633
2020-09-30,53.2014
2020-10-30,45.4293
2020-11-30,37.6105
2020-12-31,46.1055
2021-01-29,43.4118
2021-02-26,46.8478
2021-03-31,48.1061
2021-04-30,69.4235
2021-05-31,0
2021-06-30,72.1932
2021-07-30,61.1624
2021-08-31,56.6440
2021-09-30,43.8274
2021-10-29,51.2549
2021-11-30,46.0894
2021-12-31,49.9381
2022-01-31,38.4506
2022-02-28,40.5594
2022-03-31,43.6003
