,MFI_daily_60
2000-01-31,43.2247
2000-02-29,44.0222
2000-03-31,45.0681
2000-04-28,47.2849
2000-05-31,55.9700
2000-06-30,56.6417
2000-07-31,54.3564
2000-08-31,53.0603
2000-09-29,55.3165
2000-10-31,68.3389
2000-11-30,61.4995
2000-12-29,63.6348
2001-01-31,61.1872
2001-02-28,63.5442
2001-03-30,60.7340
2001-04-30,60.4158
2001-05-31,57.9038
2001-06-29,54.7758
2001-07-31,43.5733
2001-08-31,50.2013
2001-09-28,54.4615
2001-10-31,56.5681
2001-11-30,53.4548
2001-12-31,47.3567
2002-01-31,55.2993
2002-02-28,66.7372
2002-03-29,0
2002-04-30,65.8360
2002-05-31,60.4526
2002-06-28,41.4767
2002-07-31,42.8894
2002-08-30,44.0495
2002-09-30,45.0307
2002-10-31,41.8818
2002-11-29,42.4025
2002-12-31,56.6928
2003-01-31,47.6900
2003-02-28,51.9346
2003-03-31,38.5892
2003-04-30,47.4825
2003-05-30,57.2074
2003-06-30,70.7012
2003-07-31,61.4191
2003-08-29,46.6768
2003-09-30,39.4592
2003-10-31,53.2874
2003-11-28,60.9289
2003-12-31,64.2122
2004-01-30,63.0339
2004-02-27,62.5124
2004-03-31,54.3025
2004-04-30,55.0321
2004-05-31,0
2004-06-30,43.6188
2004-07-30,39.0143
2004-08-31,52.6857
2004-09-30,50.0534
2004-10-29,54.9910
2004-11-30,61.0927
2004-12-31,64.3931
2005-01-31,64.0059
2005-02-28,62.4352
2005-03-31,57.5385
2005-04-29,57.7804
2005-05-31,56.4833
2005-06-30,53.0941
2005-07-29,49.6874
2005-08-31,60.0281
2005-09-30,71.5195
2005-10-31,64.3599
2005-11-30,53.5316
2005-12-30,52.9930
2006-01-31,49.9327
2006-02-28,51.9391
2006-03-31,40.7059
2006-04-28,44.6804
2006-05-31,50.1199
2006-06-30,59.7041
2006-07-31,66.9800
2006-08-31,69.2598
2006-09-29,51.0083
2006-10-31,50.1890
2006-11-30,49.3506
2006-12-29,58.4558
2007-01-31,56.0845
2007-02-28,52.4176
2007-03-30,53.0251
2007-04-30,60.4561
2007-05-31,66.7399
2007-06-29,57.3674
2007-07-31,49.6358
2007-08-31,48.5112
2007-09-28,48.9841
2007-10-31,60.1549
2007-11-30,67.2261
2007-12-31,62.1971
2008-01-31,54.8133
2008-02-29,51.3577
2008-03-31,55.5827
2008-04-30,51.8072
2008-05-30,51.8412
2008-06-30,50.7022
2008-07-31,47.7512
2008-08-29,48.3860
2008-09-30,51.6895
2008-10-31,48.4147
2008-11-28,48.1371
2008-12-31,47.4982
2009-01-30,49.2541
2009-02-27,44.7543
2009-03-31,49.5567
2009-04-30,50.7564
2009-05-29,60.4381
2009-06-30,50.4869
2009-07-31,54.5859
2009-08-31,60.2616
2009-09-30,53.9499
2009-10-30,53.0759
2009-11-30,52.0386
2009-12-31,69.4978
2010-01-29,65.9724
2010-02-26,64.7026
2010-03-31,60.1613
2010-04-30,57.0465
2010-05-31,0
2010-06-30,46.3113
2010-07-30,57.6039
2010-08-31,65.6188
2010-09-30,72.3317
2010-10-29,71.7330
2010-11-30,62.7982
2010-12-31,53.6545
2011-01-31,41.9058
2011-02-28,61.0387
2011-03-31,64.7665
2011-04-29,68.4140
2011-05-31,63.2188
2011-06-30,52.0437
2011-07-29,48.9773
2011-08-31,49.8032
2011-09-30,45.9989
2011-10-31,54.5637
2011-11-30,55.2192
2011-12-30,63.4597
2012-01-31,55.4071
2012-02-29,59.4447
2012-03-30,62.6036
2012-04-30,70.6307
2012-05-31,60.5218
2012-06-29,64.4028
2012-07-31,65.6460
2012-08-31,60.1424
2012-09-28,52.4672
2012-10-31,44.3638
2012-11-30,49.6170
2012-12-31,42.1478
2013-01-31,49.9314
2013-02-28,47.9885
2013-03-29,0
2013-04-30,62.2667
2013-05-31,66.3682
2013-06-28,59.5871
2013-07-31,51.9410
2013-08-30,47.4243
2013-09-30,52.5991
2013-10-31,59.3325
2013-11-29,62.8893
2013-12-31,64.4439
2014-01-31,46.4366
2014-02-28,50.6508
2014-03-31,46.5081
2014-04-30,66.9102
2014-05-30,67.7313
2014-06-30,63.2726
2014-07-31,53.0994
2014-08-29,55.7632
2014-09-30,62.6932
2014-10-31,67.3312
2014-11-28,65.4233
2014-12-31,53.7337
2015-01-30,55.8462
2015-02-27,54.5141
2015-03-31,51.9928
2015-04-30,43.2135
2015-05-29,41.9141
2015-06-30,42.3448
2015-07-31,56.6628
2015-08-31,61.2620
2015-09-30,57.7750
2015-10-30,60.6942
2015-11-30,59.0940
2015-12-31,58.8182
2016-01-29,53.6534
2016-02-29,57.9348
2016-03-31,55.8932
2016-04-29,50.9877
2016-05-31,47.1967
2016-06-30,56.2136
2016-07-29,54.8789
2016-08-31,51.6113
2016-09-30,38.8682
2016-10-31,52.5703
2016-11-30,50.8516
2016-12-30,68.2171
2017-01-31,67.1530
2017-02-28,75.8548
2017-03-31,57.6464
2017-04-28,54.2397
2017-05-31,52.5372
2017-06-30,60.0727
2017-07-31,45.2065
2017-08-31,36.7803
2017-09-29,40.0158
2017-10-31,50.4768
2017-11-30,60.0949
2017-12-29,63.2830
2018-01-31,59.0237
2018-02-28,46.8875
2018-03-30,0
2018-04-30,38.1556
2018-05-31,42.6933
2018-06-29,42.4027
2018-07-31,55.7520
2018-08-31,55.3436
2018-09-28,62.2930
2018-10-31,62.6804
2018-11-30,48.9233
2018-12-31,41.6318
2019-01-31,39.2884
2019-02-28,46.7184
2019-03-29,62.0313
2019-04-30,63.3651
2019-05-31,54.5592
2019-06-28,40.6687
2019-07-31,39.0330
2019-08-30,46.5536
2019-09-30,49.0107
2019-10-31,56.5611
2019-11-29,60.2894
2019-12-31,65.9391
2020-01-31,60.3119
2020-02-28,41.5239
2020-03-31,44.7774
2020-04-30,43.6165
2020-05-29,44.6015
2020-06-30,45.8567
2020-07-31,54.0263
2020-08-31,51.3164
2020-09-30,46.2849
2020-10-30,41.4456
2020-11-30,44.2628
2020-12-31,61.3976
2021-01-29,63.5004
2021-02-26,67.1954
2021-03-31,69.4143
2021-04-30,61.9123
2021-05-31,0
2021-06-30,44.9698
2021-07-30,47.0067
2021-08-31,46.7886
2021-09-30,51.6731
2021-10-29,52.5859
2021-11-30,43.3819
2021-12-31,56.3023
2022-01-31,59.8088
2022-02-28,62.3360
2022-03-31,54.0908
