,MFI_daily_60
2000-01-31,46.8018
2000-02-29,40.7858
2000-03-31,46.0024
2000-04-28,44.8640
2000-05-31,46.0242
2000-06-30,54.3993
2000-07-31,54.5293
2000-08-31,57.8746
2000-09-29,41.8451
2000-10-31,49.5129
2000-11-30,43.2170
2000-12-29,45.4911
2001-01-31,47.5795
2001-02-28,51.6600
2001-03-30,55.1003
2001-04-30,58.6191
2001-05-31,61.9427
2001-06-29,65.1984
2001-07-31,48.1917
2001-08-31,35.7893
2001-09-28,33.3460
2001-10-31,45.4038
2001-11-30,55.5537
2001-12-31,59.3961
2002-01-31,50.0150
2002-02-28,41.4239
2002-03-29,0
2002-04-30,42.2056
2002-05-31,43.3961
2002-06-28,55.2172
2002-07-31,52.0782
2002-08-30,48.7934
2002-09-30,46.9189
2002-10-31,58.7804
2002-11-29,61.9927
2002-12-31,53.9052
2003-01-31,43.0725
2003-02-28,37.3894
2003-03-31,43.5599
2003-04-30,49.2984
2003-05-30,50.2812
2003-06-30,52.7244
2003-07-31,54.1117
2003-08-29,58.9553
2003-09-30,57.1350
2003-10-31,55.5827
2003-11-28,43.5988
2003-12-31,51.6986
2004-01-30,55.5201
2004-02-27,53.6079
2004-03-31,33.5559
2004-04-30,36.1966
2004-05-31,0
2004-06-30,58.8324
2004-07-30,60.4886
2004-08-31,59.0070
2004-09-30,55.4416
2004-10-29,61.9184
2004-11-30,71.2596
2004-12-31,62.5372
2005-01-31,59.1448
2005-02-28,44.6960
2005-03-31,39.8031
2005-04-29,38.4721
2005-05-31,45.8309
2005-06-30,47.7718
2005-07-29,49.2820
2005-08-31,57.3577
2005-09-30,51.1321
2005-10-31,36.6594
2005-11-30,45.0772
2005-12-30,48.8210
2006-01-31,51.0147
2006-02-28,41.2114
2006-03-31,55.1891
2006-04-28,44.1036
2006-05-31,46.8627
2006-06-30,43.0515
2006-07-31,56.8081
2006-08-31,63.0307
2006-09-29,63.2181
2006-10-31,70.2837
2006-11-30,72.6039
2006-12-29,65.1675
2007-01-31,55.9169
2007-02-28,40.5548
2007-03-30,41.9126
2007-04-30,47.7984
2007-05-31,66.2273
2007-06-29,57.2582
2007-07-31,48.3369
2007-08-31,48.1287
2007-09-28,47.6156
2007-10-31,65.4270
2007-11-30,58.7095
2007-12-31,61.6437
2008-01-31,46.9160
2008-02-29,45.6130
2008-03-31,40.8819
2008-04-30,48.3515
2008-05-30,54.2771
2008-06-30,50.3430
2008-07-31,40.6018
2008-08-29,46.4495
2008-09-30,51.4993
2008-10-31,45.7292
2008-11-28,43.5356
2008-12-31,35.7491
2009-01-30,36.9216
2009-02-27,40.0553
2009-03-31,44.6203
2009-04-30,49.4212
2009-05-29,55.6718
2009-06-30,61.9600
2009-07-31,64.0023
2009-08-31,64.0495
2009-09-30,67.2494
2009-10-30,65.6804
2009-11-30,64.6684
2009-12-31,66.5115
2010-01-29,57.6171
2010-02-26,50.6121
2010-03-31,47.7350
2010-04-30,53.4558
2010-05-31,0
2010-06-30,36.5923
2010-07-30,38.7642
2010-08-31,40.2418
2010-09-30,47.5594
2010-10-29,53.7497
2010-11-30,54.5243
2010-12-31,64.1994
2011-01-31,55.8847
2011-02-28,54.4973
2011-03-31,40.4926
2011-04-29,38.0675
2011-05-31,43.1085
2011-06-30,47.4409
2011-07-29,52.1418
2011-08-31,53.3113
2011-09-30,47.1186
2011-10-31,55.2957
2011-11-30,52.9081
2011-12-30,48.9001
2012-01-31,57.7000
2012-02-29,65.9858
2012-03-30,62.5509
2012-04-30,51.8710
2012-05-31,41.5880
2012-06-29,46.6222
2012-07-31,44.8376
2012-08-31,52.8698
2012-09-28,43.9146
2012-10-31,46.0946
2012-11-30,40.0336
2012-12-31,40.1721
2013-01-31,43.2468
2013-02-28,51.9202
2013-03-29,0
2013-04-30,57.1332
2013-05-31,57.4849
2013-06-28,54.0001
2013-07-31,48.8871
2013-08-30,54.1549
2013-09-30,54.9303
2013-10-31,59.5914
2013-11-29,63.7025
2013-12-31,51.0018
2014-01-31,46.3493
2014-02-28,44.7475
2014-03-31,53.6501
2014-04-30,53.3797
2014-05-30,52.3003
2014-06-30,49.3628
2014-07-31,60.0839
2014-08-29,60.8343
2014-09-30,59.2765
2014-10-31,56.7057
2014-11-28,54.5183
2014-12-31,48.4990
2015-01-30,38.1526
2015-02-27,42.9716
2015-03-31,43.1462
2015-04-30,60.4342
2015-05-29,51.5596
2015-06-30,47.3022
2015-07-31,47.4383
2015-08-31,48.9714
2015-09-30,54.4253
2015-10-30,57.4168
2015-11-30,58.6109
2015-12-31,59.9715
