,MFI_daily_60
2000-01-31,74.5647
2000-02-29,78.0311
2000-03-31,62.6752
2000-04-28,58.4933
2000-05-31,43.2122
2000-06-30,54.0837
2000-07-31,51.3913
2000-08-31,53.8335
2000-09-29,65.3867
2000-10-31,48.2601
2000-11-30,46.8155
2000-12-29,46.7983
2001-01-31,38.4080
2001-02-28,39.9680
2001-03-30,31.7253
2001-04-30,43.7284
2001-05-31,48.0061
2001-06-29,40.4308
2001-07-31,30.3266
2001-08-31,24.8686
2001-09-28,34.0697
2001-10-31,54.4788
2001-11-30,46.4970
2001-12-31,52.7248
2002-01-31,45.1400
2002-02-28,48.4320
2002-03-29,0
2002-04-30,27.0616
2002-05-31,27.2964
2002-06-28,49.2298
2002-07-31,54.1722
2002-08-30,58.2998
2002-09-30,46.9012
2002-10-31,42.5072
2002-11-29,59.1921
2002-12-31,61.3924
2003-01-31,55.5900
2003-02-28,46.2127
2003-03-31,49.6467
2003-04-30,64.2449
2003-05-30,70.4975
2003-06-30,51.8204
2003-07-31,51.9842
2003-08-29,53.2440
2003-09-30,63.4154
2003-10-31,59.1706
2003-11-28,54.5699
2003-12-31,45.7586
2004-01-30,59.4178
2004-02-27,63.3695
2004-03-31,62.1964
2004-04-30,60.2433
2004-05-31,0
2004-06-30,49.8842
2004-07-30,47.3897
2004-08-31,35.3992
2004-09-30,36.0773
2004-10-29,59.3737
2004-11-30,62.8227
2004-12-31,67.6471
2005-01-31,60.8878
2005-02-28,48.5223
2005-03-31,47.5044
2005-04-29,50.9498
2005-05-31,54.9183
2005-06-30,47.8599
2005-07-29,54.3708
2005-08-31,45.3813
2005-09-30,58.3741
2005-10-31,54.3257
2005-11-30,58.2672
2005-12-30,45.6278
2006-01-31,67.8241
2006-02-28,67.5930
2006-03-31,64.4197
2006-04-28,51.4722
2006-05-31,46.6958
2006-06-30,41.4528
2006-07-31,38.2749
2006-08-31,43.1055
2006-09-29,42.4114
2006-10-31,43.8694
2006-11-30,45.8451
2006-12-29,51.8326
2007-01-31,40.4007
2007-02-28,36.7221
2007-03-30,40.6497
2007-04-30,48.5979
2007-05-31,46.4368
2007-06-29,32.5310
2007-07-31,35.2235
2007-08-31,40.2763
2007-09-28,39.8110
2007-10-31,35.0666
2007-11-30,35.7974
2007-12-31,32.9254
2008-01-31,50.9830
2008-02-29,40.9437
2008-03-31,50.1675
2008-04-30,42.2440
2008-05-30,44.3207
2008-06-30,34.0544
2008-07-31,43.3983
2008-08-29,43.2441
2008-09-30,45.0355
2008-10-31,39.6487
2008-11-28,44.5046
2008-12-31,59.1325
2009-01-30,45.6450
2009-02-27,47.0856
2009-03-31,47.7272
2009-04-30,58.2415
2009-05-29,65.8895
2009-06-30,63.9824
2009-07-31,64.0530
2009-08-31,65.2391
2009-09-30,65.1085
2009-10-30,54.0795
2009-11-30,45.0145
2009-12-31,41.1985
2010-01-29,61.5329
2010-02-26,63.8485
2010-03-31,65.5929
2010-04-30,53.7075
2010-05-31,0
2010-06-30,38.0896
2010-07-30,44.5832
2010-08-31,53.3400
2010-09-30,55.6933
2010-10-29,48.2213
2010-11-30,43.3049
2010-12-31,43.3444
2011-01-31,34.0379
2011-02-28,41.0589
2011-03-31,41.5149
2011-04-29,49.9534
2011-05-31,49.9022
2011-06-30,35.3787
2011-07-29,32.0117
2011-08-31,34.7191
2011-09-30,40.7180
2011-10-31,52.5368
2011-11-30,48.9304
2011-12-30,55.1718
2012-01-31,63.1515
2012-02-29,71.2621
2012-03-30,61.4705
2012-04-30,52.3408
2012-05-31,45.3150
2012-06-29,53.0690
2012-07-31,59.5803
2012-08-31,58.5953
2012-09-28,61.7417
2012-10-31,57.0723
2012-11-30,40.6273
2012-12-31,35.1877
2013-01-31,42.3310
2013-02-28,61.4910
2013-03-29,0
2013-04-30,58.0244
2013-05-31,44.8251
2013-06-28,52.4417
2013-07-31,48.8522
2013-08-30,56.6416
2013-09-30,47.5368
2013-10-31,43.3821
2013-11-29,41.6528
2013-12-31,43.2532
2014-01-31,58.6124
2014-02-28,52.5773
2014-03-31,48.6962
2014-04-30,45.1861
2014-05-30,37.5209
2014-06-30,46.3947
2014-07-31,41.8608
2014-08-29,52.6951
2014-09-30,51.3510
2014-10-31,51.0954
2014-11-28,59.7381
2014-12-31,57.9206
2015-01-30,57.5865
2015-02-27,34.2179
2015-03-31,36.3599
2015-04-30,35.7441
2015-05-29,46.1128
2015-06-30,62.9969
2015-07-31,67.3851
2015-08-31,61.6545
2015-09-30,57.1016
2015-10-30,56.2469
2015-11-30,62.6474
2015-12-31,60.2377
2016-01-29,55.6596
2016-02-29,42.6888
2016-03-31,48.7270
2016-04-29,58.5421
2016-05-31,66.4354
2016-06-30,63.9528
2016-07-29,62.4454
2016-08-31,58.0738
2016-09-30,53.5908
2016-10-31,36.0552
2016-11-30,39.9995
2016-12-30,44.4771
2017-01-31,58.2381
2017-02-28,53.7024
2017-03-31,67.4680
2017-04-28,55.0869
2017-05-31,53.8121
2017-06-30,45.3967
2017-07-31,59.1853
2017-08-31,59.4017
2017-09-29,62.6349
2017-10-31,58.7493
2017-11-30,86.0000
2017-12-29,78.0127
2018-01-31,80.4945
2018-02-28,69.2513
2018-03-30,0
2018-04-30,61.1691
2018-05-31,58.0206
2018-06-29,38.0478
2018-07-31,43.0218
2018-08-31,52.9236
2018-09-28,68.3639
2018-10-31,52.3511
2018-11-30,41.2896
2018-12-31,41.3099
2019-01-31,55.9038
2019-02-28,55.1995
2019-03-29,52.9390
2019-04-30,40.2141
2019-05-31,45.7047
2019-06-28,52.0749
2019-07-31,50.0396
2019-08-30,36.1087
2019-09-30,35.8936
2019-10-31,34.5715
2019-11-29,45.3782
2019-12-31,51.9102
2020-01-31,54.6483
2020-02-28,53.5745
2020-03-31,52.3567
2020-04-30,45.8028
2020-05-29,54.3341
2020-06-30,58.5559
2020-07-31,57.4838
2020-08-31,45.1176
2020-09-30,31.9550
2020-10-30,33.1508
2020-11-30,38.8619
2020-12-31,47.1675
2021-01-29,56.4855
2021-02-26,58.7620
2021-03-31,54.5136
2021-04-30,51.2061
2021-05-31,0
2021-06-30,44.2413
2021-07-30,43.3236
2021-08-31,47.9625
2021-09-30,51.5355
2021-10-29,52.9463
2021-11-30,42.7559
2021-12-31,62.5398
2022-01-31,52.5180
2022-02-28,56.9202
2022-03-31,36.6955
