,MFI_daily_60
2000-01-31,46.9289
2000-02-29,49.6467
2000-03-31,49.0450
2000-04-28,55.0582
2000-05-31,56.4386
2000-06-30,53.2814
2000-07-31,42.1844
2000-08-31,41.0750
2000-09-29,41.6240
2000-10-31,48.7868
2000-11-30,43.9264
2000-12-29,39.2349
2001-01-31,54.8813
2001-02-28,58.4726
2001-03-30,64.6372
2001-04-30,57.5909
2001-05-31,61.0627
2001-06-29,64.6273
2001-07-31,59.2885
2001-08-31,58.4252
2001-09-28,55.0397
2001-10-31,49.0609
2001-11-30,47.0475
2001-12-31,47.2192
2002-01-31,38.2784
2002-02-28,47.1280
2002-03-29,0
2002-04-30,69.1235
2002-05-31,60.2180
2002-06-28,60.9746
2002-07-31,52.0643
2002-08-30,57.7596
2002-09-30,46.7698
2002-10-31,37.9583
2002-11-29,44.1258
2002-12-31,48.3395
2003-01-31,52.1669
2003-02-28,45.0608
2003-03-31,48.5287
2003-04-30,52.3945
2003-05-30,53.2201
2003-06-30,52.2165
2003-07-31,52.4467
2003-08-29,54.0480
2003-09-30,51.2433
2003-10-31,45.8502
2003-11-28,49.0306
2003-12-31,58.2325
2004-01-30,63.3119
2004-02-27,68.2040
2004-03-31,67.2020
2004-04-30,61.3193
2004-05-31,0
2004-06-30,59.0141
2004-07-30,60.2181
2004-08-31,59.7909
2004-09-30,61.1588
2004-10-29,60.4124
2004-11-30,56.7373
2004-12-31,61.8157
2005-01-31,59.8156
2005-02-28,47.9177
2005-03-31,42.3102
2005-04-29,48.9891
2005-05-31,60.2346
2005-06-30,60.9961
2005-07-29,53.0610
2005-08-31,43.4006
2005-09-30,37.2362
2005-10-31,37.6829
2005-11-30,52.0588
2005-12-30,50.2861
2006-01-31,58.7471
2006-02-28,49.1569
2006-03-31,60.5888
2006-04-28,56.7222
2006-05-31,41.8599
2006-06-30,42.6512
2006-07-31,38.2473
2006-08-31,51.9038
2006-09-29,38.5448
2006-10-31,55.9417
2006-11-30,52.7985
2006-12-29,59.8191
2007-01-31,48.1540
2007-02-28,50.9758
2007-03-30,57.4618
2007-04-30,54.4100
2007-05-31,68.9752
2007-06-29,63.7024
2007-07-31,60.6320
2007-08-31,54.2265
2007-09-28,46.1207
2007-10-31,47.3556
2007-11-30,42.6369
2007-12-31,42.0782
2008-01-31,38.0113
2008-02-29,51.7584
2008-03-31,48.4160
2008-04-30,59.5836
2008-05-30,53.7527
2008-06-30,48.6082
2008-07-31,44.3223
2008-08-29,48.9786
2008-09-30,54.5276
2008-10-31,50.2140
2008-11-28,46.1247
2008-12-31,47.0888
2009-01-30,42.6047
2009-02-27,47.5796
2009-03-31,48.5066
2009-04-30,54.7663
2009-05-29,53.7540
2009-06-30,51.2302
2009-07-31,53.7622
2009-08-31,53.7364
2009-09-30,55.8729
2009-10-30,49.7106
2009-11-30,50.8789
2009-12-31,54.8866
2010-01-29,57.8516
2010-02-26,58.9815
2010-03-31,58.6195
2010-04-30,58.1799
2010-05-31,0
2010-06-30,41.5332
2010-07-30,44.9814
2010-08-31,48.2114
2010-09-30,55.6053
2010-10-29,50.0881
2010-11-30,54.8842
2010-12-31,61.2615
2011-01-31,64.0701
2011-02-28,68.8995
2011-03-31,61.0681
2011-04-29,62.7102
2011-05-31,62.7688
2011-06-30,52.4066
2011-07-29,42.6971
2011-08-31,40.8881
2011-09-30,33.5577
2011-10-31,49.0658
2011-11-30,51.4229
2011-12-30,43.0211
2012-01-31,46.6990
2012-02-29,47.9998
2012-03-30,67.2292
2012-04-30,49.9926
2012-05-31,49.6850
2012-06-29,43.2174
2012-07-31,52.2584
2012-08-31,48.2967
2012-09-28,62.8690
2012-10-31,51.5844
2012-11-30,53.7820
2012-12-31,50.6584
2013-01-31,46.4460
2013-02-28,51.2351
2013-03-29,0
2013-04-30,50.9380
2013-05-31,57.2881
2013-06-28,53.8326
2013-07-31,58.1977
2013-08-30,52.3987
2013-09-30,62.5077
2013-10-31,57.1856
2013-11-29,65.8497
2013-12-31,68.8654
2014-01-31,59.8618
2014-02-28,66.1992
2014-03-31,58.2968
2014-04-30,58.7099
2014-05-30,46.8940
2014-06-30,42.9520
2014-07-31,41.2861
2014-08-29,42.6801
2014-09-30,48.7526
2014-10-31,51.5388
2014-11-28,55.5420
2014-12-31,59.2871
2015-01-30,55.1729
2015-02-27,58.8684
2015-03-31,49.6373
2015-04-30,50.9379
2015-05-29,50.6819
2015-06-30,64.2104
2015-07-31,57.0643
2015-08-31,54.7231
2015-09-30,36.4009
2015-10-30,45.4949
2015-11-30,51.0236
2015-12-31,50.9686
2016-01-29,45.8623
2016-02-29,39.0271
2016-03-31,48.1329
2016-04-29,53.9940
2016-05-31,60.4717
2016-06-30,65.0339
2016-07-29,70.0873
2016-08-31,58.7818
2016-09-30,55.9575
2016-10-31,41.5343
2016-11-30,45.0904
2016-12-30,41.4957
2017-01-31,47.3439
2017-02-28,42.4442
2017-03-31,51.7165
2017-04-28,60.8640
2017-05-31,62.9642
2017-06-30,57.8847
2017-07-31,44.6261
2017-08-31,41.9837
2017-09-29,45.1252
2017-10-31,57.9675
2017-11-30,59.5200
2017-12-29,52.1256
2018-01-31,53.8981
2018-02-28,49.3446
2018-03-30,0
2018-04-30,49.0216
2018-05-31,50.6108
2018-06-29,46.2781
2018-07-31,56.0260
2018-08-31,47.8080
2018-09-28,53.1723
2018-10-31,45.2269
2018-11-30,51.2504
2018-12-31,45.7613
2019-01-31,52.2828
2019-02-28,52.6520
2019-03-29,58.6569
2019-04-30,50.6510
2019-05-31,43.9340
2019-06-28,44.8702
2019-07-31,43.5702
2019-08-30,45.4874
2019-09-30,46.0036
2019-10-31,59.9198
2019-11-29,68.7085
2019-12-31,75.6073
2020-01-31,53.9140
2020-02-28,44.9547
2020-03-31,33.9235
2020-04-30,42.1415
2020-05-29,48.0929
2020-06-30,51.6464
2020-07-31,54.5131
2020-08-31,52.8372
2020-09-30,64.5871
2020-10-30,69.3437
2020-11-30,66.9791
2020-12-31,60.3956
2021-01-29,55.2406
2021-02-26,52.1526
2021-03-31,55.8252
2021-04-30,55.6930
2021-05-31,0
2021-06-30,55.4020
2021-07-30,56.5886
2021-08-31,59.3362
2021-09-30,58.6810
2021-10-29,47.0453
2021-11-30,40.4836
2021-12-31,45.4526
2022-01-31,35.8948
2022-02-28,34.0918
2022-03-31,37.4037
