,MFI_daily_60
2000-01-31,0
2000-02-29,53.6512
2000-03-31,64.5758
2000-04-28,59.9789
2000-05-31,56.5000
2000-06-30,51.2433
2000-07-31,50.5996
2000-08-31,63.4335
2000-09-29,64.4242
2000-10-31,62.2504
2000-11-30,57.7314
2000-12-29,54.5320
2001-01-31,51.8155
2001-02-28,47.0100
2001-03-30,46.2594
2001-04-30,35.9276
2001-05-31,52.5126
2001-06-29,53.4382
2001-07-31,58.8667
2001-08-31,47.3442
2001-09-28,62.7463
2001-10-31,59.9747
2001-11-30,56.9980
2001-12-31,47.0972
2002-01-31,49.4745
2002-02-28,60.4320
2002-03-29,0
2002-04-30,66.4428
2002-05-31,63.8835
2002-06-28,63.5730
2002-07-31,43.6131
2002-08-30,42.2729
2002-09-30,55.0569
2002-10-31,51.0662
2002-11-29,47.8244
2002-12-31,42.3053
2003-01-31,44.4785
2003-02-28,45.0082
2003-03-31,40.1635
2003-04-30,52.9470
2003-05-30,54.8225
2003-06-30,51.1399
2003-07-31,56.5261
2003-08-29,58.2891
2003-09-30,60.5124
2003-10-31,63.1872
2003-11-28,58.8828
2003-12-31,60.7105
2004-01-30,53.7783
2004-02-27,53.1339
2004-03-31,49.6813
2004-04-30,49.0692
2004-05-31,0
2004-06-30,45.7246
2004-07-30,58.8552
2004-08-31,72.2424
2004-09-30,72.2714
2004-10-29,63.6298
2004-11-30,69.5612
2004-12-31,72.6942
2005-01-31,67.5992
2005-02-28,58.7268
2005-03-31,57.0379
2005-04-29,54.8135
2005-05-31,52.2000
2005-06-30,54.4069
2005-07-29,54.2670
2005-08-31,52.9882
2005-09-30,47.6357
2005-10-31,47.4375
2005-11-30,42.3273
2005-12-30,38.1610
2006-01-31,45.8417
2006-02-28,52.1399
2006-03-31,63.0632
2006-04-28,57.5065
2006-05-31,47.5783
2006-06-30,45.9814
2006-07-31,50.6796
2006-08-31,53.9758
2006-09-29,52.8145
2006-10-31,56.3357
2006-11-30,56.6541
2006-12-29,57.1695
2007-01-31,51.0812
2007-02-28,51.9545
2007-03-30,50.5742
2007-04-30,58.2273
2007-05-31,57.1466
2007-06-29,59.3571
2007-07-31,50.1527
2007-08-31,57.9065
2007-09-28,51.2560
2007-10-31,46.6031
2007-11-30,52.1960
2007-12-31,48.1026
2008-01-31,49.5875
2008-02-29,40.0166
2008-03-31,43.1936
2008-04-30,53.9710
2008-05-30,57.3009
2008-06-30,54.1314
2008-07-31,58.4261
2008-08-29,59.0551
2008-09-30,54.8006
2008-10-31,47.1086
2008-11-28,46.2293
2008-12-31,51.9807
2009-01-30,45.5386
2009-02-27,40.2141
2009-03-31,39.2499
2009-04-30,49.2619
2009-05-29,55.1747
2009-06-30,53.5327
2009-07-31,52.4143
2009-08-31,51.6761
2009-09-30,55.9370
2009-10-30,50.5240
2009-11-30,42.3059
2009-12-31,46.9698
2010-01-29,52.8392
2010-02-26,60.2776
2010-03-31,55.5246
2010-04-30,67.3654
2010-05-31,0
2010-06-30,50.9891
2010-07-30,43.5602
2010-08-31,43.8504
2010-09-30,54.6212
2010-10-29,51.8417
2010-11-30,52.9832
2010-12-31,52.6446
2011-01-31,58.2825
2011-02-28,67.8333
2011-03-31,56.8154
2011-04-29,52.8338
2011-05-31,41.0325
2011-06-30,48.6984
2011-07-29,52.9179
2011-08-31,58.9916
2011-09-30,48.5617
2011-10-31,50.8762
2011-11-30,54.1250
2011-12-30,52.5430
2012-01-31,48.4575
2012-02-29,51.7786
2012-03-30,54.5006
2012-04-30,55.5210
2012-05-31,43.7740
2012-06-29,41.2626
2012-07-31,45.1532
2012-08-31,51.7588
2012-09-28,46.5876
2012-10-31,47.1019
2012-11-30,43.8222
2012-12-31,43.6448
2013-01-31,49.6388
2013-02-28,57.1175
2013-03-29,0
2013-04-30,57.1642
2013-05-31,47.6452
2013-06-28,53.1225
2013-07-31,53.5702
2013-08-30,57.1342
2013-09-30,53.6252
2013-10-31,54.7758
2013-11-29,58.1404
2013-12-31,62.3261
2014-01-31,48.9226
2014-02-28,49.6891
2014-03-31,43.2377
2014-04-30,46.4646
2014-05-30,40.3769
2014-06-30,46.9699
2014-07-31,46.5174
2014-08-29,50.1393
2014-09-30,49.9421
2014-10-31,53.0803
2014-11-28,50.8733
2014-12-31,43.0800
2015-01-30,34.5578
2015-02-27,51.0376
2015-03-31,60.2843
2015-04-30,66.8567
2015-05-29,53.3192
2015-06-30,52.0162
2015-07-31,53.8614
2015-08-31,49.9074
2015-09-30,44.3380
2015-10-30,41.5180
2015-11-30,46.7334
2015-12-31,50.2066
2016-01-29,45.4158
2016-02-29,42.9026
2016-03-31,52.0660
2016-04-29,58.9546
2016-05-31,56.0728
2016-06-30,60.5699
2016-07-29,59.4550
2016-08-31,53.3920
2016-09-30,50.4282
2016-10-31,46.8374
2016-11-30,63.7664
2016-12-30,57.3056
2017-01-31,57.4625
2017-02-28,48.0754
2017-03-31,45.0899
2017-04-28,54.1950
2017-05-31,49.2734
2017-06-30,44.0375
2017-07-31,43.3366
2017-08-31,48.7686
2017-09-29,61.8888
2017-10-31,64.4671
2017-11-30,70.1745
2017-12-29,60.1809
2018-01-31,59.2945
2018-02-28,49.1584
2018-03-30,0
2018-04-30,44.1523
2018-05-31,51.5860
2018-06-29,52.3543
2018-07-31,60.6708
2018-08-31,61.7435
2018-09-28,72.0615
2018-10-31,56.7395
2018-11-30,51.5170
2018-12-31,46.7156
2019-01-31,57.2775
2019-02-28,60.0458
2019-03-29,62.4354
2019-04-30,67.7021
2019-05-31,63.7219
2019-06-28,65.2046
2019-07-31,60.2596
2019-08-30,64.3544
2019-09-30,58.2406
2019-10-31,55.9881
2019-11-29,48.2695
2019-12-31,51.1111
2020-01-31,57.0641
2020-02-28,62.1231
2020-03-31,60.2174
2020-04-30,55.1929
2020-05-29,57.5704
2020-06-30,33.0729
2020-07-31,32.2170
2020-08-31,28.6432
2020-09-30,54.0035
2020-10-30,50.8536
2020-11-30,56.1890
2020-12-31,56.1382
2021-01-29,53.9121
2021-02-26,56.9915
2021-03-31,64.3085
2021-04-30,68.2294
2021-05-31,0
2021-06-30,46.0586
2021-07-30,46.8885
2021-08-31,65.7238
2021-09-30,60.0438
2021-10-29,57.2858
2021-11-30,46.4551
2021-12-31,51.7912
2022-01-31,42.8297
2022-02-28,49.0673
2022-03-31,54.2410
