,MFI_daily_60
2000-01-31,61.9264
2000-02-29,54.7033
2000-03-31,63.6888
2000-04-28,56.9423
2000-05-31,52.8602
2000-06-30,54.2658
2000-07-31,54.2767
2000-08-31,59.5614
2000-09-29,63.0664
2000-10-31,68.9178
2000-11-30,64.1640
2000-12-29,61.4914
2001-01-31,56.6513
2001-02-28,56.3548
2001-03-30,50.4261
2001-04-30,45.1158
2001-05-31,48.6010
2001-06-29,49.9245
2001-07-31,48.8725
2001-08-31,49.2310
2001-09-28,49.9658
2001-10-31,44.8254
2001-11-30,51.9928
2001-12-31,62.3247
2002-01-31,57.0320
2002-02-28,45.6843
2002-03-29,0
2002-04-30,37.6770
2002-05-31,39.4683
2002-06-28,36.3874
2002-07-31,41.7052
2002-08-30,42.5727
2002-09-30,47.4793
2002-10-31,55.6680
2002-11-29,60.5291
2002-12-31,66.9484
2003-01-31,55.7213
2003-02-28,56.1837
2003-03-31,45.9759
2003-04-30,60.7409
2003-05-30,61.9456
2003-06-30,65.2100
2003-07-31,58.2815
2003-08-29,55.9068
2003-09-30,53.8360
2003-10-31,57.7595
2003-11-28,55.8646
2003-12-31,59.6727
2004-01-30,67.0213
2004-02-27,59.5844
2004-03-31,59.0837
2004-04-30,55.3482
2004-05-31,0
2004-06-30,54.8998
2004-07-30,40.0219
2004-08-31,44.5042
2004-09-30,49.4853
2004-10-29,69.1133
2004-11-30,64.6342
2004-12-31,57.4238
2005-01-31,48.1127
2005-02-28,44.2152
2005-03-31,42.5547
2005-04-29,44.2172
2005-05-31,47.2681
2005-06-30,57.4255
2005-07-29,62.2588
2005-08-31,55.6394
2005-09-30,61.0827
2005-10-31,49.2872
2005-11-30,53.4408
2005-12-30,49.0935
2006-01-31,62.8062
2006-02-28,60.8889
2006-03-31,63.7740
2006-04-28,60.9694
2006-05-31,50.5235
2006-06-30,47.5257
2006-07-31,48.5832
2006-08-31,51.5398
2006-09-29,65.8238
2006-10-31,63.6139
2006-11-30,57.4553
2006-12-29,55.3527
2007-01-31,56.9119
2007-02-28,53.0371
2007-03-30,50.6798
2007-04-30,52.8949
2007-05-31,63.0615
2007-06-29,57.3038
2007-07-31,51.9037
2007-08-31,55.6678
2007-09-28,60.9644
2007-10-31,58.1834
2007-11-30,48.9677
2007-12-31,42.4287
2008-01-31,40.5151
2008-02-29,45.2054
2008-03-31,48.4553
2008-04-30,52.5510
2008-05-30,52.0211
2008-06-30,48.3970
2008-07-31,54.2668
2008-08-29,50.6398
2008-09-30,45.8984
2008-10-31,43.5148
2008-11-28,44.8423
2008-12-31,46.2051
2009-01-30,47.9009
2009-02-27,51.8377
2009-03-31,52.8187
2009-04-30,50.4961
2009-05-29,57.2360
2009-06-30,58.2716
2009-07-31,64.7385
2009-08-31,58.2496
2009-09-30,50.4383
2009-10-30,49.1433
2009-11-30,54.6783
