,MFI_daily_60
2000-01-31,32.9844
2000-02-29,31.5393
2000-03-31,31.5841
2000-04-28,49.7634
2000-05-31,49.9528
2000-06-30,29.6841
2000-07-31,36.8740
2000-08-31,34.2744
2000-09-29,46.8005
2000-10-31,45.9988
2000-11-30,45.7353
2000-12-29,43.9218
2001-01-31,63.5632
2001-02-28,70.3981
2001-03-30,69.9995
2001-04-30,68.0001
2001-05-31,71.3427
2001-06-29,65.8766
2001-07-31,48.2171
2001-08-31,55.5682
2001-09-28,50.6807
2001-10-31,66.4328
2001-11-30,63.4319
2001-12-31,74.6733
2002-01-31,73.1753
2002-02-28,66.1785
2002-03-29,0
2002-04-30,62.0486
2002-05-31,60.6059
2002-06-28,65.0953
2002-07-31,47.8368
2002-08-30,49.1982
2002-09-30,47.7859
2002-10-31,51.7896
2002-11-29,51.1651
2002-12-31,54.9457
2003-01-31,41.2055
2003-02-28,36.5230
2003-03-31,40.5918
2003-04-30,63.7486
2003-05-30,63.9017
2003-06-30,64.6641
2003-07-31,60.9461
2003-08-29,63.8387
2003-09-30,65.5017
2003-10-31,65.1717
2003-11-28,63.8081
2003-12-31,54.9591
2004-01-30,58.1303
2004-02-27,63.5693
2004-03-31,69.5854
2004-04-30,59.8003
2004-05-31,0
2004-06-30,63.0557
2004-07-30,58.0905
2004-08-31,41.0827
2004-09-30,43.0062
2004-10-29,58.1836
2004-11-30,59.0941
2004-12-31,59.4669
2005-01-31,45.8260
2005-02-28,46.3954
2005-03-31,46.9689
2005-04-29,47.1307
2005-05-31,56.1314
2005-06-30,57.1225
2005-07-29,62.6061
2005-08-31,43.4149
2005-09-30,46.0931
2005-10-31,47.8885
2005-11-30,55.3432
2005-12-30,39.3469
2006-01-31,41.1808
2006-02-28,40.9923
2006-03-31,50.8363
2006-04-28,44.5696
2006-05-31,40.3879
2006-06-30,41.4565
2006-07-31,29.4866
2006-08-31,36.5013
2006-09-29,50.8104
2006-10-31,54.0429
2006-11-30,62.6477
2006-12-29,61.3327
2007-01-31,64.0007
2007-02-28,57.0270
2007-03-30,55.6202
2007-04-30,52.0101
2007-05-31,52.1566
2007-06-29,42.2290
2007-07-31,42.6584
2007-08-31,45.2150
2007-09-28,49.3338
2007-10-31,53.2109
2007-11-30,51.9716
2007-12-31,49.8131
2008-01-31,51.3199
2008-02-29,56.9241
2008-03-31,57.0748
2008-04-30,58.3061
2008-05-30,48.4365
2008-06-30,47.0610
2008-07-31,54.2141
2008-08-29,60.8382
2008-09-30,50.7332
2008-10-31,39.6728
2008-11-28,34.2867
2008-12-31,42.6874
2009-01-30,51.2846
2009-02-27,54.1437
2009-03-31,49.0962
2009-04-30,49.2644
2009-05-29,51.8085
2009-06-30,53.6273
2009-07-31,53.4106
2009-08-31,57.3482
2009-09-30,63.0711
2009-10-30,58.1107
2009-11-30,55.9343
2009-12-31,55.0020
2010-01-29,41.0406
2010-02-26,52.1055
2010-03-31,61.0421
2010-04-30,66.8215
2010-05-31,0
2010-06-30,50.2268
2010-07-30,48.0069
2010-08-31,44.9304
2010-09-30,40.6021
2010-10-29,38.9624
2010-11-30,47.6496
2010-12-31,48.3859
2011-01-31,50.5635
2011-02-28,42.5543
2011-03-31,37.5599
2011-04-29,48.8721
2011-05-31,39.0833
2011-06-30,45.0986
2011-07-29,46.6485
2011-08-31,44.1041
2011-09-30,33.5606
2011-10-31,39.6288
2011-11-30,41.8360
2011-12-30,45.1430
2012-01-31,45.8477
2012-02-29,55.6113
2012-03-30,54.9983
2012-04-30,58.7706
2012-05-31,52.7031
2012-06-29,47.1268
2012-07-31,51.8958
2012-08-31,67.5281
2012-09-28,58.0754
2012-10-31,54.5657
2012-11-30,43.1678
2012-12-31,52.3344
2013-01-31,57.3453
2013-02-28,51.6910
2013-03-29,0
2013-04-30,46.8241
2013-05-31,48.8751
2013-06-28,46.5444
2013-07-31,50.7961
2013-08-30,53.6563
2013-09-30,43.4443
2013-10-31,41.9584
2013-11-29,41.4971
2013-12-31,49.4180
2014-01-31,42.0728
2014-02-28,45.5861
2014-03-31,46.8437
