,MFI_daily_60
2000-01-31,50.5990
2000-02-29,59.7038
2000-03-31,64.6487
2000-04-28,59.6294
2000-05-31,51.3960
2000-06-30,62.5144
2000-07-31,61.5288
2000-08-31,59.3083
2000-09-29,53.8595
2000-10-31,46.3885
2000-11-30,39.1658
2000-12-29,45.6095
2001-01-31,60.5282
2001-02-28,62.6075
2001-03-30,59.0995
2001-04-30,52.8598
2001-05-31,48.3375
2001-06-29,45.0629
2001-07-31,44.0853
2001-08-31,50.6754
2001-09-28,49.8525
2001-10-31,52.5489
2001-11-30,46.2458
2001-12-31,48.2101
2002-01-31,41.4288
2002-02-28,43.3455
2002-03-29,0
2002-04-30,51.6479
2002-05-31,45.9499
2002-06-28,28.6071
2002-07-31,33.6574
2002-08-30,47.1897
2002-09-30,54.0530
2002-10-31,52.2791
2002-11-29,50.3871
2002-12-31,54.8714
2003-01-31,61.1240
2003-02-28,61.6120
2003-03-31,62.1677
2003-04-30,67.9119
2003-05-30,61.8728
2003-06-30,58.2513
2003-07-31,48.3331
2003-08-29,55.3558
2003-09-30,61.0686
2003-10-31,68.2868
2003-11-28,54.6269
2003-12-31,53.9848
2004-01-30,54.3467
2004-02-27,48.8901
2004-03-31,48.2675
2004-04-30,46.9245
2004-05-31,0
2004-06-30,58.4003
2004-07-30,58.2460
2004-08-31,47.5961
2004-09-30,43.7533
2004-10-29,53.1418
2004-11-30,68.7552
2004-12-31,62.6495
2005-01-31,64.5900
2005-02-28,63.8882
2005-03-31,60.8956
2005-04-29,48.7293
2005-05-31,46.8851
2005-06-30,53.9799
2005-07-29,65.6494
2005-08-31,58.8233
2005-09-30,61.1745
2005-10-31,52.4725
2005-11-30,52.2262
2005-12-30,52.0413
2006-01-31,57.4403
2006-02-28,51.5251
2006-03-31,51.2101
2006-04-28,49.6959
2006-05-31,56.6261
2006-06-30,49.7419
2006-07-31,50.9658
2006-08-31,52.3178
2006-09-29,46.9357
2006-10-31,45.1470
2006-11-30,58.8060
2006-12-29,63.0518
2007-01-31,62.4301
2007-02-28,48.8200
2007-03-30,55.8801
2007-04-30,53.2610
2007-05-31,59.1038
2007-06-29,53.2389
2007-07-31,54.4502
2007-08-31,54.6626
2007-09-28,58.1155
2007-10-31,59.3466
2007-11-30,55.8850
2007-12-31,58.9990
2008-01-31,51.5776
2008-02-29,54.5237
2008-03-31,48.0620
2008-04-30,55.6075
2008-05-30,50.7497
2008-06-30,55.3720
2008-07-31,43.2787
2008-08-29,44.9656
2008-09-30,38.0985
2008-10-31,41.8324
2008-11-28,40.8453
2008-12-31,47.8659
2009-01-30,42.7738
2009-02-27,44.1856
2009-03-31,47.3481
2009-04-30,56.0804
2009-05-29,65.2542
2009-06-30,61.1691
2009-07-31,55.7205
2009-08-31,55.6266
2009-09-30,59.8408
2009-10-30,53.5846
2009-11-30,55.5335
2009-12-31,52.1942
2010-01-29,48.9172
2010-02-26,49.6428
2010-03-31,54.6356
2010-04-30,58.3323
2010-05-31,0
2010-06-30,40.1743
2010-07-30,45.3946
2010-08-31,55.0579
2010-09-30,55.2026
2010-10-29,53.7060
2010-11-30,53.5334
2010-12-31,57.3890
2011-01-31,56.6927
2011-02-28,62.4006
2011-03-31,60.0717
2011-04-29,64.3258
2011-05-31,50.3605
2011-06-30,45.9484
2011-07-29,52.0641
2011-08-31,52.3528
2011-09-30,52.9564
2011-10-31,60.0320
2011-11-30,63.3559
2011-12-30,70.2428
2012-01-31,65.3027
2012-02-29,60.1418
2012-03-30,58.9504
2012-04-30,62.8132
2012-05-31,51.2144
2012-06-29,43.6265
2012-07-31,43.2039
2012-08-31,57.8548
2012-09-28,65.3209
2012-10-31,60.3055
2012-11-30,48.8094
2012-12-31,51.4011
2013-01-31,59.0930
2013-02-28,55.9036
2013-03-29,0
2013-04-30,53.4359
2013-05-31,50.2061
2013-06-28,37.1607
2013-07-31,41.0885
2013-08-30,49.2871
2013-09-30,55.5561
2013-10-31,47.0751
2013-11-29,48.6340
2013-12-31,53.1952
2014-01-31,56.3310
2014-02-28,54.1842
2014-03-31,53.2458
2014-04-30,53.0956
2014-05-30,66.1084
2014-06-30,71.5646
2014-07-31,62.6257
2014-08-29,59.5201
2014-09-30,40.8075
2014-10-31,45.8366
2014-11-28,39.7683
2014-12-31,42.3807
2015-01-30,46.9018
2015-02-27,57.2568
2015-03-31,64.3801
2015-04-30,59.0103
2015-05-29,49.2382
2015-06-30,51.6773
2015-07-31,50.6426
2015-08-31,49.2144
2015-09-30,38.7106
2015-10-30,44.0429
2015-11-30,40.4778
2015-12-31,38.3398
2016-01-29,38.2877
2016-02-29,39.8614
2016-03-31,44.7595
2016-04-29,58.8807
2016-05-31,59.5803
2016-06-30,56.5171
2016-07-29,56.3855
2016-08-31,53.2970
2016-09-30,61.2723
2016-10-31,49.4959
2016-11-30,48.6094
2016-12-30,46.3158
2017-01-31,41.8831
2017-02-28,39.5980
2017-03-31,44.4028
2017-04-28,59.8291
2017-05-31,50.5769
2017-06-30,52.1224
2017-07-31,53.8332
2017-08-31,52.2775
2017-09-29,46.4911
2017-10-31,42.5665
2017-11-30,44.2944
2017-12-29,52.0554
2018-01-31,58.2825
2018-02-28,53.2164
2018-03-30,0
2018-04-30,33.9781
2018-05-31,43.8348
2018-06-29,55.0558
2018-07-31,57.3411
2018-08-31,49.8129
