,MOM_daily_20
2000-01-31,-0.0661
2000-02-29,-0.8907
2000-03-31,0.8541
2000-04-28,2.1565
2000-05-31,0.4021
2000-06-30,-0.6057
2000-07-31,0.8839
2000-08-31,0.8839
2000-09-29,0.7478
2000-10-31,-0.5516
2000-11-30,1.3791
2000-12-29,0.9538
2001-01-31,-1.6451
2001-02-28,0.3432
2001-03-30,-0.3250
2001-04-30,0.3863
2001-05-31,1.1098
2001-06-29,-0.3205
2001-07-31,-1.5990
2001-08-31,0.3267
2001-09-28,-0.8598
2001-10-31,-0.1795
2001-11-30,0.1874
2001-12-31,0.8132
2002-01-31,0.0476
2002-02-28,-0.6383
2002-03-29,0
2002-04-30,-0.1730
2002-05-31,0.7324
2002-06-28,-0.0191
2002-07-31,0.7436
2002-08-30,0.4617
2002-09-30,-0.7279
2002-10-31,-0.6096
2002-11-29,0.3939
2002-12-31,0.3834
2003-01-31,-1.2425
2003-02-28,-0.1727
2003-03-31,0.2316
2003-04-30,0.7663
2003-05-30,2.0763
2003-06-30,-0.3721
2003-07-31,-1.2896
2003-08-29,0.3517
2003-09-30,0.3451
2003-10-31,0.5067
2003-11-28,-0.2203
2003-12-31,0.8163
2004-01-30,1.0234
2004-02-27,-0.3575
2004-03-31,-0.4170
2004-04-30,-1.1231
2004-05-31,0
2004-06-30,-0.2428
2004-07-30,1.0338
2004-08-31,0.6892
2004-09-30,-0.0353
2004-10-29,0.7499
2004-11-30,0.1444
2004-12-31,1.2240
2005-01-31,-0.0094
2005-02-28,0.7880
2005-03-31,-0.9547
2005-04-29,1.2611
2005-05-31,1.1656
2005-06-30,0.4240
2005-07-29,0.1547
2005-08-31,-0.6236
2005-09-30,-0.8268
2005-10-31,-0.6013
2005-11-30,0.4009
2005-12-30,-0.3390
2006-01-31,-0.2375
2006-02-28,-0.1039
2006-03-31,-0.0732
2006-04-28,0.0301
2006-05-31,-0.1855
2006-06-30,0.6173
2006-07-31,0.5076
2006-08-31,1.2944
2006-09-29,-0.0610
2006-10-31,0.8015
2006-11-30,0.2158
2006-12-29,-0.1810
2007-01-31,-0.3223
2007-02-28,-0.3379
2007-03-30,-0.3627
2007-04-30,1.1947
2007-05-31,-0.4158
2007-06-29,-1.6631
2007-07-31,-1.1454
2007-08-31,1.7261
2007-09-28,1.3753
2007-10-31,0.2751
2007-11-30,0.4800
2007-12-31,0.5428
2008-01-31,-4.6993
2008-02-29,-1.1134
2008-03-31,1.0968
2008-04-30,0.0554
2008-05-30,-0.4821
2008-06-30,-1.2174
2008-07-31,-0.7533
2008-08-29,1.5009
2008-09-30,-0.9189
2008-10-31,-2.5980
2008-11-28,1.7015
2008-12-31,-0.0536
2009-01-30,-0.0058
2009-02-27,-6.3254
2009-03-31,1.4267
2009-04-30,-0.2373
2009-05-29,0.1424
2009-06-30,0.5960
2009-07-31,0.6752
2009-08-31,0.8802
2009-09-30,-0.8081
2009-10-30,-0.1101
2009-11-30,1.0093
2009-12-31,0.8927
2010-01-29,-1.7745
2010-02-26,-0.6329
2010-03-31,0.6476
2010-04-30,-0.3086
2010-05-31,0
2010-06-30,-0.2563
2010-07-30,1.1391
2010-08-31,1.2543
2010-09-30,-0.0647
2010-10-29,0.1233
2010-11-30,-0.0843
2010-12-31,-0.4226
2011-01-31,0.1183
2011-02-28,-0.2893
2011-03-31,0.2657
2011-04-29,0.8267
2011-05-31,0.1133
2011-06-30,-0.0416
2011-07-29,-0.0135
2011-08-31,1.1553
2011-09-30,0.2199
2011-10-31,1.9648
2011-11-30,2.0059
2011-12-30,-0.1050
2012-01-31,-1.0329
2012-02-29,0.2981
2012-03-30,0.7035
2012-04-30,0.1474
2012-05-31,-0.2667
2012-06-29,1.3371
2012-07-31,0.4404
2012-08-31,-1.1507
2012-09-28,0.0508
2012-10-31,0.2732
2012-11-30,-2.0708
2012-12-31,0.8361
2013-01-31,0.8161
2013-02-28,0.9910
2013-03-29,0
2013-04-30,0.8037
2013-05-31,-1.4230
2013-06-28,0.5914
2013-07-31,1.2979
2013-08-30,-2.1333
2013-09-30,1.0825
2013-10-31,1.2456
2013-11-29,-0.2491
2013-12-31,0.3812
2014-01-31,1.7634
2014-02-28,2.4046
2014-03-31,0.9585
2014-04-30,0.4241
2014-05-30,-1.4959
2014-06-30,1.7421
2014-07-31,-1.0906
2014-08-29,1.0672
2014-09-30,-0.4846
2014-10-31,2.7147
2014-11-28,0.4170
2014-12-31,2.3846
2015-01-30,-0.6751
2015-02-27,-3.2563
2015-03-31,0.3421
2015-04-30,-1.1470
2015-05-29,-0.5695
2015-06-30,-1.2294
2015-07-31,2.0919
2015-08-31,-1.0540
2015-09-30,2.9145
2015-10-30,1.1143
2015-11-30,0.0655
2015-12-31,0.6781
2016-01-29,0.7612
2016-02-29,1.6797
2016-03-31,2.9720
2016-04-29,-1.7627
2016-05-31,1.1877
2016-06-30,4.1609
2016-07-29,-0.9685
2016-08-31,-1.8946
2016-09-30,0.3818
2016-10-31,1.1310
2016-11-30,-0.0428
2016-12-30,3.4440
2017-01-31,0.1643
2017-02-28,2.5935
2017-03-31,0.1260
2017-04-28,0.0000
2017-05-31,2.1789
2017-06-30,-1.8054
