,MOM_daily_20
2000-01-31,-0.0524
2000-02-29,-0.3024
2000-03-31,1.1870
2000-04-28,1.1259
2000-05-31,0.0000
2000-06-30,0.9816
2000-07-31,2.2446
2000-08-31,-1.1659
2000-09-29,1.4758
2000-10-31,-0.2896
2000-11-30,0.3904
2000-12-29,1.6328
2001-01-31,-0.3863
2001-02-28,-0.3269
2001-03-30,-0.7734
2001-04-30,-0.1788
2001-05-31,0.5627
2001-06-29,0.5640
2001-07-31,0.1415
2001-08-31,0.6633
2001-09-28,-1.1707
2001-10-31,-0.0896
2001-11-30,0.9009
2001-12-31,-0.1786
2002-01-31,-0.9722
2002-02-28,0.6996
2002-03-29,0
2002-04-30,-1.2530
2002-05-31,0.1658
2002-06-28,0.0191
2002-07-31,-0.4161
2002-08-30,0.4676
2002-09-30,-1.2858
2002-10-31,-1.5688
2002-11-29,0.9032
2002-12-31,0.0474
2003-01-31,-1.2826
2003-02-28,0.0048
2003-03-31,0.4552
2003-04-30,1.0850
2003-05-30,0.8779
2003-06-30,0.4459
2003-07-31,1.3433
2003-08-29,-0.4010
2003-09-30,0.1318
2003-10-31,-0.8802
2003-11-28,0.9361
2003-12-31,-0.1879
2004-01-30,0.6709
2004-02-27,0.7638
2004-03-31,0.8064
2004-04-30,-2.2902
2004-05-31,0
2004-06-30,1.8957
2004-07-30,0.7094
2004-08-31,0.4765
2004-09-30,0.5393
2004-10-29,2.1800
2004-11-30,2.4639
2004-12-31,2.1336
2005-01-31,-4.5305
2005-02-28,1.4597
2005-03-31,-0.9716
2005-04-29,2.9068
2005-05-31,1.5791
2005-06-30,3.1788
2005-07-29,3.7269
2005-08-31,-2.1336
2005-09-30,1.1857
2005-10-31,-0.2001
2005-11-30,2.9410
2005-12-30,-1.1047
2006-01-31,5.7322
2006-02-28,2.2750
2006-03-31,4.4167
2006-04-28,-0.1298
2006-05-31,1.2471
2006-06-30,1.4868
2006-07-31,3.5810
2006-08-31,2.3418
2006-09-29,0.1032
2006-10-31,5.3090
2006-11-30,2.1168
2006-12-29,-1.2760
2007-01-31,10.5395
2007-02-28,-6.2224
