,MOM_daily_20
2000-01-31,-0.4032
2000-02-29,-1.5494
2000-03-31,-0.1296
2000-04-28,3.7519
2000-05-31,0.4479
2000-06-30,0.6407
2000-07-31,-1.6481
2000-08-31,-0.4454
2000-09-29,0.5748
2000-10-31,2.5816
2000-11-30,-2.0290
2000-12-29,2.1599
2001-01-31,-1.7106
2001-02-28,0.7375
2001-03-30,-0.5450
2001-04-30,0.8089
2001-05-31,0.1402
2001-06-29,0.8158
2001-07-31,-0.0209
2001-08-31,0.4721
2001-09-28,0.1260
2001-10-31,0.0140
2001-11-30,-0.0452
2001-12-31,-0.4358
2002-01-31,1.2935
2002-02-28,0.9356
2002-03-29,0
2002-04-30,0.2400
2002-05-31,-1.2114
2002-06-28,-0.2515
2002-07-31,-1.4982
2002-08-30,1.4065
2002-09-30,-0.9389
2002-10-31,0.5797
2002-11-29,1.0883
2002-12-31,1.0497
2003-01-31,-1.6031
2003-02-28,1.0894
2003-03-31,1.9896
2003-04-30,0.4589
2003-05-30,1.0512
2003-06-30,0.6404
2003-07-31,-0.2806
2003-08-29,0.5311
2003-09-30,-0.1949
2003-10-31,0.4982
2003-11-28,0.5604
2003-12-31,-0.4527
2004-01-30,-1.5101
2004-02-27,2.9905
2004-03-31,1.4217
2004-04-30,2.8761
2004-05-31,0
2004-06-30,0.8086
2004-07-30,-1.6317
2004-08-31,0.4139
2004-09-30,-0.7234
2004-10-29,-3.3393
2004-11-30,-0.2395
2004-12-31,-0.7993
2005-01-31,2.5811
2005-02-28,0.8212
2005-03-31,-0.1325
2005-04-29,-1.7223
2005-05-31,0.8110
2005-06-30,-1.3672
2005-07-29,-3.7985
2005-08-31,-0.3493
2005-09-30,-4.0185
2005-10-31,0.1040
2005-11-30,0.2611
2005-12-30,0.8075
2006-01-31,-0.1720
2006-02-28,0.6472
2006-03-31,1.7910
2006-04-28,1.2417
2006-05-31,-0.0876
2006-06-30,-0.4389
2006-07-31,-1.5209
2006-08-31,0.9889
2006-09-29,1.4846
2006-10-31,0.1370
2006-11-30,1.5701
2006-12-29,0.3061
2007-01-31,1.0332
2007-02-28,2.0937
2007-03-30,0.6229
2007-04-30,1.9533
2007-05-31,-1.8805
2007-06-29,-1.9008
2007-07-31,-0.5718
2007-08-31,-0.3573
2007-09-28,2.5794
2007-10-31,2.7347
2007-11-30,1.0179
2007-12-31,-1.1864
2008-01-31,-3.4733
2008-02-29,2.5945
2008-03-31,1.1610
2008-04-30,-1.2473
2008-05-30,0.5726
2008-06-30,-1.8688
2008-07-31,5.7719
2008-08-29,0.3403
2008-09-30,-1.3864
2008-10-31,-10.7979
2008-11-28,-1.0044
2008-12-31,2.6793
2009-01-30,-2.8633
2009-02-27,-2.4571
2009-03-31,2.6484
2009-04-30,2.7372
2009-05-29,3.2569
2009-06-30,-1.4743
2009-07-31,5.4981
2009-08-31,-0.2483
2009-09-30,2.4348
2009-10-30,-0.4591
2009-11-30,1.9706
2009-12-31,-3.2904
2010-01-29,-1.3854
2010-02-26,-0.2879
2010-03-31,2.3341
2010-04-30,-1.4952
2010-05-31,0
2010-06-30,0.3182
2010-07-30,3.5667
2010-08-31,-1.7768
2010-09-30,2.3618
2010-10-29,-1.4087
2010-11-30,-0.2415
2010-12-31,-0.1105
2011-01-31,-0.6374
2011-02-28,-0.0207
2011-03-31,-0.5826
2011-04-29,2.0047
2011-05-31,0.3141
2011-06-30,-0.7165
2011-07-29,-1.5280
2011-08-31,-1.5477
2011-09-30,-2.1992
2011-10-31,-0.6022
2011-11-30,-0.3878
2011-12-30,0.6452
2012-01-31,0.2651
2012-02-29,1.0114
2012-03-30,0.6350
2012-04-30,2.0034
2012-05-31,-2.8232
2012-06-29,0.4889
2012-07-31,-0.2354
2012-08-31,0.7100
2012-09-28,0.4684
2012-10-31,-0.6062
2012-11-30,-1.6170
2012-12-31,0.3782
2013-01-31,1.7988
2013-02-28,2.6555
2013-03-29,0
2013-04-30,2.6831
2013-05-31,0.5186
2013-06-28,-2.3561
2013-07-31,1.4563
2013-08-30,-2.2033
2013-09-30,0.7720
2013-10-31,-2.7998
2013-11-29,0.3641
2013-12-31,-0.4947
2014-01-31,-2.0254
2014-02-28,0.5606
2014-03-31,-0.3748
2014-04-30,0.5341
2014-05-30,0.5934
2014-06-30,0.1412
2014-07-31,-1.3271
2014-08-29,0.8198
2014-09-30,-1.1343
2014-10-31,-1.1721
2014-11-28,-0.7033
2014-12-31,-0.3708
2015-01-30,-1.5686
2015-02-27,0.6355
2015-03-31,-0.7945
2015-04-30,0.3063
2015-05-29,-1.3309
2015-06-30,-0.2897
2015-07-31,-0.5698
2015-08-31,-0.5882
