,MOM_daily_20
2000-01-31,0.2001
2000-02-29,-1.7543
2000-03-31,1.1334
2000-04-28,0.6789
2000-05-31,0.6434
2000-06-30,1.2624
2000-07-31,1.3915
2000-08-31,0.8098
2000-09-29,-0.6471
2000-10-31,0.5854
2000-11-30,0.8753
2000-12-29,0.5533
2001-01-31,-0.3318
2001-02-28,0.8702
2001-03-30,0.1536
2001-04-30,-0.5669
2001-05-31,1.3726
2001-06-29,0.1479
2001-07-31,-0.0758
2001-08-31,1.2930
2001-09-28,0.8076
2001-10-31,-1.3954
2001-11-30,1.0807
2001-12-31,0.8511
2002-01-31,1.0470
2002-02-28,0.6635
2002-03-29,0
2002-04-30,-0.3835
2002-05-31,-1.2656
2002-06-28,-3.5476
2002-07-31,-0.7440
2002-08-30,-0.7479
2002-09-30,-2.2014
2002-10-31,-0.7977
2002-11-29,2.6731
2002-12-31,-1.1137
2003-01-31,-0.1996
2003-02-28,0.1330
2003-03-31,-3.8854
2003-04-30,1.7373
2003-05-30,0.8725
2003-06-30,0.4187
2003-07-31,1.0173
2003-08-29,-0.0822
2003-09-30,0.1722
2003-10-31,-1.2169
2003-11-28,0.1291
2003-12-31,1.1660
2004-01-30,-0.5466
2004-02-27,0.1436
2004-03-31,0.6503
2004-04-30,0.3112
2004-05-31,0
2004-06-30,1.1131
2004-07-30,-1.5480
2004-08-31,0.0758
2004-09-30,0.5346
2004-10-29,-0.6543
2004-11-30,0.3072
2004-12-31,1.1194
2005-01-31,-0.3168
2005-02-28,0.7880
2005-03-31,-0.5565
2005-04-29,1.3608
2005-05-31,0.0081
2005-06-30,0.0691
2005-07-29,0.8814
2005-08-31,0.2965
2005-09-30,-0.0447
2005-10-31,-0.6743
2005-11-30,0.9139
2005-12-30,-0.5310
2006-01-31,-0.3298
2006-02-28,0.4123
2006-03-31,0.1278
2006-04-28,-0.3051
2006-05-31,0.2020
2006-06-30,-0.5566
2006-07-31,2.1603
2006-08-31,0.9688
2006-09-29,0.4453
2006-10-31,0.3051
2006-11-30,-0.3752
2006-12-29,0.9283
2007-01-31,1.3656
2007-02-28,0.2297
2007-03-30,1.6832
2007-04-30,1.6594
2007-05-31,-0.2095
2007-06-29,-0.2701
2007-07-31,-2.1855
2007-08-31,0.5296
2007-09-28,1.1159
2007-10-31,1.7116
2007-11-30,0.2572
2007-12-31,-0.6779
2008-01-31,1.1721
2008-02-29,-0.6516
2008-03-31,-0.4150
2008-04-30,1.0066
2008-05-30,-0.7603
2008-06-30,1.4858
2008-07-31,2.0375
2008-08-29,-0.2728
2008-09-30,-1.6842
2008-10-31,-2.8350
2008-11-28,-2.9205
2008-12-31,0.3193
2009-01-30,2.1744
2009-02-27,-3.1542
2009-03-31,-0.1906
2009-04-30,-0.9372
2009-05-29,1.1618
2009-06-30,2.1879
2009-07-31,1.5157
2009-08-31,0.1650
2009-09-30,0.5284
2009-10-30,-1.1519
2009-11-30,0.2138
2009-12-31,1.3259
2010-01-29,-0.6141
2010-02-26,-0.5571
2010-03-31,-0.2257
2010-04-30,-4.8529
2010-05-31,0
2010-06-30,-0.3889
2010-07-30,1.1674
2010-08-31,-0.8301
2010-09-30,2.0250
2010-10-29,1.4658
2010-11-30,-0.9251
2010-12-31,0.5707
2011-01-31,-0.9578
2011-02-28,2.0461
2011-03-31,0.0783
2011-04-29,1.4157
2011-05-31,0.8639
2011-06-30,0.6152
2011-07-29,-0.6912
2011-08-31,0.1455
2011-09-30,0.4926
2011-10-31,0.5945
2011-11-30,-0.8505
2011-12-30,-1.0624
2012-01-31,2.7618
2012-02-29,1.2198
2012-03-30,0.9890
2012-04-30,-2.0232
2012-05-31,-2.2408
2012-06-29,1.5434
2012-07-31,2.1672
2012-08-31,-0.1165
2012-09-28,1.0659
2012-10-31,1.1930
2012-11-30,1.2493
2012-12-31,0.4017
2013-01-31,0.0899
2013-02-28,-0.1419
2013-03-29,0
2013-04-30,-1.1138
2013-05-31,-0.1761
2013-06-28,-0.2698
2013-07-31,1.6155
2013-08-30,-0.4219
2013-09-30,-1.6338
2013-10-31,0.6807
2013-11-29,1.2455
2013-12-31,0.9126
2014-01-31,-0.4328
2014-02-28,0.1118
2014-03-31,2.5388
2014-04-30,-0.4310
2014-05-30,0.0098
2014-06-30,-0.6931
2014-07-31,-0.1480
2014-08-29,0.0049
2014-09-30,-0.9942
2014-10-31,-1.3760
2014-11-28,1.4605
2014-12-31,0.0581
2015-01-30,-1.4908
2015-02-27,-1.1156
2015-03-31,-0.1970
2015-04-30,0.6049
2015-05-29,-0.8137
2015-06-30,1.8085
2015-07-31,1.6475
2015-08-31,-0.9811
2015-09-30,-3.9604
2015-10-30,3.5651
2015-11-30,0.2414
2015-12-31,0.7357
2016-01-29,-1.3503
2016-02-29,2.7100
2016-03-31,1.2795
2016-04-29,2.3629
2016-05-31,-1.4476
2016-06-30,1.6768
2016-07-29,2.6229
2016-08-31,-1.1803
2016-09-30,1.3339
2016-10-31,-0.0470
2016-11-30,-2.2451
2016-12-30,0.6689
2017-01-31,3.3633
2017-02-28,3.7873
2017-03-31,0.8973
2017-04-28,3.2397
2017-05-31,3.5797
2017-06-30,0.7766
2017-07-31,-0.0568
2017-08-31,2.4732
2017-09-29,0.6742
2017-10-31,1.7566
2017-11-30,1.4148
2017-12-29,-0.8471
2018-01-31,4.6259
2018-02-28,-3.7693
2018-03-30,0
2018-04-30,5.7916
2018-05-31,0.5725
2018-06-29,1.0906
2018-07-31,-1.2437
2018-08-31,2.1154
2018-09-28,3.0597
2018-10-31,-12.8526
2018-11-30,5.4384
2018-12-31,-1.9352
2019-01-31,6.9154
2019-02-28,3.0778
2019-03-29,5.2745
2019-04-30,-5.2745
2019-05-31,-2.7481
2019-06-28,8.3837
2019-07-31,2.1855
2019-08-30,3.3566
2019-09-30,-0.4653
2019-10-31,-8.2791
2019-11-29,5.1090
2019-12-31,1.9225
2020-01-31,3.2563
2020-02-28,-6.7577
2020-03-31,-4.6000
2020-04-30,9.8627
2020-05-29,1.1987
2020-06-30,-4.5240
2020-07-31,-0.8111
2020-08-31,4.0634
2020-09-30,-5.0276
2020-10-30,-1.2349
2020-11-30,-1.4701
2020-12-31,4.0648
2021-01-29,-2.3302
2021-02-26,0.7689
2021-03-31,7.0912
2021-04-30,1.3512
2021-05-31,0
2021-06-30,-0.8128
2021-07-30,-4.0773
2021-08-31,-0.0594
2021-09-30,3.0756
2021-10-29,-2.3138
2021-11-30,-5.2135
2021-12-31,9.5783
2022-01-31,-0.3987
2022-02-28,-0.0388
2022-03-31,-7.6500
