,MOM_daily_20
2000-01-31,-1.1433
2000-02-29,0.5295
2000-03-31,2.8314
2000-04-28,2.4132
2000-05-31,-1.3574
2000-06-30,-4.1868
2000-07-31,2.9908
2000-08-31,-0.5024
2000-09-29,-1.5177
2000-10-31,0.9527
2000-11-30,-0.4764
2000-12-29,1.5209
2001-01-31,-1.9482
2001-02-28,0.2968
2001-03-30,0.4946
2001-04-30,0.2119
2001-05-31,1.6082
2001-06-29,-0.9669
2001-07-31,-0.4646
2001-08-31,0.4791
2001-09-28,-0.1375
2001-10-31,-2.2431
2001-11-30,-0.1216
2001-12-31,-0.1096
2002-01-31,0.3132
2002-02-28,1.2722
2002-03-29,0
2002-04-30,1.4363
2002-05-31,-0.7919
2002-06-28,0.6769
2002-07-31,-2.4022
2002-08-30,0.6426
2002-09-30,-1.9430
2002-10-31,1.4572
2002-11-29,0.2536
2002-12-31,-0.3436
2003-01-31,-1.4306
2003-02-28,-0.0350
2003-03-31,-0.0865
2003-04-30,0.5239
2003-05-30,-0.0705
2003-06-30,-0.1566
2003-07-31,0.6593
2003-08-29,0.7201
2003-09-30,-0.3160
2003-10-31,-0.0510
2003-11-28,-0.1123
2003-12-31,0.2968
2004-01-30,0.8059
2004-02-27,0.9189
2004-03-31,-0.7754
2004-04-30,-1.7049
2004-05-31,0
2004-06-30,0.6321
2004-07-30,-1.8200
2004-08-31,0.1144
2004-09-30,0.5146
2004-10-29,0.0628
2004-11-30,1.4659
2004-12-31,-0.5088
2005-01-31,-0.0738
2005-02-28,0.8640
2005-03-31,-0.8217
2005-04-29,-1.6819
2005-05-31,-0.2441
2005-06-30,0.1292
2005-07-29,0.8875
2005-08-31,-0.5400
2005-09-30,0.5751
2005-10-31,0.3232
2005-11-30,0.9912
2005-12-30,-0.0081
2006-01-31,0.4664
2006-02-28,-0.5857
2006-03-31,-0.7551
2006-04-28,-0.0383
2006-05-31,1.7268
2006-06-30,0.4926
2006-07-31,0.0826
2006-08-31,0.1101
2006-09-29,0.9658
2006-10-31,-1.5574
2006-11-30,-0.6762
2006-12-29,0.7545
2007-01-31,-0.3182
2007-02-28,-0.9882
2007-03-30,-0.0631
2007-04-30,1.5985
2007-05-31,-0.1463
2007-06-29,-1.1507
2007-07-31,-2.7460
2007-08-31,2.1900
2007-09-28,0.9738
2007-10-31,-2.4419
2007-11-30,0.4918
2007-12-31,-0.0467
2008-01-31,0.1212
2008-02-29,-0.7906
2008-03-31,0.7270
2008-04-30,-2.3727
2008-05-30,-0.7929
2008-06-30,-5.2403
2008-07-31,1.5367
2008-08-29,1.0757
2008-09-30,-0.8143
2008-10-31,0.3298
2008-11-28,2.8062
2008-12-31,1.0721
2009-01-30,-4.3369
2009-02-27,-1.3424
2009-03-31,2.2588
2009-04-30,0.1421
2009-05-29,-0.8281
2009-06-30,-0.5754
2009-07-31,1.4273
2009-08-31,0.7859
2009-09-30,0.9580
2009-10-30,-0.0957
2009-11-30,0.1021
2009-12-31,0.7176
2010-01-29,-0.0194
2010-02-26,0.4278
2010-03-31,1.0552
2010-04-30,-0.4205
2010-05-31,0
2010-06-30,-0.7825
2010-07-30,1.3261
2010-08-31,-0.7997
2010-09-30,1.0839
2010-10-29,0.4053
2010-11-30,0.4357
2010-12-31,0.7111
2011-01-31,0.2395
2011-02-28,1.2931
2011-03-31,-0.2334
2011-04-29,-0.7687
2011-05-31,-0.7063
2011-06-30,-0.0561
2011-07-29,-1.2990
2011-08-31,0.6671
2011-09-30,-0.4886
2011-10-31,2.7653
2011-11-30,1.3613
2011-12-30,1.3406
2012-01-31,1.6041
2012-02-29,1.7991
2012-03-30,0.2931
2012-04-30,0.8331
2012-05-31,0.0877
2012-06-29,2.4382
2012-07-31,-0.3694
2012-08-31,0.3103
2012-09-28,-0.1993
2012-10-31,1.4920
2012-11-30,0.5598
2012-12-31,-0.7149
2013-01-31,1.9380
2013-02-28,1.8853
2013-03-29,0
