,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,-0.7550
2004-08-31,0.2175
2004-09-30,0.5750
2004-10-29,0.9175
2004-11-30,-1.0600
2004-12-31,-0.0125
2005-01-31,-0.8100
2005-02-28,0.6500
2005-03-31,-0.4800
2005-04-29,-0.1425
2005-05-31,1.4825
2005-06-30,-0.1200
2005-07-29,0.7675
2005-08-31,-1.1300
2005-09-30,0.9750
2005-10-31,0.2475
2005-11-30,1.5475
2005-12-30,-0.2225
2006-01-31,2.2500
2006-02-28,-1.9500
2006-03-31,-0.4275
2006-04-28,-0.4425
2006-05-31,-1.3725
2006-06-30,-0.8025
2006-07-31,-0.2400
2006-08-31,1.9950
2006-09-29,0.3500
2006-10-31,0.6325
2006-11-30,0.2500
2006-12-29,-0.6375
2007-01-31,1.8450
2007-02-28,0.0725
2007-03-30,0.0450
2007-04-30,-0.2050
2007-05-31,1.4900
2007-06-29,-1.2550
2007-07-31,-1.1025
2007-08-31,0.1225
2007-09-28,2.8975
2007-10-31,1.0525
2007-11-30,0.8025
2007-12-31,1.4900
2008-01-31,-2.0925
2008-02-29,1.9525
2008-03-31,-0.4625
2008-04-30,1.1075
2008-05-30,1.2550
2008-06-30,-0.7650
2008-07-31,-1.5275
2008-08-29,-2.0675
2008-09-30,-1.6875
2008-10-31,-2.6525
2008-11-28,-0.4750
2008-12-31,0.7350
2009-01-30,-1.3500
2009-02-27,0.1000
2009-03-31,1.1425
2009-04-30,2.5300
2009-05-29,-1.2150
2009-06-30,-0.2725
2009-07-31,1.3300
2009-08-31,1.8025
2009-09-30,1.4475
2009-10-30,0.5600
2009-11-30,1.4825
2009-12-31,2.2625
2010-01-29,-2.6175
2010-02-26,0.9475
2010-03-31,0.9700
2010-04-30,2.5150
2010-05-31,0
2010-06-30,-0.6550
2010-07-30,2.9700
2010-08-31,2.2175
2010-09-30,-1.1500
2010-10-29,1.0175
2010-11-30,6.3675
2010-12-31,-2.7550
2011-01-31,-0.7150
2011-02-28,0.1650
2011-03-31,0.8775
2011-04-29,1.2550
2011-05-31,4.0175
2011-06-30,0.1850
2011-07-29,-1.0675
2011-08-31,-3.8075
2011-09-30,-3.1800
2011-10-31,5.3150
2011-11-30,-2.9825
2011-12-30,-4.2300
2012-01-31,3.8350
2012-02-29,6.5900
2012-03-30,2.6800
2012-04-30,0.3050
2012-05-31,-5.0800
2012-06-29,1.8175
2012-07-31,-3.6775
2012-08-31,4.2275
2012-09-28,2.5000
2012-10-31,-1.2900
2012-11-30,2.8625
