,MOM_daily_20
2000-01-31,-0.6004
2000-02-29,-1.5421
2000-03-31,0.5906
2000-04-28,2.0451
2000-05-31,-0.1838
2000-06-30,-0.8981
2000-07-31,0.2331
2000-08-31,0.0179
2000-09-29,0.9860
2000-10-31,0.4564
2000-11-30,0.7262
2000-12-29,0.4423
2001-01-31,-0.9272
2001-02-28,0.9063
2001-03-30,0.4347
2001-04-30,0.1114
2001-05-31,1.1761
2001-06-29,0.2187
2001-07-31,-0.0875
2001-08-31,0.0725
2001-09-28,-0.3177
2001-10-31,-0.9051
2001-11-30,-0.2735
2001-12-31,0.6514
2002-01-31,0.0786
2002-02-28,0.3072
2002-03-29,0
2002-04-30,0.5198
2002-05-31,0.1253
2002-06-28,-0.7761
2002-07-31,0.8798
2002-08-30,0.0282
2002-09-30,-0.1829
2002-10-31,0.1401
2002-11-29,-0.8859
2002-12-31,1.4359
2003-01-31,-1.3136
2003-02-28,-0.0936
2003-03-31,-0.2521
2003-04-30,-0.0160
2003-05-30,1.9015
2003-06-30,0.1055
2003-07-31,-1.5426
2003-08-29,0.3346
2003-09-30,0.4446
2003-10-31,-0.2511
2003-11-28,0.0447
2003-12-31,0.9850
2004-01-30,0.3422
2004-02-27,0.4010
2004-03-31,-0.2283
2004-04-30,-1.2389
2004-05-31,0
2004-06-30,0.2917
2004-07-30,0.6778
2004-08-31,0.6333
2004-09-30,-0.1609
2004-10-29,0.4958
2004-11-30,0.3894
2004-12-31,0.1145
2005-01-31,0.0529
2005-02-28,0.0013
2005-03-31,-0.1651
2005-04-29,0.6424
2005-05-31,1.1018
2005-06-30,0.4246
2005-07-29,0.5963
2005-08-31,-0.5335
2005-09-30,0.4709
2005-10-31,-1.5316
2005-11-30,0.3832
2005-12-30,0.2917
2006-01-31,0.3148
2006-02-28,-0.2920
2006-03-31,-0.7455
2006-04-28,-0.2672
2006-05-31,0.8609
2006-06-30,-0.0048
2006-07-31,1.1547
2006-08-31,0.2502
2006-09-29,0.0000
2006-10-31,0.8325
2006-11-30,0.0687
2006-12-29,-0.0731
2007-01-31,0.1023
2007-02-28,0.6000
2007-03-30,1.4688
2007-04-30,0.0986
2007-05-31,-1.1294
2007-06-29,-1.6750
2007-07-31,-0.9621
2007-08-31,1.3205
2007-09-28,0.1868
2007-10-31,-0.0050
2007-11-30,1.4066
2007-12-31,0.2044
2008-01-31,-2.3256
2008-02-29,-1.0826
2008-03-31,-0.6166
2008-04-30,0.2176
2008-05-30,-0.1750
2008-06-30,-0.8617
2008-07-31,0.6936
2008-08-29,1.4081
2008-09-30,0.9006
2008-10-31,0.0853
2008-11-28,-1.4810
2008-12-31,-0.2161
2009-01-30,0.9833
2009-02-27,-2.3596
2009-03-31,3.1313
2009-04-30,0.0234
2009-05-29,-0.6380
2009-06-30,0.9351
2009-07-31,1.3020
2009-08-31,0.7295
2009-09-30,0.4926
2009-10-30,0.1982
2009-11-30,1.7030
2009-12-31,0.9138
2010-01-29,-1.4559
2010-02-26,-0.2239
2010-03-31,0.5313
2010-04-30,0.1853
2010-05-31,0
2010-06-30,0.3443
2010-07-30,2.0156
2010-08-31,0.7534
2010-09-30,-0.0127
2010-10-29,0.8811
2010-11-30,-0.4470
2010-12-31,0.4748
2011-01-31,0.2181
2011-02-28,0.3322
2011-03-31,0.5260
2011-04-29,0.9091
2011-05-31,0.8810
2011-06-30,0.3677
2011-07-29,-0.4203
2011-08-31,2.7486
2011-09-30,0.7103
2011-10-31,0.9228
2011-11-30,1.9789
2011-12-30,1.6902
2012-01-31,-2.0590
2012-02-29,-0.1697
2012-03-30,0.0745
2012-04-30,0.6980
2012-05-31,1.1309
2012-06-29,1.3008
2012-07-31,1.2187
2012-08-31,-2.3692
2012-09-28,-0.6013
2012-10-31,0.6221
2012-11-30,-2.3048
2012-12-31,-0.1747
2013-01-31,0.2026
2013-02-28,1.9991
2013-03-29,0
2013-04-30,2.2177
2013-05-31,-4.2231
2013-06-28,0.8847
2013-07-31,1.6695
2013-08-30,-2.5376
2013-09-30,-0.7858
2013-10-31,2.5880
2013-11-29,-1.7424
2013-12-31,0.1457
2014-01-31,0.3279
2014-02-28,2.0456
2014-03-31,-1.3343
2014-04-30,3.6269
2014-05-30,-1.7978
2014-06-30,2.0430
2014-07-31,0.0522
2014-08-29,1.8275
2014-09-30,-0.3770
2014-10-31,4.7729
2014-11-28,0.1778
2014-12-31,1.3935
2015-01-30,2.4900
2015-02-27,-5.8009
2015-03-31,-0.9000
2015-04-30,0.3077
2015-05-29,0.7295
2015-06-30,-2.4955
2015-07-31,3.4595
2015-08-31,-0.2076
2015-09-30,4.1369
2015-10-30,-0.6986
2015-11-30,-2.3204
2015-12-31,2.2207
2016-01-29,3.2835
2016-02-29,1.0178
2016-03-31,5.0600
2016-04-29,-1.9135
2016-05-31,-1.1824
2016-06-30,5.4936
2016-07-29,-0.2908
2016-08-31,-2.4145
2016-09-30,0.3423
2016-10-31,1.0676
2016-11-30,-2.9404
2016-12-30,3.4641
2017-01-31,0.5513
2017-02-28,3.6986
2017-03-31,0.8222
2017-04-28,1.2789
2017-05-31,3.5275
2017-06-30,-2.2701
2017-07-31,1.7088
2017-08-31,1.5534
2017-09-29,-3.0324
2017-10-31,4.3501
2017-11-30,3.3201
2017-12-29,-3.4815
2018-01-31,-2.7409
2018-02-28,-3.4090
2018-03-30,0
2018-04-30,2.6289
2018-05-31,-1.5357
2018-06-29,2.1163
2018-07-31,0.5117
2018-08-31,0.4673
2018-09-28,-2.8007
2018-10-31,-0.0963
2018-11-30,4.7667
2018-12-31,-2.4551
2019-01-31,2.2167
2019-02-28,6.2142
2019-03-29,1.9166
2019-04-30,1.6403
2019-05-31,1.6868
