,MOM_daily_20
2000-01-31,-0.3407
2000-02-29,-1.8620
2000-03-31,-0.0809
2000-04-28,2.4497
2000-05-31,1.8962
2000-06-30,-0.9133
2000-07-31,-0.0258
2000-08-31,0.0501
2000-09-29,2.9623
2000-10-31,1.0048
2000-11-30,1.2713
2000-12-29,0.5177
2001-01-31,-2.7771
2001-02-28,1.1788
2001-03-30,-0.6415
2001-04-30,1.1061
2001-05-31,1.4485
2001-06-29,-2.0459
2001-07-31,-0.9049
2001-08-31,-0.0217
2001-09-28,-1.4023
2001-10-31,0.4495
2001-11-30,-0.4425
2001-12-31,1.0018
2002-01-31,0.6256
2002-02-28,0.7865
2002-03-29,0
2002-04-30,1.1239
2002-05-31,-1.0961
2002-06-28,-0.7087
2002-07-31,-0.5615
2002-08-30,1.3802
2002-09-30,-0.2737
2002-10-31,0.9974
2002-11-29,-0.0062
2002-12-31,0.6686
2003-01-31,-1.0521
2003-02-28,0.6816
2003-03-31,0.9001
2003-04-30,-0.7304
2003-05-30,2.6922
2003-06-30,0.0237
2003-07-31,-1.0253
2003-08-29,0.7635
2003-09-30,0.0000
2003-10-31,-0.4309
2003-11-28,-0.4864
2003-12-31,1.4147
2004-01-30,0.6518
2004-02-27,0.6700
2004-03-31,0.4816
2004-04-30,-2.4664
2004-05-31,0
2004-06-30,0.6183
2004-07-30,1.0550
2004-08-31,1.0853
2004-09-30,-0.0049
2004-10-29,2.4277
2004-11-30,0.0757
2004-12-31,1.7645
2005-01-31,0.9620
2005-02-28,0.0552
2005-03-31,0.4972
2005-04-29,1.0347
2005-05-31,-0.3632
2005-06-30,1.5434
2005-07-29,1.2094
2005-08-31,-1.5084
2005-09-30,0.3415
2005-10-31,-2.6859
2005-11-30,0.9715
2005-12-30,-1.0067
2006-01-31,0.4417
2006-02-28,1.9737
2006-03-31,-1.0352
2006-04-28,0.3882
2006-05-31,0.5800
2006-06-30,-0.8138
2006-07-31,3.3127
2006-08-31,0.2499
2006-09-29,0.3047
2006-10-31,2.8892
2006-11-30,2.9903
2006-12-29,0.5286
2007-01-31,0.2802
2007-02-28,3.5440
2007-03-30,4.6082
2007-04-30,4.3691
2007-05-31,-1.3998
2007-06-29,-2.6270
2007-07-31,-5.2914
2007-08-31,3.1058
2007-09-28,3.1733
2007-10-31,4.9912
2007-11-30,1.2504
2007-12-31,-0.0108
2008-01-31,-4.7950
2008-02-29,-2.5453
2008-03-31,3.4558
2008-04-30,2.1967
2008-05-30,4.1286
2008-06-30,0.2634
2008-07-31,-7.7203
2008-08-29,0.0098
2008-09-30,-6.1403
2008-10-31,-4.7530
2008-11-28,2.5240
2008-12-31,0.0948
2009-01-30,-3.7767
2009-02-27,-5.2680
2009-03-31,2.8463
2009-04-30,-2.2150
2009-05-29,5.9811
2009-06-30,1.1046
2009-07-31,2.7216
2009-08-31,-0.6947
2009-09-30,0.5921
2009-10-30,-0.3794
2009-11-30,1.5465
2009-12-31,0.1857
2010-01-29,-3.9294
2010-02-26,-0.2222
2010-03-31,2.0631
2010-04-30,-0.6037
2010-05-31,0
2010-06-30,-1.5700
2010-07-30,3.7444
2010-08-31,0.2859
2010-09-30,-2.2748
2010-10-29,-1.5804
2010-11-30,-1.0711
2010-12-31,-0.9202
2011-01-31,0.8112
2011-02-28,-0.0346
2011-03-31,-3.2880
2011-04-29,1.5368
2011-05-31,-0.1417
2011-06-30,0.6382
2011-07-29,-0.9171
2011-08-31,0.6347
2011-09-30,0.8479
2011-10-31,2.8953
2011-11-30,2.0711
2011-12-30,1.6017
2012-01-31,-2.3327
2012-02-29,-1.2339
2012-03-30,0.0450
2012-04-30,-1.0551
2012-05-31,-0.3893
2012-06-29,2.3068
2012-07-31,2.6652
2012-08-31,-2.5009
2012-09-28,0.8438
2012-10-31,2.2084
2012-11-30,-5.2881
2012-12-31,0.1402
2013-01-31,-0.1001
2013-02-28,-1.0156
2013-03-29,0
2013-04-30,4.8677
2013-05-31,-1.2566
2013-06-28,0.5474
2013-07-31,-1.2658
2013-08-30,-2.8567
2013-09-30,-0.0277
2013-10-31,0.8382
2013-11-29,-1.4045
2013-12-31,0.6947
2014-01-31,0.8350
2014-02-28,1.0501
2014-03-31,2.5383
2014-04-30,3.8679
2014-05-30,2.3554
2014-06-30,4.5444
2014-07-31,-4.1921
2014-08-29,3.8251
2014-09-30,0.6910
2014-10-31,4.5099
2014-11-28,0.3609
2014-12-31,2.7770
2015-01-30,0.0220
2015-02-27,-7.0407
2015-03-31,0.0074
2015-04-30,-0.3785
2015-05-29,0.1076
2015-06-30,-3.4594
2015-07-31,-0.6454
2015-08-31,-3.8147
2015-09-30,1.5493
2015-10-30,1.7239
2015-11-30,-0.5017
2015-12-31,2.3465
2016-01-29,1.0232
2016-02-29,1.9216
2016-03-31,4.7183
2016-04-29,-3.7295
2016-05-31,0.9414
2016-06-30,3.5114
2016-07-29,0.0315
2016-08-31,-1.0134
2016-09-30,-0.7321
2016-10-31,-1.6552
2016-11-30,-1.8831
2016-12-30,3.6970
2017-01-31,-1.4740
2017-02-28,5.6329
2017-03-31,0.4729
2017-04-28,0.3343
2017-05-31,3.0285
2017-06-30,-2.8620
2017-07-31,-0.0412
2017-08-31,2.6383
2017-09-29,-2.3437
2017-10-31,8.8242
2017-11-30,1.4199
2017-12-29,-4.2891
2018-01-31,-3.2948
2018-02-28,-0.9713
2018-03-30,0
2018-04-30,2.3030
2018-05-31,0.1902
2018-06-29,0.5866
2018-07-31,-0.1294
2018-08-31,0.6215
2018-09-28,-2.7903
2018-10-31,3.1566
2018-11-30,4.3414
2018-12-31,0.1763
2019-01-31,4.5739
2019-02-28,6.3192
2019-03-29,2.1188
2019-04-30,2.2613
2019-05-31,1.5913
2019-06-28,5.2673
2019-07-31,1.7348
2019-08-30,6.3724
2019-09-30,4.0977
2019-10-31,4.5148
2019-11-29,-3.7711
2019-12-31,3.4908
2020-01-31,12.4189
2020-02-28,-12.7785
2020-03-31,-25.6943
2020-04-30,9.1384
2020-05-29,6.7474
2020-06-30,-9.0349
2020-07-31,7.6871
2020-08-31,-2.3916
2020-09-30,0.7879
2020-10-30,-2.2794
2020-11-30,8.0451
2020-12-31,-8.2980
2021-01-29,-3.1319
2021-02-26,-7.7479
2021-03-31,11.5064
2021-04-30,9.2223
2021-05-31,0
2021-06-30,-4.8016
2021-07-30,1.3113
2021-08-31,7.3315
2021-09-30,-12.8574
2021-10-29,3.5499
2021-11-30,-2.0935
2021-12-31,10.4707
2022-01-31,-0.8644
2022-02-28,-4.8638
2022-03-31,7.3276
