,MOM_daily_20
2000-01-31,-1.5798
2000-02-29,-1.4404
2000-03-31,1.8122
2000-04-28,0.2323
2000-05-31,-0.6041
2000-06-30,-0.4647
2000-07-31,-1.6728
2000-08-31,-1.3010
2000-09-29,-0.7899
2000-10-31,-2.4627
2000-11-30,-1.1152
2000-12-29,0.6505
2001-01-31,-1.0445
2001-02-28,0.0149
2001-03-30,0.0149
2001-04-30,-0.4907
2001-05-31,-0.2751
2001-06-29,-0.0743
2001-07-31,-0.2676
2001-08-31,0.0446
2001-09-28,-0.0966
2001-10-31,0.0966
2001-11-30,-0.1115
2001-12-31,-0.0074
2002-01-31,0.4832
2002-02-28,0.1190
2002-03-29,0
2002-04-30,0.9070
2002-05-31,-0.5873
2002-06-28,0.2156
2002-07-31,-0.3940
2002-08-30,-0.2082
2002-09-30,-0.4089
2002-10-31,0.1933
2002-11-29,0.3346
2002-12-31,-0.2230
2003-01-31,0.3122
2003-02-28,-0.0372
2003-03-31,-0.7286
2003-04-30,0.7211
2003-05-30,0.4609
2003-06-30,0.9144
2003-07-31,-0.6096
2003-08-29,0.2602
2003-09-30,-0.2528
2003-10-31,-0.1041
2003-11-28,-0.5427
2003-12-31,-0.0966
2004-01-30,0.4089
2004-02-27,-0.1859
2004-03-31,0.1041
2004-04-30,-0.2825
2004-05-31,0
2004-06-30,2.2006
2004-07-30,-0.1710
2004-08-31,1.2118
2004-09-30,1.0631
2004-10-29,0.6542
2004-11-30,2.2378
2004-12-31,0.0520
2005-01-31,-1.6951
2005-02-28,-1.0037
2005-03-31,-0.9442
2005-04-29,1.2118
2005-05-31,0.4684
2005-06-30,-1.8289
2005-07-29,0.4238
2005-08-31,1.3605
2005-09-30,-1.8809
2005-10-31,-0.9590
2005-11-30,1.0483
2005-12-30,0.3792
2006-01-31,2.2824
2006-02-28,-0.7881
2006-03-31,2.0891
2006-04-28,1.4869
2006-05-31,-1.7991
2006-06-30,-2.5352
2006-07-31,-1.8884
2006-08-31,0.8178
2006-09-29,2.2749
2006-10-31,0.6691
2006-11-30,3.8213
2006-12-29,1.0631
2007-01-31,1.4125
2007-02-28,2.2898
2007-03-30,2.0370
2007-04-30,0.1338
2007-05-31,-1.0111
2007-06-29,-1.8586
2007-07-31,-2.8623
2007-08-31,1.7174
2007-09-28,3.8288
2007-10-31,1.3233
2007-11-30,-0.8550
2007-12-31,-0.6171
2008-01-31,-1.8437
2008-02-29,-1.0334
2008-03-31,1.1821
2008-04-30,1.2118
2008-05-30,0.8773
2008-06-30,-2.7433
2008-07-31,2.6318
2008-08-29,-0.0743
2008-09-30,-8.0515
2008-10-31,-1.8066
2008-11-28,-2.0891
2008-12-31,1.8363
2009-01-30,-0.1487
2009-02-27,-0.4163
2009-03-31,1.0483
2009-04-30,1.5538
2009-05-29,3.0853
2009-06-30,-1.3902
2009-07-31,3.5611
2009-08-31,-0.6394
2009-09-30,3.7172
2009-10-30,0.8401
2009-11-30,0.7211
2009-12-31,1.1003
2010-01-29,-1.7025
2010-02-26,3.7470
2010-03-31,-1.0631
2010-04-30,0.4089
2010-05-31,0
2010-06-30,-3.1597
2010-07-30,3.8362
2010-08-31,-0.3866
2010-09-30,1.2416
2010-10-29,2.8325
2010-11-30,1.1077
2010-12-31,0.3197
2011-01-31,0.2676
2011-02-28,2.3716
2011-03-31,0.0074
2011-04-29,5.2562
2011-05-31,1.7917
2011-06-30,0.1561
2011-07-29,3.5760
2011-08-31,-6.0145
2011-09-30,-4.2525
2011-10-31,7.7319
2011-11-30,1.8661
2011-12-30,3.3306
2012-01-31,5.6651
2012-02-29,2.5426
2012-03-30,0.8401
2012-04-30,1.3456
2012-05-31,-5.9327
2012-06-29,0.2676
2012-07-31,4.5648
2012-08-31,0.6319
2012-09-28,1.6876
2012-10-31,3.8585
2012-11-30,-0.2528
2012-12-31,1.3085
2013-01-31,0.8996
2013-02-28,0.1561
2013-03-29,0
2013-04-30,0.7509
2013-05-31,5.2264
2013-06-28,-0.3494
2013-07-31,-5.5610
2013-08-30,1.9553
2013-09-30,5.2413
2013-10-31,2.0817
2013-11-29,3.2489
2013-12-31,0.8698
2014-01-31,-1.9627
2014-02-28,5.2487
2014-03-31,-1.5761
2014-04-30,-6.0219
2014-05-30,-0.0595
2014-06-30,1.5984
2014-07-31,-2.8325
2014-08-29,5.0777
2014-09-30,-5.7171
2014-10-31,3.3827
2014-11-28,2.3567
2014-12-31,-1.2639
2015-01-30,-6.4754
2015-02-27,10.5123
2015-03-31,-0.4386
2015-04-30,-1.1077
2015-05-29,0.8996
2015-06-30,1.9627
2015-07-31,0.0223
2015-08-31,-1.2044
2015-09-30,-2.6169
2015-10-30,2.5054
2015-11-30,-1.5464
2015-12-31,2.1486
2016-01-29,-14.0363
2016-02-29,3.1624
2016-03-31,-0.1944
2016-04-29,1.6200
2016-05-31,-0.6569
2016-06-30,-5.3717
2016-07-29,1.5401
2016-08-31,2.4413
2016-09-30,-3.9795
2016-10-31,-5.4300
2016-11-30,-2.4060
2016-12-30,3.1692
2017-01-31,1.5846
2017-02-28,1.4908
2017-03-31,-1.0564
2017-04-28,1.0470
2017-05-31,2.0521
2017-06-30,-0.5345
2017-07-31,-2.8599
2017-08-31,2.9290
2017-09-29,0.6302
2017-10-31,3.7624
2017-11-30,-2.8911
2017-12-29,-2.9999
2018-01-31,2.7641
2018-02-28,-6.4810
2018-03-30,0
2018-04-30,7.7353
2018-05-31,2.8797
2018-06-29,0.4750
2018-07-31,0.6080
2018-08-31,-0.7114
2018-09-28,0.5719
2018-10-31,-7.1588
2018-11-30,-2.6203
2018-12-31,2.4686
2019-01-31,5.0617
2019-02-28,6.3049
2019-03-29,-0.0480
2019-04-30,-2.8997
2019-05-31,-4.5907
2019-06-28,5.4255
2019-07-31,-10.1283
2019-08-30,-0.1063
2019-09-30,-0.9194
2019-10-31,1.2098
2019-11-29,0.6246
2019-12-31,3.3036
2020-01-31,-2.4194
2020-02-28,-11.5211
2020-03-31,-21.1022
2020-04-30,13.1437
2020-05-29,5.1535
2020-06-30,-3.2120
2020-07-31,-5.2944
2020-08-31,-4.0994
2020-09-30,-1.7310
2020-10-30,3.3533
2020-11-30,11.4025
2020-12-31,-1.1537
2021-01-29,3.5903
2021-02-26,0.1094
2021-03-31,0.3200
2021-04-30,7.5400
2021-05-31,0
2021-06-30,0.3500
2021-07-30,0.3100
2021-08-31,0.0800
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
