,MOM_daily_20
2000-01-31,-1.4674
2000-02-29,0.7782
2000-03-31,0.0893
2000-04-28,1.2972
2000-05-31,1.4081
2000-06-30,-0.3797
2000-07-31,-0.3869
2000-08-31,2.1101
2000-09-29,-1.4208
2000-10-31,-4.5137
2000-11-30,-1.8182
2000-12-29,1.0342
2001-01-31,1.5783
2001-02-28,-0.1153
2001-03-30,-1.6517
2001-04-30,2.3348
2001-05-31,2.3276
2001-06-29,-3.7684
2001-07-31,0.3116
2001-08-31,-2.6454
2001-09-28,-3.0557
2001-10-31,0.8589
2001-11-30,-0.8835
2001-12-31,-3.0490
2002-01-31,0.5417
2002-02-28,1.1843
2002-03-29,0
2002-04-30,-0.0111
2002-05-31,0.4278
2002-06-28,-0.9216
2002-07-31,-0.4828
2002-08-30,1.2033
2002-09-30,-0.8071
2002-10-31,0.5921
2002-11-29,1.9996
2002-12-31,-0.7810
2003-01-31,-0.1585
2003-02-28,0.5509
2003-03-31,0.1358
2003-04-30,0.1481
2003-05-30,0.9948
2003-06-30,-0.1315
2003-07-31,-0.2099
2003-08-29,0.7405
2003-09-30,-0.0959
2003-10-31,-0.5793
2003-11-28,0.0403
2003-12-31,0.9489
2004-01-30,1.6007
2004-02-27,0.6673
2004-03-31,-0.4298
2004-04-30,-0.0929
2004-05-31,0
2004-06-30,0.4122
2004-07-30,0.5756
2004-08-31,-0.8108
2004-09-30,1.4880
2004-10-29,1.0311
2004-11-30,1.8497
2004-12-31,0.2468
2005-01-31,0.7404
2005-02-28,1.2262
2005-03-31,-0.1925
2005-04-29,-1.2022
2005-05-31,0.0334
2005-06-30,1.8835
2005-07-29,3.2429
2005-08-31,1.3338
2005-09-30,2.1163
2005-10-31,-3.8773
2005-11-30,1.4757
2005-12-30,-1.3214
2006-01-31,6.9867
2006-02-28,-5.0284
2006-03-31,0.7375
2006-04-28,1.5265
2006-05-31,-2.4521
2006-06-30,-1.0211
2006-07-31,-2.9760
2006-08-31,-0.8072
2006-09-29,-3.3212
2006-10-31,4.6035
2006-11-30,1.8201
2006-12-29,-2.1472
2007-01-31,-1.2053
2007-02-28,1.3374
2007-03-30,0.6081
2007-04-30,0.0240
2007-05-31,3.2884
2007-06-29,-1.0669
2007-07-31,0.8583
2007-08-31,0.3308
2007-09-28,3.4425
2007-10-31,0.2333
2007-11-30,-1.9947
2007-12-31,1.0482
2008-01-31,-4.4507
2008-02-29,4.2074
2008-03-31,0.8324
2008-04-30,4.6307
2008-05-30,3.0308
2008-06-30,4.0645
2008-07-31,-6.5744
2008-08-29,-1.3773
2008-09-30,-8.3969
2008-10-31,-5.6872
2008-11-28,-1.9228
2008-12-31,2.2525
2009-01-30,-0.7590
2009-02-27,-1.3221
2009-03-31,0.4513
2009-04-30,3.8323
2009-05-29,2.2983
2009-06-30,-2.4304
2009-07-31,2.2821
2009-08-31,0.5767
2009-09-30,2.9854
2009-10-30,2.8697
2009-11-30,0.1240
2009-12-31,0.9457
2010-01-29,-0.6304
2010-02-26,0.4894
2010-03-31,-1.3062
2010-04-30,-0.0749
2010-05-31,0
2010-06-30,0.7263
2010-07-30,4.0904
2010-08-31,-2.4216
2010-09-30,2.7970
2010-10-29,-1.2310
2010-11-30,5.3762
2010-12-31,0.1847
2011-01-31,3.5000
2011-02-28,2.6439
2011-03-31,2.0183
2011-04-29,0.5382
2011-05-31,1.1101
2011-06-30,0.7161
2011-07-29,3.1424
2011-08-31,-7.2435
2011-09-30,-10.5525
2011-10-31,7.3277
2011-11-30,1.3845
2011-12-30,-1.6079
2012-01-31,1.9210
2012-02-29,-0.1608
2012-03-30,-2.3482
2012-04-30,0.8739
2012-05-31,-3.7586
2012-06-29,-1.2671
2012-07-31,3.8551
2012-08-31,-0.7744
2012-09-28,0.8277
2012-10-31,-1.1776
2012-11-30,0.5718
2012-12-31,1.2241
2013-01-31,4.2528
2013-02-28,1.1209
2013-03-29,0
2013-04-30,2.4721
2013-05-31,-0.4721
2013-06-28,-0.0060
2013-07-31,2.0661
2013-08-30,1.5711
2013-09-30,0.1295
2013-10-31,3.9963
2013-11-29,-0.3021
2013-12-31,-0.9577
2014-01-31,-0.8657
2014-02-28,6.5446
2014-03-31,2.1787
2014-04-30,2.9859
2014-05-30,1.5016
2014-06-30,5.2200
2014-07-31,-1.5921
2014-08-29,-0.8352
2014-09-30,-2.5984
2014-10-31,-5.8594
2014-11-28,-10.2190
2014-12-31,-0.7292
2015-01-30,0.5780
2015-02-27,2.9514
2015-03-31,0.6772
2015-04-30,4.5116
2015-05-29,-3.1220
2015-06-30,-2.5164
2015-07-31,-0.1060
2015-08-31,-0.5209
2015-09-30,-2.3062
2015-10-30,1.4014
2015-11-30,1.3039
2015-12-31,-4.3745
2016-01-29,-2.0848
2016-02-29,0.5969
2016-03-31,1.8456
2016-04-29,5.5725
2016-05-31,0.2762
2016-06-30,2.8430
2016-07-29,-1.4665
2016-08-31,0.0630
2016-09-30,1.6703
2016-10-31,0.9938
2016-11-30,6.1975
2016-12-30,0.9311
2017-01-31,2.2480
2017-02-28,-2.5735
2017-03-31,-4.2383
2017-04-28,-2.8559
2017-05-31,-0.1000
2017-06-30,-2.2014
2017-07-31,-0.2465
2017-08-31,-2.7942
2017-09-29,6.6412
2017-10-31,-2.0090
2017-11-30,-1.1650
2017-12-29,6.6901
2018-01-31,3.7675
2018-02-28,-7.1114
2018-03-30,0
2018-04-30,6.3809
2018-05-31,-2.6818
2018-06-29,-3.5609
2018-07-31,-1.9029
2018-08-31,-2.0050
2018-09-28,0.4593
2018-10-31,-6.6393
2018-11-30,-3.1145
2018-12-31,-4.8017
2019-01-31,3.8087
2019-02-28,-0.8255
2019-03-29,-1.3658
2019-04-30,-1.7081
2019-05-31,-6.0868
2019-06-28,1.5442
2019-07-31,0.3330
2019-08-30,-2.0551
2019-09-30,0.1816
2019-10-31,0.5859
2019-11-29,1.6714
2019-12-31,3.2516
2020-01-31,-2.7799
2020-02-28,-4.8333
2020-03-31,-8.9138
2020-04-30,3.8202
2020-05-29,1.2244
2020-06-30,0.2851
2020-07-31,1.7301
2020-08-31,1.6220
2020-09-30,-4.1204
2020-10-30,0.7393
2020-11-30,4.4654
2020-12-31,1.2749
2021-01-29,-1.4725
2021-02-26,3.5182
2021-03-31,-0.8120
2021-04-30,-2.3370
2021-05-31,0
2021-06-30,-1.2204
2021-07-30,-3.0955
2021-08-31,-0.3423
2021-09-30,1.9192
2021-10-29,2.6948
2021-11-30,-3.9676
2021-12-31,0.8883
2022-01-31,7.8407
2022-02-28,2.1619
2022-03-31,4.5200
