,MOM_daily_20
2000-01-31,-1.4887
2000-02-29,0.5086
2000-03-31,1.7031
2000-04-28,-1.0607
2000-05-31,2.0859
2000-06-30,-0.4751
2000-07-31,-0.6853
2000-08-31,-1.0427
2000-09-29,3.5060
2000-10-31,1.0512
2000-11-30,2.7551
2000-12-29,0.3480
2001-01-31,-1.7336
2001-02-28,1.6506
2001-03-30,1.7999
2001-04-30,-2.7556
2001-05-31,0.2243
2001-06-29,0.2517
2001-07-31,-0.3946
2001-08-31,1.5809
2001-09-28,0.4121
2001-10-31,-0.1467
2001-11-30,0.2873
2001-12-31,0.7026
2002-01-31,0.8531
2002-02-28,0.3864
2002-03-29,0
2002-04-30,-0.4221
2002-05-31,-0.5901
2002-06-28,-1.3383
2002-07-31,5.0241
2002-08-30,0.6872
2002-09-30,-4.3534
2002-10-31,0.6578
2002-11-29,-0.1140
2002-12-31,1.2742
2003-01-31,-1.0060
2003-02-28,0.2096
2003-03-31,-0.6548
2003-04-30,0.7799
2003-05-30,1.9722
2003-06-30,-0.4483
2003-07-31,0.6063
2003-08-29,-0.5677
2003-09-30,0.6227
2003-10-31,0.8919
2003-11-28,0.8814
2003-12-31,-0.3716
2004-01-30,-0.4824
2004-02-27,2.5724
2004-03-31,-0.0262
2004-04-30,2.0896
2004-05-31,0
2004-06-30,1.3916
2004-07-30,1.3817
2004-08-31,0.5414
2004-09-30,-1.4344
2004-10-29,2.2342
2004-11-30,0.9836
2004-12-31,1.2944
2005-01-31,1.9582
2005-02-28,3.4953
2005-03-31,-2.0451
2005-04-29,2.5314
2005-05-31,0.4782
2005-06-30,-1.8315
2005-07-29,1.1831
2005-08-31,-2.3787
2005-09-30,-1.4161
2005-10-31,-0.7248
2005-11-30,-1.4479
2005-12-30,0.1888
2006-01-31,-2.7303
2006-02-28,-0.1846
2006-03-31,0.6773
2006-04-28,0.4673
2006-05-31,2.6813
2006-06-30,-0.8571
2006-07-31,-0.0680
2006-08-31,0.7157
2006-09-29,-0.3487
2006-10-31,0.3350
2006-11-30,0.5089
2006-12-29,-2.1784
2007-01-31,0.8521
2007-02-28,1.4613
2007-03-30,1.1120
2007-04-30,0.2072
2007-05-31,-1.5584
2007-06-29,-1.6801
2007-07-31,-3.3185
2007-08-31,1.1436
2007-09-28,0.1886
2007-10-31,-0.9712
2007-11-30,-1.2678
2007-12-31,-0.3591
2008-01-31,-1.8305
2008-02-29,0.8527
2008-03-31,0.4188
2008-04-30,-1.1711
2008-05-30,0.8450
2008-06-30,-4.3935
2008-07-31,2.9266
2008-08-29,-0.0516
2008-09-30,2.0051
2008-10-31,-1.2406
2008-11-28,-0.3183
2008-12-31,-0.3565
2009-01-30,1.8477
2009-02-27,-2.8027
2009-03-31,1.2182
2009-04-30,0.5944
2009-05-29,-0.4561
2009-06-30,0.1850
2009-07-31,2.6051
2009-08-31,-0.2411
2009-09-30,0.3355
2009-10-30,-1.3049
2009-11-30,-1.5888
2009-12-31,-0.1955
2010-01-29,-0.0451
2010-02-26,2.2207
2010-03-31,1.5536
2010-04-30,2.9935
2010-05-31,0
2010-06-30,-0.5876
2010-07-30,-0.5189
2010-08-31,0.4143
2010-09-30,0.3226
2010-10-29,1.3060
2010-11-30,-1.5432
2010-12-31,-0.1238
2011-01-31,-0.3558
2011-02-28,4.3606
2011-03-31,1.0280
2011-04-29,2.6167
2011-05-31,-1.1770
2011-06-30,1.5281
2011-07-29,-0.3213
2011-08-31,1.5136
2011-09-30,0.8908
2011-10-31,-0.8593
2011-11-30,0.5937
2011-12-30,3.1647
2012-01-31,-0.5552
2012-02-29,0.0023
2012-03-30,0.0000
2012-04-30,4.5336
2012-05-31,0.1899
2012-06-29,4.9204
2012-07-31,-0.2809
2012-08-31,0.0211
2012-09-28,-0.5406
2012-10-31,-2.0414
2012-11-30,3.2076
2012-12-31,-0.8521
2013-01-31,4.1552
2013-02-28,4.4603
2013-03-29,0
2013-04-30,2.2272
2013-05-31,0.2037
2013-06-28,0.1393
2013-07-31,4.1475
2013-08-30,-3.9376
2013-09-30,0.4531
2013-10-31,6.7560
2013-11-29,-1.5319
2013-12-31,0.6128
2014-01-31,2.8734
2014-02-28,5.8350
2014-03-31,-0.9815
2014-04-30,-6.5463
2014-05-30,1.4859
2014-06-30,0.2591
2014-07-31,-7.2059
2014-08-29,2.3843
2014-09-30,3.1279
2014-10-31,1.8666
2014-11-28,5.0594
2014-12-31,2.9254
2015-01-30,-1.4543
2015-02-27,0.8573
2015-03-31,-1.3936
2015-04-30,-7.6224
2015-05-29,1.2476
