,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0.2848
2003-11-28,0.1362
2003-12-31,0.0371
2004-01-30,0.0904
2004-02-27,0.0099
2004-03-31,-0.0942
2004-04-30,0.0198
2004-05-31,0
2004-06-30,0.0037
2004-07-30,-0.0409
2004-08-31,0.1510
2004-09-30,0.0693
2004-10-29,-0.3200
2004-11-30,0.2773
2004-12-31,0.1609
2005-01-31,-0.4135
2005-02-28,0.1845
2005-03-31,0.2526
2005-04-29,0.0409
2005-05-31,0.2600
2005-06-30,0.3182
2005-07-29,0.4519
2005-08-31,-0.0223
2005-09-30,0.0248
2005-10-31,0.0310
2005-11-30,0.3367
2005-12-30,0.1300
2006-01-31,1.2826
2006-02-28,-0.1411
2006-03-31,0.1486
2006-04-28,0.2402
2006-05-31,-0.3367
2006-06-30,-0.2971
2006-07-31,0.8419
2006-08-31,-0.3615
2006-09-29,0.2971
2006-10-31,0.6537
2006-11-30,0.1461
2006-12-29,0.0174
2007-01-31,-0.3887
2007-02-28,0.1461
2007-03-30,0.3615
2007-04-30,0.1783
2007-05-31,0.2649
2007-06-29,0.1634
2007-07-31,0.8270
2007-08-31,0.5497
2007-09-28,1.0078
2007-10-31,0.7651
2007-11-30,0.3417
2007-12-31,0.5769
2008-01-31,-1.5451
2008-02-29,1.6590
2008-03-31,0.6091
2008-04-30,-0.0347
2008-05-30,-0.3467
2008-06-30,-1.4312
2008-07-31,1.1241
2008-08-29,-0.6884
2008-09-30,-0.8023
2008-10-31,-1.5302
2008-11-28,-0.3863
2008-12-31,1.1786
2009-01-30,-0.0545
2009-02-27,0.8419
2009-03-31,0.6388
2009-04-30,1.3272
2009-05-29,-0.8765
2009-06-30,0.1585
2009-07-31,0.8518
2009-08-31,-0.2179
2009-09-30,0.8567
2009-10-30,-0.6784
2009-11-30,0.0792
2009-12-31,0.6834
2010-01-29,-0.6190
2010-02-26,0.0990
2010-03-31,0.1981
2010-04-30,0.3615
2010-05-31,0
2010-06-30,0.5002
2010-07-30,0.2922
2010-08-31,-0.7775
2010-09-30,0.7280
2010-10-29,0.4853
2010-11-30,-0.0867
2010-12-31,0.3714
2011-01-31,0.7131
2011-02-28,0.0347
2011-03-31,0.0842
2011-04-29,0.5546
2011-05-31,0.6240
2011-06-30,0.2427
2011-07-29,-0.7527
2011-08-31,0.8270
2011-09-30,-0.5695
2011-10-31,3.1446
2011-11-30,1.3321
2011-12-30,0.1189
2012-01-31,1.2479
2012-02-29,-0.3665
2012-03-30,-0.5645
2012-04-30,1.1291
2012-05-31,1.0994
2012-06-29,-0.6066
2012-07-31,0.7824
2012-08-31,0.9805
2012-09-28,-0.4259
2012-10-31,2.2788
