,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,1.0923
2004-01-30,-0.7831
2004-02-27,-0.2885
2004-03-31,0.9192
2004-04-30,-0.2226
2004-05-31,0
2004-06-30,1.5457
2004-07-30,0.8615
2004-08-31,0.2473
2004-09-30,-0.1690
2004-10-29,0.1566
2004-11-30,1.6693
2004-12-31,1.8754
2005-01-31,-0.4328
2005-02-28,1.6611
2005-03-31,-1.7806
2005-04-29,-1.4921
2005-05-31,2.0156
2005-06-30,0.5482
2005-07-29,0.3091
2005-08-31,0.0412
2005-09-30,0.6389
2005-10-31,-2.2835
2005-11-30,1.1129
2005-12-30,1.2448
2006-01-31,0.4740
2006-02-28,-2.3371
2006-03-31,0.4658
2006-04-28,1.0263
2006-05-31,0.7873
2006-06-30,-1.5209
2006-07-31,0.4410
2006-08-31,1.2901
2006-09-29,-2.2010
2006-10-31,1.2077
2006-11-30,3.5241
2006-12-29,-0.3751
2007-01-31,1.6157
2007-02-28,2.8440
2007-03-30,1.9043
2007-04-30,2.8523
2007-05-31,3.1655
2007-06-29,-2.3577
2007-07-31,-3.1738
2007-08-31,-0.8986
2007-09-28,3.4458
2007-10-31,2.4731
2007-11-30,-1.7394
2007-12-31,0.7831
2008-01-31,-3.4870
2008-02-29,2.2093
2008-03-31,-1.8795
2008-04-30,3.5447
2008-05-30,-0.8903
2008-06-30,1.0799
2008-07-31,-5.5067
2008-08-29,1.1376
2008-09-30,-9.8263
2008-10-31,1.2118
2008-11-28,-0.5688
2008-12-31,0.2556
2009-01-30,0.0247
2009-02-27,-3.8333
2009-03-31,0.1237
2009-04-30,0.6925
2009-05-29,3.7261
2009-06-30,2.3989
2009-07-31,2.1598
2009-08-31,-1.5333
2009-09-30,1.2695
2009-10-30,-2.6544
2009-11-30,0.7831
2009-12-31,-0.8079
2010-01-29,0.1566
2010-02-26,-2.3742
2010-03-31,-1.3190
2010-04-30,2.2340
2010-05-31,0
2010-06-30,-1.3190
2010-07-30,1.2283
2010-08-31,-2.4071
2010-09-30,-0.1814
2010-10-29,-0.9727
2010-11-30,-0.2968
2010-12-31,0.2885
2011-01-31,0.9975
2011-02-28,-0.8244
2011-03-31,1.7394
2011-04-29,2.1928
2011-05-31,0.5276
2011-06-30,0.4534
2011-07-29,-0.0495
2011-08-31,-0.1814
2011-09-30,-1.9290
2011-10-31,1.2283
2011-11-30,-0.6842
2011-12-30,-1.2778
2012-01-31,-1.0222
2012-02-29,0.1814
2012-03-30,-1.3355
2012-04-30,1.0964
2012-05-31,-1.0634
2012-06-29,2.0774
2012-07-31,2.1843
2012-08-31,1.5982
2012-09-28,0.1491
2012-10-31,0.0166
