,MOM_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0.5952
2001-12-31,0.6250
2002-01-31,0.9643
2002-02-28,-0.6786
2002-03-29,0
2002-04-30,1.3571
2002-05-31,1.4881
2002-06-28,0.3571
2002-07-31,0.1548
2002-08-30,1.3274
2002-09-30,-1.8750
2002-10-31,1.6548
2002-11-29,0.7183
2002-12-31,0.7686
2003-01-31,-1.1890
2003-02-28,-0.6546
2003-03-31,-0.2522
2003-04-30,0.7927
2003-05-30,1.7775
2003-06-30,0.3663
2003-07-31,-0.3963
2003-08-29,-0.6125
2003-09-30,-0.7867
2003-10-31,-0.2042
2003-11-28,1.6749
2003-12-31,-0.6884
2004-01-30,0.9930
2004-02-27,0.7128
2004-03-31,-0.5848
2004-04-30,-0.3960
2004-05-31,0
2004-06-30,-0.0914
2004-07-30,-0.7554
2004-08-31,1.2062
2004-09-30,0.6579
2004-10-29,0.6397
2004-11-30,0.8437
2004-12-31,1.3778
2005-01-31,-0.2224
2005-02-28,-0.4448
2005-03-31,-0.1792
2005-04-29,0.5993
2005-05-31,1.0998
2005-06-30,1.2789
2005-07-29,1.2666
2005-08-31,0.2842
2005-09-30,0.5622
2005-10-31,1.5014
2005-11-30,1.4588
2005-12-30,-1.8652
2006-01-31,-0.1690
2006-02-28,0.6196
2006-03-31,0.4131
2006-04-28,1.1955
2006-05-31,1.5209
2006-06-30,0.4507
2006-07-31,-1.0327
2006-08-31,0.0125
2006-09-29,0.6509
2006-10-31,1.5084
2006-11-30,1.6213
2006-12-29,0.6027
2007-01-31,1.8463
2007-02-28,-0.2284
2007-03-30,-0.1079
2007-04-30,2.2968
2007-05-31,-0.6535
2007-06-29,-2.0049
2007-07-31,-2.2904
2007-08-31,1.7258
2007-09-28,5.2471
2007-10-31,2.8678
2007-11-30,0.1662
2007-12-31,2.1538
2008-01-31,-5.3684
2008-02-29,-2.8160
2008-03-31,0.3150
2008-04-30,-2.9767
2008-05-30,-1.4723
2008-06-30,-6.6735
2008-07-31,0.6879
2008-08-29,2.4495
2008-09-30,-1.6780
2008-10-31,-8.6922
2008-11-28,-3.7961
2008-12-31,5.7110
2009-01-30,-3.9436
2009-02-27,-6.4958
2009-03-31,0.8705
2009-04-30,5.3945
2009-05-29,3.8645
2009-06-30,-2.2356
2009-07-31,3.9634
2009-08-31,1.9520
2009-09-30,0.8111
2009-10-30,-0.1451
2009-11-30,0.5548
2009-12-31,-1.3041
2010-01-29,-0.8739
2010-02-26,0.0269
2010-03-31,3.5292
2010-04-30,-0.1479
2010-05-31,0
2010-06-30,-2.7629
2010-07-30,1.6604
2010-08-31,-1.1764
2010-09-30,0.9815
2010-10-29,0.6185
2010-11-30,0.5320
2010-12-31,2.1528
2011-01-31,0.1440
2011-02-28,1.1724
2011-03-31,-1.0695
2011-04-29,1.1244
2011-05-31,-1.5700
2011-06-30,0.0069
2011-07-29,-1.9128
2011-08-31,-1.8031
2011-09-30,-1.4260
2011-10-31,3.1263
2011-11-30,0.3987
2011-12-30,0.2537
2012-01-31,1.9097
2012-02-29,0.2466
2012-03-30,1.5008
