,MOM_daily_20
2000-01-31,-1.4647
2000-02-29,5.9443
2000-03-31,5.4045
2000-04-28,-1.5598
2000-05-31,0.1816
2000-06-30,6.1976
2000-07-31,-3.0910
2000-08-31,8.4767
2000-09-29,-0.8903
2000-10-31,-5.5134
2000-11-30,-12.1765
2000-12-29,4.7827
2001-01-31,-1.4536
2001-02-28,3.0556
2001-03-30,-4.8092
2001-04-30,8.5470
2001-05-31,2.1742
2001-06-29,-9.5064
2001-07-31,-6.5254
2001-08-31,-1.6360
2001-09-28,-3.3045
2001-10-31,3.4070
2001-11-30,-1.5660
2001-12-31,4.3280
2002-01-31,-1.4505
2002-02-28,-1.3411
2002-03-29,0
2002-04-30,1.1773
2002-05-31,-0.3611
2002-06-28,-5.5142
2002-07-31,-3.1891
2002-08-30,1.9637
2002-09-30,-2.9063
2002-10-31,0.9504
2002-11-29,1.8223
2002-12-31,-1.6888
2003-01-31,-1.0290
2003-02-28,0.2278
2003-03-31,-2.1208
2003-04-30,-1.3668
2003-05-30,3.5583
2003-06-30,-1.2097
2003-07-31,-1.5317
2003-08-29,1.2646
2003-09-30,-0.7541
2003-10-31,-1.3353
2003-11-28,0.4792
2003-12-31,3.1498
2004-01-30,2.3015
2004-02-27,1.7909
2004-03-31,-2.3958
2004-04-30,0.6912
2004-05-31,0
2004-06-30,1.7831
2004-07-30,-0.4242
2004-08-31,1.9402
2004-09-30,3.5504
2004-10-29,-0.9897
2004-11-30,4.4773
2004-12-31,3.6997
2005-01-31,1.2646
2005-02-28,3.9039
2005-03-31,2.9063
2005-04-29,-5.3885
2005-05-31,1.3275
2005-06-30,2.2072
2005-07-29,1.9323
2005-08-31,0.1571
2005-09-30,1.0918
2005-10-31,-2.6942
2005-11-30,4.5087
2005-12-30,2.7257
2006-01-31,9.0018
2006-02-28,-5.8755
2006-03-31,0.7619
2006-04-28,-0.6598
2006-05-31,-4.1317
2006-06-30,-2.2230
2006-07-31,-2.4272
2006-08-31,-3.9667
2006-09-29,5.0900
2006-10-31,3.7861
2006-11-30,5.2235
2006-12-29,2.3094
2007-01-31,-2.7649
2007-02-28,-0.4634
2007-03-30,4.9251
2007-04-30,3.5347
2007-05-31,7.0930
2007-06-29,5.4906
2007-07-31,-0.5734
2007-08-31,3.9510
2007-09-28,8.4991
2007-10-31,6.2997
2007-11-30,12.4265
2007-12-31,4.6030
2008-01-31,-18.6162
2008-02-29,14.3431
2008-03-31,-4.1710
2008-04-30,6.9752
2008-05-30,3.4797
2008-06-30,2.9849
2008-07-31,-7.8707
2008-08-29,-8.1770
2008-09-30,-11.2483
2008-10-31,-9.6773
2008-11-28,-10.0151
2008-12-31,-6.3861
2009-01-30,5.7891
2009-02-27,3.9118
2009-03-31,2.5529
2009-04-30,6.4096
2009-05-29,9.4259
2009-06-30,-7.4386
2009-07-31,7.1244
2009-08-31,-4.8858
2009-09-30,8.3262
2009-10-30,1.5788
2009-11-30,1.1625
2009-12-31,-2.5686
2010-01-29,0.8876
2010-02-26,-4.1710
2010-03-31,2.9613
2010-04-30,-12.9214
2010-05-31,0
2010-06-30,-1.5867
2010-07-30,-2.1051
2010-08-31,0.4006
2010-09-30,7.8235
2010-10-29,-0.7776
2010-11-30,3.2441
2010-12-31,-1.1154
2011-01-31,8.1849
2011-02-28,4.5402
2011-03-31,-5.8127
2011-04-29,-4.0846
2011-05-31,-0.2544
2011-06-30,-2.0025
2011-07-29,-2.3839
2011-08-31,-1.7075
2011-09-30,-6.5113
2011-10-31,9.0690
2011-11-30,-9.8017
2011-12-30,-4.3667
2012-01-31,7.3135
2012-02-29,5.6637
2012-03-30,0.4254
2012-04-30,-3.5948
2012-05-31,-7.5899
2012-06-29,3.5197
2012-07-31,1.8099
2012-08-31,0.2335
2012-09-28,-2.4021
2012-10-31,-0.4420
2012-11-30,0.0751
2012-12-31,-1.2844
2013-01-31,8.7325
2013-02-28,-4.2537
2013-03-29,0
2013-04-30,0.8007
2013-05-31,-0.8500
2013-06-28,-1.9426
2013-07-31,-0.2471
2013-08-30,-2.2744
2013-09-30,-0.5433
2013-10-31,1.6299
2013-11-29,3.2945
2013-12-31,-0.6969
2014-01-31,-4.9044
2014-02-28,-0.6229
2014-03-31,-0.2912
2014-04-30,1.6415
2014-05-30,0.8017
2014-06-30,3.0631
2014-07-31,-3.9345
2014-08-29,-0.9354
2014-09-30,-5.5032
2014-10-31,-0.2930
2014-11-28,-7.2321
2014-12-31,-0.9881
2015-01-30,-1.9103
2015-02-27,0.9986
2015-03-31,-1.8046
2015-04-30,4.0212
2015-05-29,0.1731
2015-06-30,-3.1233
2015-07-31,-2.3030
2015-08-31,1.9541
2015-09-30,-0.7900
2015-10-30,2.2700
2015-11-30,-1.4700
2015-12-31,-1.4500
2016-01-29,-1.8500
2016-02-29,-1.7700
2016-03-31,-0.7000
2016-04-29,2.5000
2016-05-31,-1.2200
2016-06-30,2.1500
2016-07-29,-0.9000
2016-08-31,-0.7500
2016-09-30,1.1100
2016-10-31,-0.2400
2016-11-30,3.3100
2016-12-30,1.3700
2017-01-31,-0.7700
2017-02-28,-0.0300
2017-03-31,-1.0800
2017-04-28,-1.3200
2017-05-31,-1.3300
2017-06-30,-0.8000
2017-07-31,0.4200
2017-08-31,-1.0900
2017-09-29,2.6000
2017-10-31,0.2200
2017-11-30,-0.3400
2017-12-29,0.5400
2018-01-31,-0.1500
2018-02-28,-1.8800
2018-03-30,0
2018-04-30,2.7400
2018-05-31,0.6800
2018-06-29,0.5800
2018-07-31,-0.1600
2018-08-31,-0.8200
2018-09-28,1.7700
2018-10-31,-3.0800
2018-11-30,-1.7300
2018-12-31,-2.8800
2019-01-31,1.4300
2019-02-28,-0.5200
2019-03-29,0.3500
2019-04-30,-1.4000
2019-05-31,-1.2800
2019-06-28,0.2100
2019-07-31,-0.0500
2019-08-30,-0.7300
2019-09-30,-0.0800
2019-10-31,0.5100
2019-11-29,0.2300
2019-12-31,1.9600
2020-01-31,-2.3700
2020-02-28,-1.3900
2020-03-31,-2.0100
2020-04-30,0.2000
2020-05-29,0.0500
2020-06-30,0.4100
2020-07-31,0.2000
2020-08-31,-0.9100
2020-09-30,-0.4431
2020-10-30,-0.1271
2020-11-30,1.1795
2020-12-31,0.2200
2021-01-29,1.0800
2021-02-26,0.2600
2021-03-31,-0.3100
2021-04-30,-0.4200
2021-05-31,0
2021-06-30,0.0900
2021-07-30,-1.3400
2021-08-31,0.0600
2021-09-30,0.3100
2021-10-29,-0.2900
2021-11-30,-0.7400
2021-12-31,-0.1600
2022-01-31,0.3900
2022-02-28,0.2800
2022-03-31,0.8000
