,MOM_daily_20
2000-01-31,-0.3129
2000-02-29,-0.4306
2000-03-31,-0.1565
2000-04-28,-0.5082
2000-05-31,0.7041
2000-06-30,0.1170
2000-07-31,-0.0782
2000-08-31,1.1341
2000-09-29,-0.1170
2000-10-31,-0.1959
2000-11-30,-0.1959
2000-12-29,1.7211
2001-01-31,-0.4807
2001-02-28,-0.0626
2001-03-30,-0.2253
2001-04-30,0.2816
2001-05-31,0.2503
2001-06-29,0.0000
2001-07-31,0.2378
2001-08-31,0.4381
2001-09-28,-0.2191
2001-10-31,0.0814
2001-11-30,-0.1940
2001-12-31,0.2253
2002-01-31,-0.1064
2002-02-28,0.2503
2002-03-29,0
2002-04-30,0.3505
2002-05-31,-0.3192
2002-06-28,0.1940
2002-07-31,-0.2316
2002-08-30,0.5883
2002-09-30,-0.4131
2002-10-31,-0.0188
2002-11-29,0.3380
2002-12-31,-0.0626
2003-01-31,0.1252
2003-02-28,0.0501
2003-03-31,-0.0876
2003-04-30,0.1502
2003-05-30,-0.0501
2003-06-30,-0.0313
2003-07-31,-0.0563
2003-08-29,0.2191
2003-09-30,-0.0313
2003-10-31,0.2691
2003-11-28,0.2503
2003-12-31,0.7197
2004-01-30,0.5382
2004-02-27,0.4886
2004-03-31,0.4824
2004-04-30,0.2882
2004-05-31,0
2004-06-30,1.5236
2004-07-30,0.8527
2004-08-31,-0.9531
2004-09-30,1.1856
2004-10-29,-1.2172
2004-11-30,3.0115
2004-12-31,0.9608
2005-01-31,1.0865
2005-02-28,2.2421
2005-03-31,-0.6847
2005-04-29,-1.0120
2005-05-31,0.1069
2005-06-30,1.4594
2005-07-29,2.2899
2005-08-31,2.4975
2005-09-30,1.6685
2005-10-31,-2.6311
2005-11-30,1.0260
2005-12-30,0.6913
2006-01-31,3.3353
2006-02-28,-5.0455
2006-03-31,1.7409
2006-04-28,-1.4941
2006-05-31,-1.7494
2006-06-30,0.6097
2006-07-31,0.8708
2006-08-31,-0.5868
2006-09-29,-2.5746
2006-10-31,3.5995
2006-11-30,4.3952
2006-12-29,-3.4127
2007-01-31,3.0626
2007-02-28,1.1283
2007-03-30,2.0138
2007-04-30,2.9898
2007-05-31,1.5946
2007-06-29,-1.4727
2007-07-31,-0.3704
2007-08-31,0.5794
2007-09-28,4.5030
2007-10-31,2.5951
2007-11-30,-3.3175
2007-12-31,10.1939
2008-01-31,-0.4662
2008-02-29,8.5245
2008-03-31,2.1978
2008-04-30,0.8473
2008-05-30,-0.1809
2008-06-30,0.1723
2008-07-31,-17.0227
2008-08-29,-2.4672
2008-09-30,0.1324
2008-10-31,7.6944
2008-11-28,1.2776
2008-12-31,-2.4912
2009-01-30,1.3840
2009-02-27,-0.8209
2009-03-31,5.6910
2009-04-30,-1.0701
2009-05-29,5.5799
2009-06-30,-6.0819
2009-07-31,6.9043
2009-08-31,0.4686
2009-09-30,1.7779
2009-10-30,2.8232
2009-11-30,-2.7945
2009-12-31,2.3600
2010-01-29,-4.5022
2010-02-26,3.4197
2010-03-31,-3.3656
2010-04-30,0.2109
2010-05-31,0
2010-06-30,-7.3986
2010-07-30,-2.9550
2010-08-31,-4.7204
2010-09-30,2.8709
2010-10-29,-0.4226
2010-11-30,3.8228
2010-12-31,0.9918
2011-01-31,4.7013
2011-02-28,6.3837
2011-03-31,7.6222
2011-04-29,-1.9340
2011-05-31,-0.4137
2011-06-30,1.5137
2011-07-29,9.3020
2011-08-31,0.3467
2011-09-30,-6.4162
2011-10-31,12.6418
2011-11-30,2.8810
2011-12-30,-9.1042
2012-01-31,-4.2617
2012-02-29,5.9394
2012-03-30,-4.4088
2012-04-30,8.2202
2012-05-31,-7.4098
2012-06-29,7.0864
