,MOM_daily_20
2000-01-31,-0.4992
2000-02-29,-0.4796
2000-03-31,0.0773
2000-04-28,0.1106
2000-05-31,0.4473
2000-06-30,-0.6311
2000-07-31,-0.0550
2000-08-31,0.3026
2000-09-29,-0.2166
2000-10-31,-0.6049
2000-11-30,0.1206
2000-12-29,0.8355
2001-01-31,-0.0181
2001-02-28,0.5746
2001-03-30,-0.7094
2001-04-30,0.2954
2001-05-31,0.4832
2001-06-29,-0.1636
2001-07-31,0.0644
2001-08-31,-0.0387
2001-09-28,-0.5931
2001-10-31,-0.1835
2001-11-30,0.6852
2001-12-31,0.0729
2002-01-31,-0.1365
2002-02-28,-0.0742
2002-03-29,0
2002-04-30,0.2075
2002-05-31,-0.5262
2002-06-28,-0.2434
2002-07-31,0.3612
2002-08-30,0.0481
2002-09-30,-0.5507
2002-10-31,-0.5046
2002-11-29,0.2848
2002-12-31,0.0796
2003-01-31,-0.1865
2003-02-28,-0.5641
2003-03-31,0.0511
2003-04-30,0.3243
2003-05-30,0.9776
2003-06-30,0.1968
2003-07-31,0.1570
2003-08-29,-0.1163
2003-09-30,-0.1165
2003-10-31,0.1266
2003-11-28,0.4740
2003-12-31,0.3732
2004-01-30,0.2231
2004-02-27,0.1250
2004-03-31,-0.1636
2004-04-30,-0.2822
2004-05-31,0
2004-06-30,0.4684
2004-07-30,-0.1692
2004-08-31,-0.1221
2004-09-30,0.0291
2004-10-29,-0.0021
2004-11-30,0.7249
2004-12-31,0.1804
2005-01-31,-0.3859
2005-02-28,0.0867
2005-03-31,-0.0803
2005-04-29,0.2620
2005-05-31,0.1059
2005-06-30,0.2045
2005-07-29,0.3280
2005-08-31,-0.0804
2005-09-30,-0.1094
2005-10-31,-0.4247
2005-11-30,-0.2056
2005-12-30,-0.0973
2006-01-31,-0.3479
2006-02-28,0.2673
2006-03-31,-0.1939
2006-04-28,0.1765
2006-05-31,-0.1830
2006-06-30,-0.0439
2006-07-31,-0.6061
2006-08-31,0.3899
2006-09-29,0.1195
2006-10-31,0.1527
2006-11-30,0.2848
2006-12-29,0.0602
2007-01-31,0.4058
2007-02-28,-0.1954
2007-03-30,0.2268
2007-04-30,0.8106
2007-05-31,0.0917
2007-06-29,0.0745
2007-07-31,-0.4315
2007-08-31,-0.6454
2007-09-28,0.2252
2007-10-31,0.7687
2007-11-30,-0.7350
2007-12-31,0.2472
2008-01-31,-0.4360
2008-02-29,-0.6991
2008-03-31,-0.3507
2008-04-30,-0.1326
2008-05-30,0.3213
2008-06-30,-0.5843
2008-07-31,-0.4423
2008-08-29,0.2670
2008-09-30,-0.9706
2008-10-31,-1.1704
2008-11-28,-0.8159
2008-12-31,0.2560
2009-01-30,-0.8583
2009-02-27,-0.6417
2009-03-31,0.1200
2009-04-30,0.9578
2009-05-29,0.4613
2009-06-30,-0.6050
2009-07-31,0.6479
2009-08-31,0.9304
2009-09-30,1.0470
2009-10-30,-0.0359
2009-11-30,0.1936
2009-12-31,0.2884
2010-01-29,-0.6496
2010-02-26,-0.0053
2010-03-31,0.3418
2010-04-30,0.0714
2010-05-31,0
2010-06-30,-0.6147
2010-07-30,0.1410
2010-08-31,-0.5349
2010-09-30,0.3161
2010-10-29,0.3944
2010-11-30,-0.6132
2010-12-31,0.2028
2011-01-31,0.1386
2011-02-28,0.2503
2011-03-31,0.0695
2011-04-29,0.0560
2011-05-31,0.6146
2011-06-30,-0.3017
2011-07-29,-0.2255
2011-08-31,-0.3580
2011-09-30,-0.1890
2011-10-31,0.8677
2011-11-30,-0.0864
2011-12-30,-0.1018
2012-01-31,-0.8204
2012-02-29,0.7314
2012-03-30,-0.2497
2012-04-30,0.1153
2012-05-31,-0.3189
2012-06-29,0.4373
2012-07-31,0.1367
2012-08-31,-0.4769
2012-09-28,-0.1642
2012-10-31,-0.1827
2012-11-30,-0.1163
2012-12-31,-0.1303
2013-01-31,0.1773
2013-02-28,0.4999
2013-03-29,0
2013-04-30,0.2521
2013-05-31,0.4147
2013-06-28,0.2475
2013-07-31,1.4080
2013-08-30,-0.6885
2013-09-30,-0.3052
2013-10-31,0.8748
2013-11-29,0.0748
2013-12-31,0.5338
2014-01-31,-0.3589
2014-02-28,0.1326
2014-03-31,-0.3071
2014-04-30,-0.2443
2014-05-30,-0.1358
2014-06-30,0.4257
2014-07-31,0.2306
2014-08-29,0.3363
2014-09-30,-0.4898
2014-10-31,0.3746
2014-11-28,-0.0912
2014-12-31,0.1591
2015-01-30,-0.1225
2015-02-27,1.0189
2015-03-31,-0.0446
2015-04-30,-0.1894
2015-05-29,0.3125
2015-06-30,-0.7460
2015-07-31,0.1130
2015-08-31,-0.5866
2015-09-30,-0.2029
2015-10-30,0.8500
2015-11-30,-0.2006
2015-12-31,-0.5757
2016-01-29,-0.3228
2016-02-29,0.5948
2016-03-31,0.3415
2016-04-29,0.3614
2016-05-31,-0.4130
2016-06-30,0.1533
2016-07-29,0.4035
2016-08-31,0.0193
2016-09-30,-0.4669
2016-10-31,-5.1517
2016-11-30,-0.1824
2016-12-30,-0.0257
2017-01-31,0.7115
2017-02-28,0.0265
2017-03-31,-4.6824
2017-04-28,0.7084
2017-05-31,-0.4074
2017-06-30,-0.1048
2017-07-31,-0.1572
2017-08-31,-0.4676
2017-09-29,0.9490
2017-10-31,-1.2949
2017-11-30,0.6591
2017-12-29,-0.0813
2018-01-31,-1.3097
2018-02-28,-0.5754
2018-03-30,0
2018-04-30,0.3410
2018-05-31,-0.8999
2018-06-29,-0.4142
2018-07-31,-0.0094
2018-08-31,0.0953
2018-09-28,0.4262
2018-10-31,0.8335
2018-11-30,0.2270
2018-12-31,-2.1791
2019-01-31,0.7898
2019-02-28,0.2545
2019-03-29,-0.6121
2019-04-30,-0.2200
2019-05-31,-1.4811
2019-06-28,-0.2414
2019-07-31,0.0097
2019-08-30,0.3686
2019-09-30,1.3261
2019-10-31,0.8644
2019-11-29,-0.3517
2019-12-31,0.3169
2020-01-31,-1.6536
2020-02-28,-0.6646
2020-03-31,-0.8715
2020-04-30,0.8100
2020-05-29,-0.6200
2020-06-30,0.1300
2020-07-31,0.0200
2020-08-31,0.1900
2020-09-30,0.1700
2020-10-30,-0.2900
2020-11-30,0.2300
2020-12-31,0.9100
2021-01-29,0.1900
2021-02-26,1.0000
2021-03-31,-0.0100
2021-04-30,0.1400
2021-05-31,0
2021-06-30,-0.3200
2021-07-30,-0.6600
2021-08-31,-1.0200
2021-09-30,0.2500
2021-10-29,1.0100
2021-11-30,4.0500
2021-12-31,0.6300
2022-01-31,-0.2400
2022-02-28,0
2022-03-31,0
