,MOM_daily_20
2000-01-31,3.1177
2000-02-29,9.9663
2000-03-31,-6.2013
2000-04-28,2.7173
2000-05-31,3.3306
2000-06-30,14.8004
2000-07-31,-12.8284
2000-08-31,-4.3017
2000-09-29,7.0275
2000-10-31,2.7684
2000-11-30,-7.2405
2000-12-29,-7.1894
2001-01-31,-5.0598
2001-02-28,-2.3936
2001-03-30,-3.7736
2001-04-30,5.0854
2001-05-31,-2.5044
2001-06-29,-1.6611
2001-07-31,-0.6474
2001-08-31,-0.0170
2001-09-28,-4.8639
2001-10-31,0.6133
2001-11-30,1.7462
2001-12-31,4.3528
2002-01-31,-4.4976
2002-02-28,-1.6099
2002-03-29,0
2002-04-30,-1.1244
2002-05-31,3.6714
2002-06-28,-2.7173
2002-07-31,0.3067
2002-08-30,1.1159
2002-09-30,3.7480
2002-10-31,-1.4907
2002-11-29,-1.7548
2002-12-31,-2.1125
2003-01-31,-5.2557
2003-02-28,-0.9200
2003-03-31,-0.8518
2003-04-30,1.3970
2003-05-30,1.8399
2003-06-30,0.5111
2003-07-31,0.2215
2003-08-29,2.0870
2003-09-30,-2.8962
2003-10-31,1.8399
2003-11-28,1.4992
2003-12-31,0.5026
2004-01-30,0.8348
2004-02-27,1.2692
2004-03-31,-0.9540
2004-04-30,-1.8485
2004-05-31,0
2004-06-30,3.7736
2004-07-30,-2.8195
2004-08-31,0.3322
2004-09-30,-0.8603
2004-10-29,-2.9558
2004-11-30,1.1329
2004-12-31,0.7666
2005-01-31,-3.4328
2005-02-28,-0.6474
2005-03-31,4.3102
2005-04-29,1.3544
2005-05-31,3.4328
2005-06-30,0.3152
2005-07-29,2.6918
2005-08-31,7.0701
2005-09-30,0.2641
2005-10-31,-3.0325
2005-11-30,1.2522
2005-12-30,-0.4855
2006-01-31,0.6559
2006-02-28,-0.3663
2006-03-31,0.5366
2006-04-28,-2.8280
2006-05-31,-1.0648
2006-06-30,-2.8110
2006-07-31,-1.0477
2006-08-31,0.8518
2006-09-29,-0.0341
2006-10-31,4.0462
2006-11-30,-1.3288
2006-12-29,1.4311
2007-01-31,2.2062
2007-02-28,-2.2147
2007-03-30,1.1244
2007-04-30,1.5929
2007-05-31,-0.5026
2007-06-29,-2.2062
2007-07-31,-0.8859
2007-08-31,4.6595
2007-09-28,0.2726
2007-10-31,1.0307
2007-11-30,0.4515
2007-12-31,0.7666
2008-01-31,-1.7973
2008-02-29,2.8877
2008-03-31,-0.8774
2008-04-30,2.4277
2008-05-30,4.2591
2008-06-30,1.1585
2008-07-31,0.0170
2008-08-29,-1.7973
2008-09-30,-3.9354
2008-10-31,-0.9079
2008-11-28,-5.0357
2008-12-31,1.8809
2009-01-30,-3.8901
2009-02-27,-10.2311
2009-03-31,6.0378
2009-04-30,2.3275
2009-05-29,2.8424
2009-06-30,1.3715
2009-07-31,2.0184
2009-08-31,-2.4044
2009-09-30,1.6716
2009-10-30,0.1126
2009-11-30,4.8882
2009-12-31,-0.4000
2010-01-29,-3.3740
2010-02-26,-1.4394
2010-03-31,-1.6681
2010-04-30,2.2707
2010-05-31,0
2010-06-30,-3.0604
2010-07-30,1.7538
2010-08-31,-2.5705
2010-09-30,2.4571
2010-10-29,-0.7750
2010-11-30,-0.7150
2010-12-31,3.3969
2011-01-31,2.9015
2011-02-28,2.9860
2011-03-31,-1.1635
2011-04-29,5.4354
2011-05-31,3.6484
2011-06-30,2.5131
2011-07-29,-6.7550
2011-08-31,-2.7502
2011-09-30,-4.0617
2011-10-31,3.1402
2011-11-30,1.0213
2011-12-30,1.0240
2012-01-31,-0.0090
2012-02-29,3.2667
2012-03-30,-0.5773
2012-04-30,-2.8502
2012-05-31,-0.0576
2012-06-29,7.0097
2012-07-31,-6.2852
2012-08-31,0.0363
2012-09-28,3.3464
2012-10-31,-4.6286
2012-11-30,1.0685
2012-12-31,-2.3379
2013-01-31,2.1370
2013-02-28,-2.3394
2013-03-29,0
2013-04-30,-3.5315
2013-05-31,1.8245
2013-06-28,2.3680
2013-07-31,3.5013
2013-08-30,1.6787
2013-09-30,2.3587
2013-10-31,6.4286
2013-11-29,-1.4240
2013-12-31,9.0049
2014-01-31,-3.0821
2014-02-28,-2.8648
2014-03-31,-2.8880
2014-04-30,2.8508
2014-05-30,-0.7196
2014-06-30,4.8889
2014-07-31,-0.3085
2014-08-29,2.5497
2014-09-30,-2.4945
2014-10-31,-2.9728
2014-11-28,0.1421
2014-12-31,2.1551
2015-01-30,0.5835
2015-02-27,3.4270
2015-03-31,2.7387
2015-04-30,-3.7681
2015-05-29,5.3052
2015-06-30,-1.6201
2015-07-31,12.1650
2015-08-31,-14.4339
2015-09-30,0.4846
2015-10-30,-5.0746
2015-11-30,3.1668
2015-12-31,-1.9168
2016-01-29,-8.1251
2016-02-29,3.3126
2016-03-31,3.8960
2016-04-29,-2.2208
2016-05-31,16.2035
2016-06-30,1.0275
2016-07-29,-0.3361
2016-08-31,-6.7019
2016-09-30,2.8607
2016-10-31,-5.4613
2016-11-30,4.1945
2016-12-30,-2.9371
2017-01-31,-1.0435
2017-02-28,7.2688
2017-03-31,-5.4754
2017-04-28,5.8534
2017-05-31,1.2475
2017-06-30,1.9244
2017-07-31,-1.5454
2017-08-31,8.4702
2017-09-29,-2.8165
2017-10-31,8.5664
2017-11-30,6.5255
2017-12-29,-5.0807
2018-01-31,8.6275
2018-02-28,1.2405
2018-03-30,0
2018-04-30,5.8854
2018-05-31,3.7874
2018-06-29,-2.9637
2018-07-31,12.1883
2018-08-31,25.6838
2018-09-28,12.5540
2018-10-31,-32.0585
2018-11-30,-7.5021
2018-12-31,-17.3935
2019-01-31,32.0588
2019-02-28,25.4491
2019-03-29,1.7166
2019-04-30,4.5975
2019-05-31,-2.9263
2019-06-28,10.3162
2019-07-31,-3.3597
2019-08-30,-13.9646
2019-09-30,4.0581
2019-10-31,11.2142
2019-11-29,10.3176
2019-12-31,1.6258
2020-01-31,-9.4079
2020-02-28,-23.6099
2020-03-31,-3.7333
2020-04-30,39.2885
2020-05-29,39.8279
2020-06-30,0.2286
2020-07-31,5.9445
2020-08-31,-22.9616
2020-09-30,-9.6641
2020-10-30,5.4839
2020-11-30,50.9783
2020-12-31,19.1493
2021-01-29,7.8909
2021-02-26,39.3179
2021-03-31,20.6306
2021-04-30,38.8781
2021-05-31,0
2021-06-30,40.0467
2021-07-30,28.2712
2021-08-31,18.1743
2021-09-30,-20.7511
2021-10-29,29.7885
2021-11-30,-52.6568
2021-12-31,50.0321
2022-01-31,-140.8234
2022-02-28,52.5976
2022-03-31,13.2200
