,MOM_daily_20
2000-01-31,-0.4383
2000-02-29,0.8333
2000-03-31,0.2083
2000-04-28,0.4800
2000-05-31,2.0000
2000-06-30,0.6350
2000-07-31,-0.9267
2000-08-31,0.7083
2000-09-29,-3.1967
2000-10-31,0.4267
2000-11-30,-0.2917
2000-12-29,0.4167
2001-01-31,-0.1033
2001-02-28,-0.9800
2001-03-30,-0.0100
2001-04-30,-0.4183
2001-05-31,0.3350
2001-06-29,-0.0317
2001-07-31,0.1367
2001-08-31,-0.4167
2001-09-28,-0.5250
2001-10-31,0.4883
2001-11-30,-0.2200
2001-12-31,-0.1117
2002-01-31,-0.1950
2002-02-28,-0.3333
2002-03-29,0
2002-04-30,0.1117
2002-05-31,0.2117
2002-06-28,-0.4117
2002-07-31,-0.2100
2002-08-30,0.1967
2002-09-30,-0.6833
2002-10-31,0.7250
2002-11-29,0.1500
2002-12-31,-0.3100
2003-01-31,0.5400
2003-02-28,0.1917
2003-03-31,0.2400
2003-04-30,0.9750
2003-05-30,0.4333
2003-06-30,-0.5867
2003-07-31,0.5350
2003-08-29,-0.0100
2003-09-30,-0.6983
2003-10-31,0.5567
2003-11-28,0.3500
2003-12-31,0.9583
2004-01-30,-0.0150
2004-02-27,-0.5983
2004-03-31,0.0100
2004-04-30,0.4825
2004-05-31,0
2004-06-30,0.2550
2004-07-30,0.0925
2004-08-31,0.3450
2004-09-30,1.1225
2004-10-29,-0.8500
2004-11-30,0.6750
2004-12-31,-0.0225
2005-01-31,0.6300
2005-02-28,0.2475
2005-03-31,-0.7000
2005-04-29,0.1825
2005-05-31,1.1925
2005-06-30,-0.2600
2005-07-29,-0.0025
2005-08-31,-0.2900
2005-09-30,-0.7600
2005-10-31,-1.3600
2005-11-30,0.8575
2005-12-30,0.3900
2006-01-31,1.1325
2006-02-28,0.1750
2006-03-31,0.5200
2006-04-28,0.8275
2006-05-31,-0.4475
2006-06-30,-0.1350
2006-07-31,0.8475
2006-08-31,-0.0200
2006-09-29,-0.4725
2006-10-31,-0.2225
2006-11-30,0.6900
2006-12-29,0.6900
2007-01-31,1.4625
2007-02-28,-0.8700
2007-03-30,0.3000
2007-04-30,0.9200
2007-05-31,-0.1500
2007-06-29,1.4750
2007-07-31,0.1900
2007-08-31,-1.3100
2007-09-28,1.9400
2007-10-31,0.5450
2007-11-30,-1.9200
2007-12-31,-3.4150
2008-01-31,-1.6200
2008-02-29,0.4450
2008-03-31,0.6250
2008-04-30,2.4900
2008-05-30,3.0100
2008-06-30,-2.3650
2008-07-31,-0.4150
2008-08-29,0.4950
2008-09-30,-3.5950
2008-10-31,-0.4350
2008-11-28,0.0500
2008-12-31,2.1350
2009-01-30,-3.3950
2009-02-27,-0.4550
2009-03-31,1.4800
2009-04-30,2.8600
2009-05-29,-1.1300
2009-06-30,-0.2600
2009-07-31,2.2050
2009-08-31,0.4650
2009-09-30,-0.4250
2009-10-30,-0.7350
2009-11-30,0.6800
2009-12-31,1.0550
2010-01-29,-1.3400
2010-02-26,1.9350
2010-03-31,0.5700
2010-04-30,2.0900
2010-05-31,0
2010-06-30,-0.5000
2010-07-30,0.3150
2010-08-31,-0.5100
2010-09-30,3.0200
2010-10-29,0.3150
2010-11-30,0.8750
2010-12-31,0.5450
2011-01-31,3.0750
2011-02-28,2.4300
2011-03-31,0.0300
2011-04-29,-1.8500
2011-05-31,-1.4650
2011-06-30,-1.2050
2011-07-29,-2.0300
2011-08-31,-0.8800
2011-09-30,-2.1350
2011-10-31,3.9950
2011-11-30,2.2500
2011-12-30,0.3350
2012-01-31,1.7150
2012-02-29,1.7300
2012-03-30,2.4750
2012-04-30,-0.1400
2012-05-31,-3.5575
2012-06-29,0.5550
2012-07-31,-1.3300
2012-08-31,1.8750
2012-09-28,-0.3400
2012-10-31,-0.0950
2012-11-30,3.5000
2012-12-31,2.0700
2013-01-31,0.4900
2013-02-28,-1.9150
2013-03-29,0
2013-04-30,0.1700
2013-05-31,1.6300
2013-06-28,-1.9100
2013-07-31,2.1900
2013-08-30,-2.6400
2013-09-30,4.4600
2013-10-31,-2.0850
2013-11-29,3.3750
2013-12-31,2.8300
2014-01-31,-2.1100
2014-02-28,5.1000
2014-03-31,0.6200
2014-04-30,-0.8700
2014-05-30,-2.7900
2014-06-30,1.0700
2014-07-31,-3.3300
2014-08-29,2.6000
2014-09-30,-2.9500
2014-10-31,-2.5350
2014-11-28,-2.3050
2014-12-31,-1.2400
2015-01-30,-2.7000
2015-02-27,1.5500
2015-03-31,-1.0050
2015-04-30,0.7200
2015-05-29,-1.9900
2015-06-30,-0.1400
2015-07-31,-0.5200
2015-08-31,-3.9300
2015-09-30,-1.5900
2015-10-30,6.3600
2015-11-30,0.1500
2015-12-31,-1.9900
2016-01-29,-2.4200
2016-02-29,3.9700
2016-03-31,-0.1800
2016-04-29,-1.1000
2016-05-31,1.6500
2016-06-30,-1.4700
2016-07-29,2.0800
2016-08-31,0.4000
2016-09-30,1.2200
2016-10-31,-0.7400
2016-11-30,1.2100
2016-12-30,2.4800
2017-01-31,-0.5300
2017-02-28,1.6900
2017-03-31,0.2100
2017-04-28,3.2300
2017-05-31,0.0000
2017-06-30,-1.0700
2017-07-31,1.7600
2017-08-31,0.8400
2017-09-29,0.5700
2017-10-31,0.1800
2017-11-30,1.6200
2017-12-29,-1.3500
2018-01-31,3.0400
2018-02-28,-6.2400
2018-03-30,0
2018-04-30,-0.3200
2018-05-31,-1.2800
2018-06-29,-1.5700
2018-07-31,2.8000
2018-08-31,1.5700
2018-09-28,1.3600
2018-10-31,-5.6700
2018-11-30,-0.0200
2018-12-31,-4.4900
2019-01-31,5.1900
2019-02-28,2.7800
2019-03-29,-0.0700
2019-04-30,-0.1600
2019-05-31,-2.2200
2019-06-28,5.2100
2019-07-31,-3.5900
2019-08-30,-0.8900
2019-09-30,1.2900
2019-10-31,2.0300
2019-11-29,0.6900
2019-12-31,1.2950
2020-01-31,0.5850
2020-02-28,-3.9500
2020-03-31,-7.9600
2020-04-30,5.5300
2020-05-29,4.4900
2020-06-30,2.8100
2020-07-31,1.9900
2020-08-31,6.8700
2020-09-30,-4.7100
2020-10-30,-1.2000
2020-11-30,11.7400
2020-12-31,6.1000
2021-01-29,-0.4200
2021-02-26,6.5100
2021-03-31,3.7100
2021-04-30,1.2650
2021-05-31,0
2021-06-30,3.4000
2021-07-30,3.0500
2021-08-31,8.4100
2021-09-30,-11.5000
2021-10-29,3.2300
2021-11-30,-1.3800
2021-12-31,0.9000
2022-01-31,-15.0300
2022-02-28,-0.5100
2022-03-31,4.0900
