,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-4.0899
2000-09-29,-9.5555
2000-10-31,-13.5136
2000-11-30,-5.6503
2000-12-29,-6.8633
2001-01-31,-3.5293
2001-02-28,-6.6676
2001-03-30,-7.0833
2001-04-30,-6.1214
2001-05-31,0.4188
2001-06-29,2.5931
2001-07-31,4.3439
2001-08-31,0.0942
2001-09-28,-4.3305
2001-10-31,-4.0211
2001-11-30,1.2929
2001-12-31,1.3715
2002-01-31,3.2101
2002-02-28,4.9590
2002-03-29,0
2002-04-30,8.7044
2002-05-31,9.7148
2002-06-28,7.9087
2002-07-31,7.7265
2002-08-30,7.0424
2002-09-30,2.0725
2002-10-31,5.4569
2002-11-29,2.2130
2002-12-31,0.2301
2003-01-31,-2.2362
2003-02-28,-6.6601
2003-03-31,-2.3620
2003-04-30,-2.9727
2003-05-30,-3.6246
2003-06-30,-5.7770
2003-07-31,-3.2692
2003-08-29,-2.5390
2003-09-30,-5.6018
2003-10-31,-4.9651
2003-11-28,-0.7465
2003-12-31,-1.9630
2004-01-30,4.5479
2004-02-27,6.7895
2004-03-31,4.6627
2004-04-30,8.1804
2004-05-31,0
2004-06-30,7.4899
2004-07-30,5.5028
2004-08-31,7.9433
2004-09-30,6.6726
2004-10-29,2.7031
2004-11-30,-0.3156
2004-12-31,0.1259
2005-01-31,-0.9554
2005-02-28,1.1841
2005-03-31,1.8185
2005-04-29,-5.1658
2005-05-31,-3.4946
2005-06-30,-5.6122
2005-07-29,-2.7460
2005-08-31,-1.6340
2005-09-30,-5.5619
2005-10-31,0.5009
2005-11-30,-0.6377
2005-12-30,-3.0020
2006-01-31,5.1304
2006-02-28,6.1763
2006-03-31,3.8433
2006-04-28,6.3650
2006-05-31,3.3513
2006-06-30,3.3943
2006-07-31,5.8620
2006-08-31,3.4189
2006-09-29,2.9970
2006-10-31,4.1492
2006-11-30,5.7644
2006-12-29,5.7894
2007-01-31,7.2192
2007-02-28,3.5943
2007-03-30,6.6667
2007-04-30,3.5607
2007-05-31,4.8400
2007-06-29,5.5200
2007-07-31,0.3124
2007-08-31,-2.9688
2007-09-28,-6.5565
2007-10-31,-6.6460
2007-11-30,-10.5177
2007-12-31,-6.6368
2008-01-31,-7.5694
2008-02-29,-8.1503
2008-03-31,-10.7456
2008-04-30,-12.6264
2008-05-30,-3.6809
2008-06-30,-7.3638
2008-07-31,-6.7392
2008-08-29,-3.8125
2008-09-30,-3.9321
2008-10-31,-7.0977
2008-11-28,-13.4340
2008-12-31,-9.8355
2009-01-30,-18.3555
2009-02-27,-20.1793
2009-03-31,-17.3579
2009-04-30,-7.9177
2009-05-29,-12.7268
2009-06-30,-14.0913
2009-07-31,-5.8233
2009-08-31,2.1291
2009-09-30,4.6508
2009-10-30,5.0992
2009-11-30,11.9596
2009-12-31,11.7352
2010-01-29,4.6337
2010-02-26,3.4563
2010-03-31,7.4853
2010-04-30,10.5216
2010-05-31,0
2010-06-30,-1.3909
2010-07-30,-0.2477
2010-08-31,-4.0431
2010-09-30,-0.4267
2010-10-29,-2.0874
2010-11-30,4.3955
2010-12-31,6.2835
2011-01-31,4.1421
2011-02-28,2.9870
2011-03-31,5.3218
2011-04-29,5.9594
2011-05-31,7.0263
2011-06-30,2.9480
2011-07-29,-4.8442
2011-08-31,-5.4604
2011-09-30,-12.4252
2011-10-31,-11.5050
