,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-0.1613
2000-09-29,0.0890
2000-10-31,-2.0634
2000-11-30,-0.3062
2000-12-29,0.1458
2001-01-31,-0.8918
2001-02-28,-0.3426
2001-03-30,-0.4155
2001-04-30,0.6653
2001-05-31,0.8631
2001-06-29,2.0124
2001-07-31,4.0694
2001-08-31,5.2049
2001-09-28,3.2798
2001-10-31,4.3723
2001-11-30,5.3980
2001-12-31,4.5528
2002-01-31,4.8585
2002-02-28,5.9811
2002-03-29,0
2002-04-30,4.1973
2002-05-31,2.7084
2002-06-28,1.3977
2002-07-31,1.1779
2002-08-30,1.4975
2002-09-30,0.1472
2002-10-31,1.8544
2002-11-29,0.2556
2002-12-31,-1.7475
2003-01-31,-3.8565
2003-02-28,-3.5851
2003-03-31,-2.6530
2003-04-30,0.6977
2003-05-30,-0.9088
2003-06-30,-1.6182
2003-07-31,-0.7857
2003-08-29,-1.4625
2003-09-30,-1.5101
2003-10-31,-0.7226
2003-11-28,1.0792
2003-12-31,2.2565
2004-01-30,1.7917
2004-02-27,1.7631
2004-03-31,1.5213
2004-04-30,3.7815
2004-05-31,0
2004-06-30,4.0714
2004-07-30,2.8044
2004-08-31,2.6405
2004-09-30,1.6164
2004-10-29,1.5534
2004-11-30,2.2881
2004-12-31,2.6591
2005-01-31,2.3248
2005-02-28,2.6851
2005-03-31,2.2927
2005-04-29,-0.1102
2005-05-31,1.6202
2005-06-30,0.4706
2005-07-29,1.1311
2005-08-31,-0.6419
2005-09-30,-2.2977
2005-10-31,-1.6697
2005-11-30,-0.9297
2005-12-30,-1.7688
2006-01-31,2.6053
2006-02-28,2.6536
2006-03-31,2.9700
2006-04-28,3.3255
2006-05-31,3.0318
2006-06-30,3.8728
2006-07-31,5.3054
2006-08-31,4.5790
2006-09-29,4.3281
2006-10-31,3.6137
2006-11-30,2.9585
2006-12-29,1.3826
2007-01-31,2.4746
2007-02-28,1.8022
2007-03-30,3.3298
2007-04-30,2.8919
2007-05-31,2.6313
2007-06-29,0.7654
2007-07-31,-2.6145
2007-08-31,-2.4401
2007-09-28,-3.3946
2007-10-31,-5.1782
2007-11-30,-4.7980
2007-12-31,-3.4003
2008-01-31,-4.6358
2008-02-29,-5.4822
2008-03-31,-4.7276
2008-04-30,-4.6921
2008-05-30,-1.5705
2008-06-30,-4.5292
2008-07-31,0.2857
2008-08-29,-0.2750
2008-09-30,-0.3148
2008-10-31,1.1713
2008-11-28,0.9647
2008-12-31,-0.0757
2009-01-30,-2.8433
2009-02-27,-5.7882
2009-03-31,-3.0631
2009-04-30,1.3252
2009-05-29,-2.1350
2009-06-30,-1.9052
2009-07-31,2.4116
2009-08-31,3.2887
2009-09-30,1.1930
2009-10-30,2.5740
2009-11-30,6.8931
2009-12-31,7.5083
2010-01-29,5.2241
2010-02-26,4.8465
2010-03-31,3.4302
2010-04-30,3.4772
2010-05-31,0
2010-06-30,0.6413
2010-07-30,3.2267
2010-08-31,1.0744
2010-09-30,1.4444
2010-10-29,1.9686
2010-11-30,3.0119
2010-12-31,2.9804
2011-01-31,2.0540
2011-02-28,3.8725
2011-03-31,3.3236
2011-04-29,2.6864
2011-05-31,3.8586
2011-06-30,2.7178
2011-07-29,-1.2594
2011-08-31,0.8300
2011-09-30,-1.9136
2011-10-31,-3.3350
2011-11-30,-2.0229
2011-12-30,-0.4575
