,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,4.6882
2000-09-29,9.2872
2000-10-31,7.4999
2000-11-30,7.1301
2000-12-29,7.7484
2001-01-31,4.8844
2001-02-28,6.2305
2001-03-30,7.0064
2001-04-30,7.0279
2001-05-31,4.0190
2001-06-29,-2.4486
2001-07-31,-4.7472
2001-08-31,-3.2063
2001-09-28,-4.3026
2001-10-31,-2.6380
2001-11-30,-5.7192
2001-12-31,-5.7134
2002-01-31,-7.8813
2002-02-28,-9.4993
2002-03-29,0
2002-04-30,-2.3981
2002-05-31,-5.1454
2002-06-28,-4.9792
2002-07-31,-7.1385
2002-08-30,-5.8661
2002-09-30,-5.9346
2002-10-31,-7.7165
2002-11-29,-5.8089
2002-12-31,-6.6536
2003-01-31,-7.2991
2003-02-28,-4.7110
2003-03-31,-4.2475
2003-04-30,-2.9464
2003-05-30,-0.1694
2003-06-30,-1.2698
2003-07-31,0.7992
2003-08-29,1.0598
2003-09-30,0.9053
2003-10-31,0.8458
2003-11-28,2.2164
2003-12-31,1.6775
2004-01-30,1.4689
2004-02-27,1.4437
2004-03-31,1.1458
2004-04-30,1.5102
2004-05-31,0
2004-06-30,1.2754
2004-07-30,1.0046
2004-08-31,0.7055
2004-09-30,0.6092
2004-10-29,0.2148
2004-11-30,0.5421
2004-12-31,0.2662
2005-01-31,0.2796
2005-02-28,0.9821
2005-03-31,0.8313
2005-04-29,0.2196
2005-05-31,0.7832
2005-06-30,1.4979
2005-07-29,1.6882
2005-08-31,1.6712
2005-09-30,1.9022
2005-10-31,1.3050
2005-11-30,0.5941
2005-12-30,0.3957
2006-01-31,0.5969
2006-02-28,0.6849
2006-03-31,-0.2247
2006-04-28,-0.6640
2006-05-31,-0.4947
2006-06-30,-1.0311
2006-07-31,0.2992
2006-08-31,1.0400
2006-09-29,0.9278
2006-10-31,1.4078
2006-11-30,2.0398
2006-12-29,2.2356
2007-01-31,3.0654
2007-02-28,3.1872
2007-03-30,3.2547
2007-04-30,3.3859
2007-05-31,2.9621
2007-06-29,1.9386
2007-07-31,1.2429
2007-08-31,0.4130
2007-09-28,0.1296
2007-10-31,0.2816
2007-11-30,0.1026
2007-12-31,0.0914
2008-01-31,-1.2062
2008-02-29,-2.3652
2008-03-31,-1.6763
2008-04-30,-0.9266
2008-05-30,1.0437
2008-06-30,0.2758
2008-07-31,-0.1911
2008-08-29,-0.7115
2008-09-30,-1.7826
2008-10-31,-2.2149
2008-11-28,-1.0097
2008-12-31,-0.5775
2009-01-30,-0.8463
2009-02-27,-2.6051
2009-03-31,-3.1568
2009-04-30,-2.4803
2009-05-29,-2.9994
2009-06-30,-2.1432
2009-07-31,1.0385
2009-08-31,0.8844
2009-09-30,0.1838
2009-10-30,0.3882
2009-11-30,0.4657
2009-12-31,2.7867
2010-01-29,2.5853
2010-02-26,2.0652
2010-03-31,2.6834
2010-04-30,2.1943
2010-05-31,0
2010-06-30,0.7212
2010-07-30,1.2997
2010-08-31,1.7978
2010-09-30,1.0985
2010-10-29,1.5998
2010-11-30,1.4177
2010-12-31,1.1919
2011-01-31,1.5228
2011-02-28,1.3867
2011-03-31,2.7828
2011-04-29,3.1325
2011-05-31,3.4901
2011-06-30,3.1108
2011-07-29,2.7109
2011-08-31,2.8613
2011-09-30,2.8337
2011-10-31,3.7441
2011-11-30,2.9631
2011-12-30,3.5831
