,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-6.3489
2000-09-29,-7.4839
2000-10-31,-10.2113
2000-11-30,-10.5605
2000-12-29,-11.1821
2001-01-31,-3.2338
2001-02-28,-4.2326
2001-03-30,4.6726
2001-04-30,-1.0966
2001-05-31,2.2071
2001-06-29,1.8858
2001-07-31,8.2417
2001-08-31,0.3702
2001-09-28,1.3480
2001-10-31,-1.9976
2001-11-30,-0.3003
2001-12-31,4.4980
2002-01-31,7.1730
2002-02-28,4.5329
2002-03-29,0
2002-04-30,-1.2293
2002-05-31,-2.0255
2002-06-28,2.5144
2002-07-31,-2.4376
2002-08-30,-6.7470
2002-09-30,-5.8530
2002-10-31,-5.6644
2002-11-29,-9.7922
2002-12-31,-9.8830
2003-01-31,-9.5478
2003-02-28,-7.0892
2003-03-31,-6.8238
2003-04-30,-1.5715
2003-05-30,3.2338
2003-06-30,2.1861
2003-07-31,2.3887
2003-08-29,-0.0419
2003-09-30,1.1105
2003-10-31,3.6668
2003-11-28,5.2523
2003-12-31,4.3234
2004-01-30,1.5785
2004-02-27,1.8579
2004-03-31,1.3550
2004-04-30,0.4330
2004-05-31,0
2004-06-30,6.9170
2004-07-30,5.2882
2004-08-31,4.5355
2004-09-30,4.0618
2004-10-29,7.7869
2004-11-30,7.9224
2004-12-31,7.9983
2005-01-31,7.1544
2005-02-28,7.2494
2005-03-31,2.1044
2005-04-29,-0.0553
2005-05-31,3.4853
2005-06-30,2.5483
2005-07-29,0.6096
2005-08-31,-4.2327
2005-09-30,-3.4816
2005-10-31,0.3240
2005-11-30,2.3485
2005-12-30,4.0168
2006-01-31,3.8146
2006-02-28,6.4287
2006-03-31,5.9139
2006-04-28,6.3889
2006-05-31,7.4282
2006-06-30,10.1849
2006-07-31,5.6790
2006-08-31,-1.8175
2006-09-29,1.0061
2006-10-31,2.2469
2006-11-30,0.7903
2006-12-29,-1.2433
2007-01-31,1.7645
2007-02-28,0.1701
2007-03-30,1.1444
2007-04-30,-1.2665
2007-05-31,4.3947
2007-06-29,6.7096
2007-07-31,7.3853
2007-08-31,7.3204
2007-09-28,5.5700
2007-10-31,7.9469
2007-11-30,7.1817
2007-12-31,12.4279
2008-01-31,9.2263
2008-02-29,5.8610
2008-03-31,6.8059
2008-04-30,7.1250
2008-05-30,7.9389
2008-06-30,7.6948
2008-07-31,-2.5146
2008-08-29,0.1829
2008-09-30,-2.2938
2008-10-31,-4.9978
2008-11-28,-8.8062
2008-12-31,-6.3545
2009-01-30,-15.8612
2009-02-27,-22.6067
2009-03-31,-17.1384
2009-04-30,-14.9190
2009-05-29,-13.6554
2009-06-30,-16.9654
2009-07-31,-6.1015
2009-08-31,2.0315
2009-09-30,2.6468
2009-10-30,6.7318
2009-11-30,13.0644
2009-12-31,11.2672
2010-01-29,9.0950
2010-02-26,10.9419
2010-03-31,10.2957
2010-04-30,9.4067
2010-05-31,0
2010-06-30,-1.2090
2010-07-30,-0.9071
2010-08-31,-2.2652
2010-09-30,4.2059
2010-10-29,3.6264
2010-11-30,5.6819
2010-12-31,8.6943
2011-01-31,9.9643
2011-02-28,13.3226
2011-03-31,11.7138
2011-04-29,18.7587
2011-05-31,20.9188
2011-06-30,15.5739
2011-07-29,11.6862
2011-08-31,10.3417
2011-09-30,8.8766
2011-10-31,8.6284
2011-11-30,8.8442
2011-12-30,10.2560
