,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,4.6500
2009-08-31,5.7550
2009-09-30,6.7600
2009-10-30,4.7750
2009-11-30,7.1300
2009-12-31,5.6300
2010-01-29,5.2200
2010-02-26,4.1850
2010-03-31,4.7150
2010-04-30,5.8900
2010-05-31,0
2010-06-30,2.7600
2010-07-30,3.5400
2010-08-31,3.5500
2010-09-30,5.4600
2010-10-29,5.5500
2010-11-30,4.8400
2010-12-31,3.9700
2011-01-31,1.9750
2011-02-28,2.8050
2011-03-31,1.3200
2011-04-29,3.7850
2011-05-31,3.0050
2011-06-30,-0.0500
2011-07-29,-1.3050
2011-08-31,2.2100
2011-09-30,-0.6400
2011-10-31,3.1450
2011-11-30,-0.5800
2011-12-30,1.8950
2012-01-31,1.6075
2012-02-29,1.9550
2012-03-30,5.6250
2012-04-30,6.0800
2012-05-31,5.0100
2012-06-29,6.2950
2012-07-31,4.1450
2012-08-31,6.5600
2012-09-28,9.1700
2012-10-31,7.5800
2012-11-30,7.4100
2012-12-31,6.9650
2013-01-31,7.7450
2013-02-28,8.7700
2013-03-29,0
2013-04-30,12.3100
2013-05-31,9.2850
2013-06-28,8.7860
2013-07-31,8.2650
2013-08-30,9.2150
2013-09-30,10.3950
2013-10-31,10.5600
2013-11-29,8.5050
2013-12-31,7.1950
2014-01-31,1.3200
2014-02-28,3.2800
2014-03-31,4.8750
2014-04-30,-3.0550
2014-05-30,-0.3550
2014-06-30,0.3700
