,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,4.2697
2000-09-29,-3.1111
2000-10-31,5.3811
2000-11-30,-3.3790
2000-12-29,1.0097
2001-01-31,8.6783
2001-02-28,9.8294
2001-03-30,11.4743
2001-04-30,8.2466
2001-05-31,7.0012
2001-06-29,4.9718
2001-07-31,5.0164
2001-08-31,6.8325
2001-09-28,4.8279
2001-10-31,6.1179
2001-11-30,6.4305
2001-12-31,4.9668
2002-01-31,-1.3149
2002-02-28,-0.8931
2002-03-29,0
2002-04-30,3.0118
2002-05-31,3.8355
2002-06-28,5.2397
2002-07-31,1.9798
2002-08-30,4.1928
2002-09-30,1.5580
2002-10-31,5.7508
2002-11-29,5.5275
2002-12-31,-5.7012
2003-01-31,-4.3863
2003-02-28,-3.7412
2003-03-31,-1.7069
2003-04-30,-2.1435
2003-05-30,4.5996
2003-06-30,5.8103
2003-07-31,8.0431
2003-08-29,11.9729
2003-09-30,15.2973
2003-10-31,24.4668
2003-11-28,19.9516
2003-12-31,18.3241
2004-01-30,17.1729
2004-02-27,16.9149
2004-03-31,15.3718
2004-04-30,11.2237
2004-05-31,0
2004-06-30,9.8393
2004-07-30,-1.0420
2004-08-31,-1.5233
2004-09-30,1.7168
2004-10-29,-3.2351
2004-11-30,4.4359
2004-12-31,13.4764
2005-01-31,12.6626
2005-02-28,13.7046
2005-03-31,0.0000
2005-04-29,0.5061
2005-05-31,4.1878
2005-06-30,9.0504
2005-07-29,12.1565
2005-08-31,7.9389
2005-09-30,-2.5405
2005-10-31,-2.9374
2005-11-30,-7.7405
2005-12-30,-14.4390
2006-01-31,4.2970
2006-02-28,-0.4565
2006-03-31,-4.3069
2006-04-28,-3.2252
2006-05-31,-17.6741
2006-06-30,-17.6939
2006-07-31,-4.3069
2006-08-31,-7.9985
2006-09-29,0.6947
2006-10-31,-3.2847
2006-11-30,3.0664
2006-12-29,-2.6298
2007-01-31,-5.0214
2007-02-28,4.1878
2007-03-30,7.7802
2007-04-30,7.7504
2007-05-31,-1.0023
2007-06-29,-7.0756
2007-07-31,-5.8351
2007-08-31,-5.4084
2007-09-28,3.7115
2007-10-31,11.5512
2007-11-30,6.0336
2007-12-31,9.4176
2008-01-31,-6.9367
2008-02-29,-1.3992
2008-03-31,0.8237
2008-04-30,3.3542
2008-05-30,-1.3397
2008-06-30,-9.6061
2008-07-31,-16.9993
2008-08-29,-8.5046
2008-09-30,-20.1848
2008-10-31,-27.6077
2008-11-28,-29.1458
2008-12-31,-30.6939
2009-01-30,-36.3008
2009-02-27,-37.9680
2009-03-31,-28.5802
2009-04-30,-24.0252
2009-05-29,-25.3848
2009-06-30,-23.0924
2009-07-31,-8.0977
2009-08-31,-2.5107
2009-09-30,2.0244
2009-10-30,0.9824
2009-11-30,-0.0397
2009-12-31,-1.0321
2010-01-29,-2.8580
2010-02-26,-3.5031
2010-03-31,-2.6893
2010-04-30,-2.0145
2010-05-31,0
2010-06-30,-3.6817
2010-07-30,-4.8031
2010-08-31,-2.9672
2010-09-30,0.0174
2010-10-29,-1.3397
2010-11-30,-1.3893
2010-12-31,-2.1336
2011-01-31,-3.9496
2011-02-28,0.7046
2011-03-31,3.4931
2011-04-29,4.6542
2011-05-31,8.6733
2011-06-30,6.9069
2011-07-29,5.4481
2011-08-31,6.8473
2011-09-30,4.7038
2011-10-31,7.3435
2011-11-30,4.6244
