,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,-2.2666
2007-09-28,0.3321
2007-10-31,2.4832
2007-11-30,2.5554
2007-12-31,2.8585
2008-01-31,0.8518
2008-02-29,1.1261
2008-03-31,0.6641
2008-04-30,1.4437
2008-05-30,4.5621
2008-06-30,3.5371
2008-07-31,-0.4620
2008-08-29,0.9817
2008-09-30,-0.1877
2008-10-31,-0.5919
2008-11-28,-0.9528
2008-12-31,1.1838
2009-01-30,0.5919
2009-02-27,-0.8807
2009-03-31,-3.1328
2009-04-30,-3.4360
2009-05-29,-2.0645
2009-06-30,-2.8585
2009-07-31,0.0577
2009-08-31,0.3032
2009-09-30,-1.9346
2009-10-30,-1.9779
2009-11-30,-3.0895
2009-12-31,1.6891
2010-01-29,0.5197
2010-02-26,1.9057
2010-03-31,-0.2743
2010-04-30,-0.7074
2010-05-31,0
2010-06-30,-1.7036
2010-07-30,-2.3677
2010-08-31,-4.9086
2010-09-30,-4.7209
2010-10-29,-4.9952
2010-11-30,-5.3128
2010-12-31,-4.7354
2011-01-31,-2.0212
2011-02-28,-1.2560
2011-03-31,-1.4870
2011-04-29,0.7219
2011-05-31,2.5698
2011-06-30,2.3388
2011-07-29,0.1732
2011-08-31,-0.7507
2011-09-30,-5.2551
2011-10-31,-5.8181
2011-11-30,-6.3523
2011-12-30,-6.1358
2012-01-31,-5.8614
2012-02-29,-7.4784
2012-03-30,-4.2878
2012-04-30,-6.0970
2012-05-31,-4.7545
2012-06-29,-0.9002
2012-07-31,-1.1790
2012-08-31,-0.0198
2012-09-28,0.2640
2012-10-31,-2.4338
2012-11-30,-1.0379
2012-12-31,-1.6826
2013-01-31,0.3560
2013-02-28,1.4216
2013-03-29,0
2013-04-30,5.7368
2013-05-31,4.2002
2013-06-28,4.5811
2013-07-31,8.8328
2013-08-30,8.2788
2013-09-30,10.4055
