,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.5886
2000-09-29,1.3613
2000-10-31,2.0791
2000-11-30,1.9140
2000-12-29,1.3924
2001-01-31,2.1844
2001-02-28,1.9284
2001-03-30,-0.2632
2001-04-30,1.6915
2001-05-31,3.0241
2001-06-29,2.2729
2001-07-31,-0.2129
2001-08-31,-2.3399
2001-09-28,-5.5865
2001-10-31,-3.1964
2001-11-30,-2.2896
2001-12-31,-1.8901
2002-01-31,0.7680
2002-02-28,-1.0814
2002-03-29,0
2002-04-30,0.0383
2002-05-31,-0.5981
2002-06-28,-0.4235
2002-07-31,-1.9954
2002-08-30,-2.4978
2002-09-30,-4.1104
2002-10-31,-4.5267
2002-11-29,-3.3926
2002-12-31,-5.0147
2003-01-31,-5.4526
2003-02-28,-4.6056
2003-03-31,-4.1558
2003-04-30,-2.5265
2003-05-30,-0.5838
2003-06-30,-0.3254
2003-07-31,1.1771
2003-08-29,1.4116
2003-09-30,1.7107
2003-10-31,3.8783
2003-11-28,4.2324
2003-12-31,4.6965
2004-01-30,5.0578
2004-02-27,5.1200
2004-03-31,3.9907
2004-04-30,3.3854
2004-05-31,0
2004-06-30,4.9023
2004-07-30,2.8256
2004-08-31,2.0552
2004-09-30,3.3806
2004-10-29,3.8878
2004-11-30,3.3830
2004-12-31,6.5531
2005-01-31,5.2133
2005-02-28,7.6704
2005-03-31,4.4477
2005-04-29,3.5864
2005-05-31,7.4168
2005-06-30,5.5387
2005-07-29,4.1199
2005-08-31,2.6055
2005-09-30,-1.4523
2005-10-31,-1.1269
2005-11-30,-1.9954
2005-12-30,-2.3207
2006-01-31,1.5743
2006-02-28,1.7178
2006-03-31,2.3207
2006-04-28,2.3399
2006-05-31,1.5695
2006-06-30,2.3255
2006-07-31,-0.3397
2006-08-31,2.3542
2006-09-29,2.4452
2006-10-31,1.9284
2006-11-30,2.2873
2006-12-29,1.6365
2007-01-31,3.0098
2007-02-28,2.9907
2007-03-30,5.8904
2007-04-30,7.1201
2007-05-31,10.0582
2007-06-29,8.1537
2007-07-31,6.3450
2007-08-31,2.6031
2007-09-28,3.6606
2007-10-31,6.0956
2007-11-30,1.4312
2007-12-31,2.2610
2008-01-31,-1.2868
2008-02-29,-2.1959
2008-03-31,-2.4733
2008-04-30,-1.1375
2008-05-30,2.8889
2008-06-30,2.1361
2008-07-31,0.3300
2008-08-29,1.0400
2008-09-30,-2.2000
2008-10-31,-2.4900
2008-11-28,-7.7900
2008-12-31,-7.1100
2009-01-30,-11.3000
2009-02-27,-17.3200
2009-03-31,-18.7500
2009-04-30,-15.0800
2009-05-29,-15.3300
2009-06-30,-12.4300
2009-07-31,-5.2700
2009-08-31,-2.2700
2009-09-30,0.1900
2009-10-30,-3.1000
2009-11-30,-0.8000
2009-12-31,1.9300
2010-01-29,2.6700
2010-02-26,1.9700
2010-03-31,1.4700
2010-04-30,1.1600
2010-05-31,0
2010-06-30,-2.0000
2010-07-30,1.0500
2010-08-31,2.6500
2010-09-30,3.2100
2010-10-29,1.3500
2010-11-30,1.2800
2010-12-31,1.2200
2011-01-31,1.2800
2011-02-28,6.4400
2011-03-31,5.3400
2011-04-29,6.4800
2011-05-31,7.1300
2011-06-30,4.8500
2011-07-29,5.6600
2011-08-31,2.9600
2011-09-30,2.0400
2011-10-31,2.2100
2011-11-30,-1.8700
2011-12-30,-1.6800
