,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-0.8444
2000-09-29,-1.2927
2000-10-31,-1.2666
2000-11-30,-1.2404
2000-12-29,1.0284
2001-01-31,2.4799
2001-02-28,4.1467
2001-03-30,3.2458
2001-04-30,4.2235
2001-05-31,5.9038
2001-06-29,8.1819
2001-07-31,8.9773
2001-08-31,7.9810
2001-09-28,7.3038
2001-10-31,4.7040
2001-11-30,2.2435
2001-12-31,2.0113
2002-01-31,2.1109
2002-02-28,-1.1990
2002-03-29,0
2002-04-30,-2.7358
2002-05-31,-3.0819
2002-06-28,-2.1700
2002-07-31,-1.1737
2002-08-30,-1.7056
2002-09-30,-1.7478
2002-10-31,0.1351
2002-11-29,1.3594
2002-12-31,-0.0253
2003-01-31,0.3884
2003-02-28,-0.9412
2003-03-31,-1.4730
2003-04-30,3.0761
2003-05-30,3.9065
2003-06-30,4.0955
2003-07-31,4.6637
2003-08-29,1.3336
2003-09-30,0.1621
2003-10-31,0.4357
2003-11-28,3.2350
2003-12-31,3.2253
2004-01-30,3.2640
2004-02-27,4.4003
2004-03-31,3.4411
2004-04-30,4.6265
2004-05-31,0
2004-06-30,4.4855
2004-07-30,3.0558
2004-08-31,4.7902
2004-09-30,4.0515
2004-10-29,1.3682
2004-11-30,-0.2507
2004-12-31,-1.5711
2005-01-31,-1.9298
2005-02-28,-1.7827
2005-03-31,0.5111
2005-04-29,0.7288
2005-05-31,-1.9330
2005-06-30,-5.7261
2005-07-29,-5.2044
2005-08-31,-3.3252
2005-09-30,-2.8357
2005-10-31,-2.8593
2005-11-30,-2.2225
2005-12-30,-3.6712
2006-01-31,-2.7207
2006-02-28,-0.1467
2006-03-31,1.7415
2006-04-28,2.0577
2006-05-31,2.8953
2006-06-30,1.4289
2006-07-31,2.4210
2006-08-31,1.8914
2006-09-29,1.8694
2006-10-31,2.3439
2006-11-30,1.1348
2006-12-29,1.1807
2007-01-31,0.8851
2007-02-28,1.7710
2007-03-30,1.4737
2007-04-30,3.1649
2007-05-31,3.8779
2007-06-29,2.8976
2007-07-31,1.4235
2007-08-31,3.4141
2007-09-28,4.1502
2007-10-31,5.8641
2007-11-30,12.4013
2007-12-31,16.6440
2008-01-31,10.4208
2008-02-29,12.8044
2008-03-31,15.9209
2008-04-30,18.2686
2008-05-30,13.1728
2008-06-30,9.3030
2008-07-31,11.5223
2008-08-29,4.0761
2008-09-30,5.2813
2008-10-31,0.1657
2008-11-28,-0.3573
2008-12-31,-3.8524
2009-01-30,-9.2975
2009-02-27,-10.2701
2009-03-31,-8.4444
2009-04-30,-8.8732
2009-05-29,-7.1543
2009-06-30,-5.7559
2009-07-31,-7.6763
2009-08-31,-2.7508
2009-09-30,1.7165
2009-10-30,7.0417
2009-11-30,14.4395
2009-12-31,14.9252
2010-01-29,18.7078
2010-02-26,20.4660
2010-03-31,29.5919
2010-04-30,30.0754
2010-05-31,0
2010-06-30,25.3214
2010-07-30,17.1243
2010-08-31,15.7430
2010-09-30,21.9823
2010-10-29,21.4856
2010-11-30,10.7943
2010-12-31,11.9769
2011-01-31,11.3129
2011-02-28,12.8351
2011-03-31,18.4513
2011-04-29,28.6049
2011-05-31,24.2190
2011-06-30,21.3082
2011-07-29,21.5933
2011-08-31,31.4788
2011-09-30,27.9666
2011-10-31,21.1095
2011-11-30,22.2227
2011-12-30,20.3469
2012-01-31,6.8905
