,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,5.9445
2000-09-29,7.8679
2000-10-31,6.9746
2000-11-30,1.8139
2000-12-29,-3.7511
2001-01-31,-0.4305
2001-02-28,-5.3600
2001-03-30,-12.9958
2001-04-30,-12.7485
2001-05-31,-16.1318
2001-06-29,-16.5539
2001-07-31,-9.2335
2001-08-31,-14.0664
2001-09-28,-13.4656
2001-10-31,-10.9794
2001-11-30,-7.7088
2001-12-31,-1.0664
2002-01-31,-1.5408
2002-02-28,-5.3478
2002-03-29,0
2002-04-30,-2.8867
2002-05-31,-1.4798
2002-06-28,-0.6113
2002-07-31,-1.6998
2002-08-30,-5.0570
2002-09-30,-5.0964
2002-10-31,-4.4458
2002-11-29,-2.6057
2002-12-31,-2.8064
2003-01-31,-2.8950
2003-02-28,-3.1688
2003-03-31,-2.9871
2003-04-30,-1.6206
2003-05-30,0.8772
2003-06-30,0.5180
2003-07-31,1.2088
2003-08-29,0.8837
2003-09-30,0.7180
2003-10-31,1.1372
2003-11-28,2.9827
2003-12-31,3.1909
2004-01-30,3.1699
2004-02-27,2.4876
2004-03-31,0.2397
2004-04-30,-0.9793
2004-05-31,0
2004-06-30,-1.2789
2004-07-30,-3.6541
2004-08-31,-2.8755
2004-09-30,-1.4809
2004-10-29,-2.8844
2004-11-30,-1.3443
2004-12-31,0.3984
2005-01-31,0.5492
2005-02-28,0.3300
2005-03-31,1.1190
2005-04-29,1.5204
2005-05-31,2.1781
2005-06-30,1.4258
2005-07-29,3.9801
2005-08-31,2.3748
2005-09-30,2.0680
2005-10-31,3.2367
2005-11-30,3.4112
2005-12-30,3.1208
2006-01-31,3.6973
2006-02-28,4.1585
2006-03-31,4.5290
2006-04-28,4.1963
2006-05-31,2.2533
2006-06-30,1.2193
2006-07-31,2.2815
2006-08-31,0.3096
2006-09-29,2.2727
2006-10-31,2.6104
2006-11-30,2.1192
2006-12-29,1.4656
2007-01-31,1.1343
2007-02-28,0.6053
2007-03-30,3.0149
2007-04-30,3.3415
2007-05-31,5.3380
2007-06-29,3.0761
2007-07-31,3.2495
2007-08-31,2.1419
2007-09-28,2.8944
2007-10-31,3.8606
2007-11-30,4.8860
2007-12-31,7.1567
2008-01-31,3.5847
2008-02-29,0.8850
2008-03-31,-1.3150
2008-04-30,0.4682
2008-05-30,3.7015
2008-06-30,0.7298
2008-07-31,0.5767
2008-08-29,0.6584
2008-09-30,1.6911
2008-10-31,-2.2486
2008-11-28,-1.4096
2008-12-31,-2.4648
2009-01-30,-5.3424
2009-02-27,-7.9411
2009-03-31,-5.6466
2009-04-30,-0.4514
2009-05-29,-3.9657
2009-06-30,-5.2469
2009-07-31,-2.4382
2009-08-31,1.8674
2009-09-30,2.2411
2009-10-30,2.2328
2009-11-30,4.6295
2009-12-31,3.2319
2010-01-29,0.3562
2010-02-26,0.4968
2010-03-31,0.8835
2010-04-30,1.1869
2010-05-31,0
2010-06-30,-3.4611
2010-07-30,-3.4559
2010-08-31,-4.4039
2010-09-30,-3.1753
2010-10-29,-3.0928
2010-11-30,-2.2480
2010-12-31,-1.2812
2011-01-31,-0.6094
2011-02-28,1.4527
2011-03-31,2.1171
2011-04-29,3.4236
2011-05-31,3.1890
2011-06-30,2.3426
2011-07-29,0.8809
2011-08-31,-2.3125
2011-09-30,-4.6907
2011-10-31,-5.5769
2011-11-30,-6.3423
