,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,-14.5000
2000-09-29,-11.9050
2000-10-31,-10.1550
2000-11-30,-2.7800
2000-12-29,-0.5300
2001-01-31,6.2800
2001-02-28,7.2500
2001-03-30,2.2800
2001-04-30,12.4350
2001-05-31,13.7500
2001-06-29,5.6300
2001-07-31,8.5600
2001-08-31,5.1300
2001-09-28,-2.9450
2001-10-31,-1.5300
2001-11-30,2.7650
2001-12-31,2.0350
2002-01-31,0.0600
2002-02-28,-4.7350
2002-03-29,0
2002-04-30,-0.1750
2002-05-31,-1.6200
2002-06-28,5.6550
2002-07-31,0.2950
2002-08-30,-3.5950
2002-09-30,-8.2550
2002-10-31,-7.7550
2002-11-29,0.2650
2002-12-31,-3.4500
2003-01-31,-6.5950
2003-02-28,-5.8550
2003-03-31,-3.7700
2003-04-30,2.3000
2003-05-30,11.0900
2003-06-30,8.7150
2003-07-31,11.8400
2003-08-29,11.3800
2003-09-30,8.2350
2003-10-31,11.4050
2003-11-28,11.7100
2003-12-31,11.2700
2004-01-30,12.3350
2004-02-27,3.9050
2004-03-31,-2.1350
2004-04-30,-5.0755
2004-05-31,0
2004-06-30,-3.8350
2004-07-30,-2.9400
2004-08-31,-14.9100
2004-09-30,-18.5100
2004-10-29,-19.4600
2004-11-30,-17.6300
2004-12-31,-8.9200
2005-01-31,-12.1500
2005-02-28,-8.3300
2005-03-31,-12.0500
2005-04-29,-9.2200
2005-05-31,-1.9500
2005-06-30,0.0700
2005-07-29,2.2800
2005-08-31,1.9100
2005-09-30,0.1900
2005-10-31,1.4200
2005-11-30,0.8973
2005-12-30,1.8800
2006-01-31,5.1900
2006-02-28,5.0200
2006-03-31,3.8500
2006-04-28,3.9300
2006-05-31,3.1400
2006-06-30,0.0900
2006-07-31,-0.6700
2006-08-31,-0.0300
2006-09-29,-1.0500
2006-10-31,1.3600
2006-11-30,3.3300
2006-12-29,4.4900
2007-01-31,5.1400
2007-02-28,4.7400
2007-03-30,7.4600
2007-04-30,9.4400
2007-05-31,8.8700
2007-06-29,7.1400
2007-07-31,4.3000
2007-08-31,4.5200
2007-09-28,0.4300
2007-10-31,0.8100
2007-11-30,-1.7100
2007-12-31,-0.5800
2008-01-31,-5.4700
2008-02-29,-4.8600
2008-03-31,-4.1400
2008-04-30,-3.7600
2008-05-30,1.5300
2008-06-30,-2.5400
2008-07-31,-4.4600
2008-08-29,-2.8100
2008-09-30,-6.8300
2008-10-31,-5.1600
2008-11-28,-7.4600
2008-12-31,-3.4900
2009-01-30,-4.4100
2009-02-27,-5.8100
2009-03-31,-4.2600
2009-04-30,-2.1500
2009-05-29,-5.2700
2009-06-30,-1.1100
2009-07-31,1.7100
2009-08-31,4.8300
2009-09-30,4.6100
2009-10-30,3.5000
2009-11-30,2.9800
2009-12-31,2.9300
2010-01-29,0.5300
2010-02-26,1.1800
2010-03-31,3.0000
2010-04-30,3.2000
2010-05-31,0
2010-06-30,-1.5200
2010-07-30,-1.4100
2010-08-31,-0.3900
2010-09-30,3.9000
2010-10-29,3.3900
2010-11-30,4.4800
2010-12-31,4.1400
2011-01-31,4.0500
2011-02-28,5.3600
2011-03-31,5.3100
2011-04-29,5.6300
2011-05-31,5.7100
2011-06-30,1.4300
2011-07-29,-1.4100
2011-08-31,0.8600
2011-09-30,-2.4300
2011-10-31,0.0000
2011-11-30,-1.1900
