,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0.4825
2000-09-29,1.3857
2000-10-31,1.2237
2000-11-30,1.4887
2000-12-29,1.5827
2001-01-31,1.1327
2001-02-28,0.9763
2001-03-30,0.9259
2001-04-30,1.4941
2001-05-31,1.3005
2001-06-29,-0.1869
2001-07-31,-0.4546
2001-08-31,-0.4827
2001-09-28,-0.7666
2001-10-31,-0.6751
2001-11-30,-0.4636
2001-12-31,-0.2684
2002-01-31,-0.4341
2002-02-28,-0.9749
2002-03-29,0
2002-04-30,0.5108
2002-05-31,0.6667
2002-06-28,0.3552
2002-07-31,0.0221
2002-08-30,0.2228
2002-09-30,-0.0781
2002-10-31,0.2293
2002-11-29,0.4743
2002-12-31,0.3599
2003-01-31,-0.1389
2003-02-28,0.1202
2003-03-31,0.7048
2003-04-30,0.9511
2003-05-30,1.3540
2003-06-30,1.2198
2003-07-31,1.2389
2003-08-29,0.9779
2003-09-30,0.4951
2003-10-31,0.4454
2003-11-28,0.9817
2003-12-31,0.9213
2004-01-30,0.6397
2004-02-27,0.5887
2004-03-31,0.3788
2004-04-30,0.5219
2004-05-31,0
2004-06-30,0.9118
2004-07-30,1.1147
2004-08-31,1.0304
2004-09-30,1.4473
2004-10-29,1.5803
2004-11-30,1.9871
2004-12-31,2.0444
2005-01-31,1.8751
2005-02-28,2.3147
2005-03-31,2.8499
2005-04-29,2.2972
2005-05-31,2.9215
2005-06-30,3.3538
2005-07-29,3.2297
2005-08-31,3.7229
2005-09-30,5.0200
2005-10-31,3.9001
2005-11-30,3.2506
2005-12-30,2.0841
2006-01-31,3.4942
2006-02-28,2.1854
2006-03-31,0.6714
2006-04-28,1.3202
2006-05-31,-0.1347
2006-06-30,0.3127
2006-07-31,1.2335
2006-08-31,1.5068
2006-09-29,0.2125
2006-10-31,-0.1103
2006-11-30,1.8683
2006-12-29,1.5940
2007-01-31,1.5547
2007-02-28,0.6761
2007-03-30,2.7953
2007-04-30,2.4459
2007-05-31,2.5201
2007-06-29,3.1715
2007-07-31,2.9207
2007-08-31,2.3107
2007-09-28,2.4148
2007-10-31,4.8121
2007-11-30,3.6168
2007-12-31,3.0044
2008-01-31,1.1009
2008-02-29,1.5392
2008-03-31,0.7798
2008-04-30,1.8926
2008-05-30,4.0245
2008-06-30,5.4357
2008-07-31,-0.3583
2008-08-29,-0.1447
2008-09-30,-3.7610
2008-10-31,-4.0859
2008-11-28,-5.6698
2008-12-31,-6.3629
2009-01-30,-7.5084
2009-02-27,-9.5958
2009-03-31,-9.8160
2009-04-30,-9.4894
2009-05-29,-3.8652
2009-06-30,-4.2398
2009-07-31,1.8656
2009-08-31,1.7331
2009-09-30,1.6234
2009-10-30,2.1119
2009-11-30,1.3536
2009-12-31,3.2399
2010-01-29,2.8413
2010-02-26,2.0696
2010-03-31,2.2451
2010-04-30,4.3881
2010-05-31,0
2010-06-30,2.8525
2010-07-30,2.8169
2010-08-31,1.9853
2010-09-30,3.3691
2010-10-29,1.7701
2010-11-30,2.4719
2010-12-31,2.6117
2011-01-31,2.0760
2011-02-28,1.6773
2011-03-31,0.9410
2011-04-29,1.4166
2011-05-31,0.8465
2011-06-30,0.8478
2011-07-29,1.1477
2011-08-31,1.6334
2011-09-30,0.7325
2011-10-31,1.4546
2011-11-30,1.6977
2011-12-30,2.7973
2012-01-31,2.3467
2012-02-29,2.3970
