,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,-15.0630
2016-05-31,-18.1211
2016-06-30,-15.9410
2016-07-29,-9.2091
2016-08-31,0.9697
2016-09-30,5.2198
2016-10-31,8.6205
2016-11-30,16.4148
2016-12-30,10.5240
2017-01-31,13.3600
2017-02-28,10.4471
2017-03-31,12.4592
2017-04-28,12.7323
2017-05-31,9.4363
2017-06-30,10.1030
2017-07-31,10.7327
2017-08-31,7.7619
2017-09-29,5.8278
2017-10-31,9.5312
2017-11-30,8.4866
2017-12-29,10.3920
2018-01-31,15.3489
2018-02-28,11.6096
2018-03-30,0
2018-04-30,0.6231
2018-05-31,3.1253
2018-06-29,0.7909
2018-07-31,0.4443
2018-08-31,-2.0759
2018-09-28,-8.1565
2018-10-31,-22.1685
2018-11-30,-14.6217
2018-12-31,-24.4639
2019-01-31,-20.7909
2019-02-28,-19.9801
2019-03-29,-19.7950
2019-04-30,-16.2839
2019-05-31,-18.7517
2019-06-28,-15.6852
2019-07-31,-4.1658
2019-08-30,-8.4106
2019-09-30,-5.9430
2019-10-31,-1.3925
2019-11-29,3.1562
2019-12-31,5.6905
2020-01-31,3.2660
2020-02-28,-2.5180
2020-03-31,-6.2435
2020-04-30,-2.2581
2020-05-29,-5.3522
2020-06-30,-9.3151
2020-07-31,-8.0080
2020-08-31,-8.3183
2020-09-30,-4.9650
2020-10-30,-4.6494
2020-11-30,2.4064
2020-12-31,20.0527
2021-01-29,11.4322
2021-02-26,18.6302
2021-03-31,23.7902
2021-04-30,25.5961
2021-05-31,0
2021-06-30,19.0569
2021-07-30,11.6288
2021-08-31,13.4689
2021-09-30,7.2976
2021-10-29,1.8160
2021-11-30,0.2281
2021-12-31,-7.1361
2022-01-31,-7.6806
2022-02-28,-14.0344
2022-03-31,-7.4006
