,MOM_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0.4343
2007-08-31,-2.9468
2007-09-28,-1.7345
2007-10-31,0.2143
2007-11-30,0.0804
2007-12-31,1.8441
2008-01-31,-0.2699
2008-02-29,-0.1664
2008-03-31,-1.0427
2008-04-30,1.6336
2008-05-30,3.1621
2008-06-30,3.1512
2008-07-31,5.3882
2008-08-29,3.1244
2008-09-30,0.8602
2008-10-31,-4.0055
2008-11-28,-5.2555
2008-12-31,-4.9187
2009-01-30,-4.9805
2009-02-27,-8.5405
2009-03-31,-7.6775
2009-04-30,-5.2904
2009-05-29,-6.2363
2009-06-30,-6.0908
2009-07-31,-2.4395
2009-08-31,3.4690
2009-09-30,3.5379
2009-10-30,2.4061
2009-11-30,3.9563
2009-12-31,4.3670
2010-01-29,2.5601
2010-02-26,-0.8292
2010-03-31,0.1983
2010-04-30,0.6692
2010-05-31,0
2010-06-30,-2.6919
2010-07-30,-1.8873
2010-08-31,-2.3428
2010-09-30,-0.8725
2010-10-29,-1.4210
2010-11-30,0.8984
2010-12-31,1.3391
2011-01-31,2.2135
2011-02-28,3.5426
2011-03-31,3.2431
2011-04-29,3.7437
2011-05-31,3.2688
2011-06-30,2.1766
2011-07-29,1.3532
2011-08-31,-0.9448
2011-09-30,-2.0538
2011-10-31,-1.0748
2011-11-30,-2.5019
2011-12-30,-1.4283
2012-01-31,-1.0898
2012-02-29,-2.0553
2012-03-30,-1.3115
2012-04-30,-0.2319
2012-05-31,-0.3360
2012-06-29,0.6137
2012-07-31,0.8739
2012-08-31,0.5842
2012-09-28,0.7573
2012-10-31,-4.1047
2012-11-30,-3.3865
2012-12-31,-2.9134
2013-01-31,-2.1252
2013-02-28,-2.0720
2013-03-29,0
2013-04-30,-1.1659
2013-05-31,-0.6243
2013-06-28,-0.4198
2013-07-31,0.3149
2013-08-30,3.8214
2013-09-30,4.2890
