,MOM_daily_60
2000-01-31,0.0828
2000-02-29,-0.2165
2000-03-31,-0.2911
2000-04-28,-0.8224
2000-05-31,-0.6052
2000-06-30,-0.3096
2000-07-31,0.1360
2000-08-31,0.5453
2000-09-29,0.6281
2000-10-31,0.2076
2000-11-30,-0.2542
2000-12-29,0.0192
2001-01-31,0.3377
2001-02-28,0.9288
2001-03-30,0.6835
2001-04-30,0.6473
2001-05-31,0.8084
2001-06-29,1.1963
2001-07-31,0.5209
2001-08-31,-0.2098
2001-09-28,-0.8268
2001-10-31,0.1862
2001-11-30,-0.0277
2001-12-31,0.5376
2002-01-31,0.0347
2002-02-28,0.4112
2002-03-29,0
2002-04-30,0.6273
2002-05-31,0.3048
2002-06-28,0.0166
2002-07-31,-0.2915
2002-08-30,-0.1995
2002-09-30,-0.3658
2002-10-31,-0.8290
2002-11-29,-0.5198
2002-12-31,-0.5786
2003-01-31,-0.8002
2003-02-28,-0.7193
2003-03-31,-0.1186
2003-04-30,0.0720
2003-05-30,0.2771
2003-06-30,0.5436
2003-07-31,0.0006
2003-08-29,0.1635
2003-09-30,-0.2045
2003-10-31,0.6384
2003-11-28,0.3508
2003-12-31,0.8595
2004-01-30,0.5952
2004-02-27,0.8911
2004-03-31,0.8396
2004-04-30,0.7091
2004-05-31,0
2004-06-30,-0.1097
2004-07-30,-0.2095
2004-08-31,-0.4339
2004-09-30,-0.3317
2004-10-29,0.0249
2004-11-30,0.5187
2004-12-31,1.7282
2005-01-31,1.9202
2005-02-28,1.4663
2005-03-31,0.0258
2005-04-29,-1.0599
2005-05-31,-0.5071
2005-06-30,0.4190
2005-07-29,1.8188
2005-08-31,2.0083
2005-09-30,1.1039
2005-10-31,0.2150
2005-11-30,-1.7301
2005-12-30,-0.4788
2006-01-31,-1.0951
2006-02-28,-0.3591
2006-03-31,-0.1419
2006-04-28,-0.0044
2006-05-31,0.4079
2006-06-30,-0.9310
2006-07-31,-0.5054
2006-08-31,0.2571
2006-09-29,1.7113
2006-10-31,1.2901
2006-11-30,1.9152
2006-12-29,0.9310
2007-01-31,0.7537
2007-02-28,0.0621
2007-03-30,0.7891
2007-04-30,1.2946
2007-05-31,1.3832
2007-06-29,-0.2793
2007-07-31,-1.8443
2007-08-31,0.4566
2007-09-28,1.2591
2007-10-31,1.9463
2007-11-30,1.1261
2007-12-31,3.0857
2008-01-31,1.2502
2008-02-29,0.9975
2008-03-31,-0.4965
2008-04-30,0.5054
2008-05-30,2.8418
2008-06-30,2.9571
2008-07-31,3.7950
2008-08-29,-0.7448
2008-09-30,-0.5098
2008-10-31,-4.0566
2008-11-28,-4.2250
2008-12-31,-3.1211
2009-01-30,-2.7753
2009-02-27,-0.4433
2009-03-31,1.1882
2009-04-30,1.4187
2009-05-29,1.7822
2009-06-30,1.3478
2009-07-31,0.4256
2009-08-31,-1.0374
2009-09-30,0.5409
2009-10-30,-1.7290
2009-11-30,-0.1419
2009-12-31,-0.9753
2010-01-29,-0.1862
2010-02-26,-0.5436
2010-03-31,0.8127
2010-04-30,0.6856
2010-05-31,0
2010-06-30,-1.4203
2010-07-30,1.0158
2010-08-31,0.0674
2010-09-30,-0.1438
2010-10-29,-0.2607
2010-11-30,0.4764
2010-12-31,1.2046
2011-01-31,-0.1438
2011-02-28,-0.7641
2011-03-31,-1.2529
2011-04-29,-0.1237
2011-05-31,0.8105
2011-06-30,0.6479
2011-07-29,0.4745
2011-08-31,0.2555
2011-09-30,-0.1278
2011-10-31,1.7886
2011-11-30,0.8076
2011-12-30,0.1551
2012-01-31,-0.8669
2012-02-29,-0.4198
2012-03-30,0.8207
2012-04-30,0.8031
2012-05-31,0.1632
2012-06-29,-0.7591
2012-07-31,-0.3055
2012-08-31,-0.0185
2012-09-28,-0.7915
2012-10-31,-0.2175
2012-11-30,-0.2083
2012-12-31,-0.4536
2013-01-31,0.2225
2013-02-28,2.6289
2013-03-29,0
2013-04-30,3.2471
2013-05-31,-0.0270
2013-06-28,-0.2439
2013-07-31,2.9075
2013-08-30,1.5945
2013-09-30,1.8946
2013-10-31,-0.7785
2013-11-29,0.0375
2013-12-31,0.8910
2014-01-31,0.2720
2014-02-28,1.8946
2014-03-31,2.4035
2014-04-30,2.9437
2014-05-30,0.8777
2014-06-30,1.9503
2014-07-31,2.9065
2014-08-29,2.6793
2014-09-30,-1.7042
2014-10-31,-2.3195
2014-11-28,-2.0261
2014-12-31,-0.4639
2015-01-30,0.5633
2015-02-27,2.1491
2015-03-31,2.6770
2015-04-30,1.3145
2015-05-29,2.4506
2015-06-30,1.4729
2015-07-31,2.4772
2015-08-31,2.7354
2015-09-30,5.5856
2015-10-30,5.7865
2015-11-30,8.6654
2015-12-31,6.5038
2016-01-29,0.2391
2016-02-29,-6.5994
2016-03-31,-3.3535
2016-04-29,1.5579
2016-05-31,8.0222
2016-06-30,5.4283
2016-07-29,5.6694
2016-08-31,3.1239
2016-09-30,3.7699
2016-10-31,2.5165
2016-11-30,-6.6528
2016-12-30,-8.1184
2017-01-31,-2.3044
2017-02-28,8.2148
2017-03-31,12.3421
2017-04-28,11.6618
2017-05-31,10.7247
2017-06-30,8.1188
2017-07-31,8.4195
2017-08-31,4.8791
2017-09-29,7.6532
2017-10-31,2.8906
2017-11-30,-1.5520
2017-12-29,0.6693
2018-01-31,8.4195
2018-02-28,10.4080
2018-03-30,0
2018-04-30,-6.4582
2018-05-31,-2.5652
2018-06-29,9.5452
2018-07-31,3.4905
2018-08-31,-1.8037
2018-09-28,6.8249
2018-10-31,-1.1505
2018-11-30,-21.5278
2018-12-31,-35.5384
2019-01-31,-21.5278
2019-02-28,-10.1594
2019-03-29,-1.1017
2019-04-30,2.5270
2019-05-31,1.1335
2019-06-28,-0.4423
2019-07-31,0.5701
2019-08-30,6.4086
2019-09-30,4.6885
2019-10-31,7.7945
2019-11-29,0.2457
2019-12-31,3.9120
2020-01-31,2.7227
2020-02-28,3.8334
2020-03-31,0.7962
2020-04-30,4.8486
2020-05-29,9.7273
2020-06-30,16.1314
2020-07-31,9.6554
2020-08-31,13.9390
2020-09-30,2.4237
2020-10-30,-10.9910
2020-11-30,-0.8211
2020-12-31,14.3941
2021-01-29,14.4436
2021-02-26,15.9572
2021-03-31,3.0668
2021-04-30,-1.1246
2021-05-31,0
2021-06-30,-1.4009
2021-07-30,-6.4218
2021-08-31,-14.6629
2021-09-30,-15.8260
2021-10-29,-2.1174
2021-11-30,-22.4466
2021-12-31,-10.6964
2022-01-31,12.1876
2022-02-28,24.0769
2022-03-31,12.8337
