,MOM_daily_60
2000-01-31,-3.1291
2000-02-29,-4.1372
2000-03-31,-2.9678
2000-04-28,-1.9113
2000-05-31,1.9113
2000-06-30,-0.0484
2000-07-31,0.7581
2000-08-31,0.6049
2000-09-29,0.6049
2000-10-31,-0.7500
2000-11-30,-4.7396
2000-12-29,-1.9113
2001-01-31,1.1049
2001-02-28,5.6025
2001-03-30,-0.9194
2001-04-30,-1.2178
2001-05-31,0.6290
2001-06-29,2.6291
2001-07-31,1.4678
2001-08-31,-2.0000
2001-09-28,-3.8969
2001-10-31,-4.2201
2001-11-30,-0.6539
2001-12-31,2.1392
2002-01-31,2.3733
2002-02-28,2.5832
2002-03-29,0
2002-04-30,3.7294
2002-05-31,4.0362
2002-06-28,4.6093
2002-07-31,1.3804
2002-08-30,-0.7911
2002-09-30,-2.1069
2002-10-31,0.2825
2002-11-29,-3.5357
2002-12-31,-0.3148
2003-01-31,-2.8980
2003-02-28,-1.0494
2003-03-31,-1.9939
2003-04-30,0.5974
2003-05-30,2.0988
2003-06-30,2.5186
2003-07-31,2.0019
2003-08-29,3.2289
2003-09-30,0.4924
2003-10-31,-0.2099
2003-11-28,-2.8092
2003-12-31,-1.6710
2004-01-30,-0.5974
2004-02-27,0.1130
2004-03-31,0.6781
2004-04-30,-0.0565
2004-05-31,0
2004-06-30,-0.2422
2004-07-30,-1.5418
2004-08-31,-2.2683
2004-09-30,-1.3804
2004-10-29,0.7911
2004-11-30,-0.6216
2004-12-31,-0.0161
2005-01-31,-0.5166
2005-02-28,-0.1211
2005-03-31,0.2099
2005-04-29,-1.5418
2005-05-31,0.5328
2005-06-30,1.3239
2005-07-29,1.7921
2005-08-31,-0.8880
2005-09-30,-0.2422
2005-10-31,-0.5166
2005-11-30,0.6216
2005-12-30,1.1301
2006-01-31,1.2270
2006-02-28,0.3390
2006-03-31,1.4288
2006-04-28,0.8395
2006-05-31,2.6235
2006-06-30,2.2764
2006-07-31,1.2835
2006-08-31,1.7436
2006-09-29,2.4136
2006-10-31,3.0110
2006-11-30,3.2289
2006-12-29,1.9858
2007-01-31,4.2945
2007-02-28,2.0907
2007-03-30,6.8131
2007-04-30,4.9241
2007-05-31,5.9816
2007-06-29,-3.3016
2007-07-31,-5.5619
2007-08-31,-0.1857
2007-09-28,-0.1695
2007-10-31,-2.1472
2007-11-30,-8.2580
2007-12-31,-11.2609
2008-01-31,-4.7869
2008-02-29,-0.5812
2008-03-31,5.4569
2008-04-30,8.7989
2008-05-30,7.9351
2008-06-30,6.4579
2008-07-31,2.0665
2008-08-29,-2.2845
2008-09-30,-3.5196
2008-10-31,-5.5538
2008-11-28,-10.2519
2008-12-31,-9.8241
2009-01-30,-8.1934
2009-02-27,-0.0242
2009-03-31,5.0452
2009-04-30,11.0430
2009-05-29,4.7304
2009-06-30,-1.0656
2009-07-31,-3.1967
2009-08-31,1.3723
2009-09-30,4.2218
2009-10-30,0.9364
2009-11-30,-1.3642
2009-12-31,2.0665
2010-01-29,2.5670
2010-02-26,8.4275
2010-03-31,6.0220
2010-04-30,7.2571
2010-05-31,0
2010-06-30,-4.3106
2010-07-30,-2.5589
2010-08-31,-1.2351
2010-09-30,-0.1211
2010-10-29,-0.6539
2010-11-30,-2.0181
2010-12-31,-1.8647
2011-01-31,0.3067
2011-02-28,8.0885
2011-03-31,10.2438
2011-04-29,7.5073
2011-05-31,-6.1269
2011-06-30,-8.7908
2011-07-29,-4.6658
2011-08-31,1.2512
2011-09-30,0.1130
2011-10-31,4.8111
2011-11-30,6.6436
2011-12-30,3.3420
2012-01-31,1.1059
2012-02-29,3.3258
2012-03-30,3.5680
2012-04-30,-4.9887
2012-05-31,-6.1673
2012-06-29,-2.5347
2012-07-31,3.2128
2012-08-31,-5.9170
2012-09-28,-8.9765
2012-10-31,-9.9936
2012-11-30,-1.9454
2012-12-31,-0.9606
2013-01-31,1.5015
2013-02-28,4.1492
2013-03-29,0
2013-04-30,3.2935
2013-05-31,-1.5499
2013-06-28,-3.0836
2013-07-31,-0.9687
2013-08-30,1.5903
2013-09-30,3.3258
2013-10-31,0.2906
2013-11-29,2.6962
2013-12-31,-3.4388
2014-01-31,-8.1369
2014-02-28,-7.3620
2014-03-31,4.7062
2014-04-30,11.1237
2014-05-30,10.6071
2014-06-30,6.0220
2014-07-31,3.8454
2014-08-29,2.1500
2014-09-30,-1.8645
2014-10-31,1.3517
2014-11-28,4.1057
2014-12-31,-3.0333
2015-01-30,0.4027
2015-02-27,0.2788
2015-03-31,7.2862
2015-04-30,-1.1906
