,MOM_daily_60
2000-01-31,-1.2746
2000-02-29,-2.4138
2000-03-31,-1.3507
2000-04-28,-0.4269
2000-05-31,2.5572
2000-06-30,0.0711
2000-07-31,-0.0406
2000-08-31,-1.2182
2000-09-29,-0.4124
2000-10-31,0.3432
2000-11-30,2.6040
2000-12-29,2.3286
2001-01-31,0.7245
2001-02-28,-2.0858
2001-03-30,-2.0685
2001-04-30,-1.2475
2001-05-31,0.7243
2001-06-29,0.3911
2001-07-31,0.1796
2001-08-31,1.0679
2001-09-28,1.1805
2001-10-31,0.7859
2001-11-30,0.0794
2001-12-31,0.4495
2002-01-31,0.4119
2002-02-28,0.2585
2002-03-29,0
2002-04-30,-0.0315
2002-05-31,0.6089
2002-06-28,0.8961
2002-07-31,0.3479
2002-08-30,0.9051
2002-09-30,-0.6392
2002-10-31,-0.1534
2002-11-29,-0.4258
2002-12-31,0.2992
2003-01-31,0.1158
2003-02-28,-0.4131
2003-03-31,-2.1688
2003-04-30,-1.3688
2003-05-30,0.9608
2003-06-30,1.2565
2003-07-31,0.4314
2003-08-29,-1.0834
2003-09-30,-0.8547
2003-10-31,0.5994
2003-11-28,1.2180
2003-12-31,1.8549
2004-01-30,0.8897
2004-02-27,1.1956
2004-03-31,0.3224
2004-04-30,1.4022
2004-05-31,0
2004-06-30,-0.0630
2004-07-30,-1.2735
2004-08-31,-0.6168
2004-09-30,-0.4377
2004-10-29,0.2067
2004-11-30,0.0833
2004-12-31,1.5496
2005-01-31,1.3010
2005-02-28,0.1693
2005-03-31,-0.8622
2005-04-29,-0.8960
2005-05-31,-0.8054
2005-06-30,-1.5878
2005-07-29,-1.9167
2005-08-31,-0.6186
2005-09-30,1.0617
2005-10-31,0.5957
2005-11-30,-0.6584
2005-12-30,-1.7506
2006-01-31,-1.0541
2006-02-28,-0.0871
2006-03-31,0.5314
2006-04-28,0.8759
2006-05-31,0.9175
2006-06-30,0.2450
2006-07-31,-0.5576
2006-08-31,0.7378
2006-09-29,1.2615
2006-10-31,2.0702
2006-11-30,1.0935
2006-12-29,1.1735
2007-01-31,-0.0357
2007-02-28,-0.2662
2007-03-30,-0.9155
2007-04-30,-0.5184
2007-05-31,0.5264
2007-06-29,1.0591
2007-07-31,0.4158
2007-08-31,0.4267
2007-09-28,-0.4760
2007-10-31,-1.2319
2007-11-30,-0.1751
2007-12-31,-0.7058
2008-01-31,-0.7607
2008-02-29,-1.1752
2008-03-31,0.4329
2008-04-30,0.9228
2008-05-30,0.8684
2008-06-30,-2.5558
2008-07-31,-0.7841
2008-08-29,-1.2702
2008-09-30,-0.0000
2008-10-31,-1.8879
2008-11-28,-2.2703
2008-12-31,-1.4549
2009-01-30,-0.2536
2009-02-27,0.5805
2009-03-31,0.1270
2009-04-30,0.0093
2009-05-29,1.8149
2009-06-30,1.1126
2009-07-31,1.1073
2009-08-31,0.4618
2009-09-30,1.5127
2009-10-30,0.8397
2009-11-30,1.2499
2009-12-31,1.0232
2010-01-29,1.0855
2010-02-26,1.3160
2010-03-31,1.1546
2010-04-30,0.9193
2010-05-31,0
2010-06-30,-0.8071
2010-07-30,-0.4433
2010-08-31,-1.2010
2010-09-30,-0.8222
2010-10-29,0.0004
2010-11-30,-0.1574
2010-12-31,0.4249
2011-01-31,0.1617
2011-02-28,0.7923
2011-03-31,0.7406
2011-04-29,1.1874
2011-05-31,1.3922
2011-06-30,1.2389
2011-07-29,0.1839
2011-08-31,0.1724
2011-09-30,-1.0155
2011-10-31,0.6380
2011-11-30,0.9031
2011-12-30,1.2537
2012-01-31,0.9463
2012-02-29,0.7332
2012-03-30,-0.0080
