,MOM_daily_60
2000-01-31,-3.8398
2000-02-29,-3.3701
2000-03-31,-2.7910
2000-04-28,-1.0165
2000-05-31,0.4718
2000-06-30,-2.2964
2000-07-31,-1.0011
2000-08-31,-0.4788
2000-09-29,-0.9892
2000-10-31,-0.3477
2000-11-30,0.3020
2000-12-29,3.5957
2001-01-31,2.7934
2001-02-28,0.7516
2001-03-30,-0.5028
2001-04-30,1.7952
2001-05-31,2.8929
2001-06-29,1.9765
2001-07-31,1.4271
2001-08-31,-1.3493
2001-09-28,-1.6147
2001-10-31,-2.5987
2001-11-30,-0.6494
2001-12-31,1.5237
2002-01-31,1.4506
2002-02-28,2.4980
2002-03-29,0
2002-04-30,1.3190
2002-05-31,-1.9027
2002-06-28,-1.8230
2002-07-31,-2.1884
2002-08-30,-1.8657
2002-09-30,-3.1974
2002-10-31,-0.4951
2002-11-29,2.3385
2002-12-31,3.0406
2003-01-31,0.4387
2003-02-28,-0.5681
2003-03-31,0.5506
2003-04-30,2.6622
2003-05-30,2.1018
2003-06-30,1.2959
2003-07-31,4.2912
2003-08-29,5.4959
2003-09-30,3.9426
2003-10-31,2.0070
2003-11-28,1.6522
2003-12-31,2.9164
2004-01-30,1.3768
2004-02-27,-0.2189
2004-03-31,-1.7042
2004-04-30,0.6786
2004-05-31,0
2004-06-30,-0.4407
2004-07-30,-1.6106
2004-08-31,-0.7584
2004-09-30,1.0587
2004-10-29,3.5798
2004-11-30,5.8285
2004-12-31,5.3716
2005-01-31,1.6632
2005-02-28,0.8946
2005-03-31,-1.0227
2005-04-29,-0.8146
2005-05-31,-1.7263
2005-06-30,1.3874
2005-07-29,6.0498
2005-08-31,5.4306
2005-09-30,6.6243
2005-10-31,-0.4994
2005-11-30,-0.2975
2005-12-30,1.1685
2006-01-31,9.3548
2006-02-28,10.0723
2006-03-31,8.2862
2006-04-28,4.3730
2006-05-31,-0.0234
2006-06-30,-0.7012
2006-07-31,-4.9668
2006-08-31,-0.0673
2006-09-29,-4.9225
2006-10-31,-7.9758
2006-11-30,-4.4631
2006-12-29,-2.5767
2007-01-31,2.5535
2007-02-28,1.7671
2007-03-30,4.0726
2007-04-30,5.2418
2007-05-31,10.0935
2007-06-29,7.3621
2007-07-31,3.9938
2007-08-31,-0.8106
2007-09-28,0.8396
2007-10-31,-3.6481
2007-11-30,-2.3393
2007-12-31,-3.8207
2008-01-31,-2.2460
2008-02-29,0.4590
2008-03-31,5.4206
2008-04-30,7.5985
2008-05-30,7.5068
2008-06-30,-2.4680
2008-07-31,-8.9827
2008-08-29,-7.8233
2008-09-30,-7.3339
2008-10-31,-20.6135
2008-11-28,-15.3108
2008-12-31,-2.7759
2009-01-30,-5.3713
2009-02-27,-8.0302
2009-03-31,-12.7932
2009-04-30,4.1917
2009-05-29,7.2616
2009-06-30,0.9110
2009-07-31,3.2310
2009-08-31,5.1937
2009-09-30,15.2156
2009-10-30,5.9089
2009-11-30,9.7852
2009-12-31,4.0495
2010-01-29,-2.0652
2010-02-26,-0.6739
2010-03-31,3.3924
2010-04-30,10.9015
2010-05-31,0
2010-06-30,-3.4933
2010-07-30,3.0971
2010-08-31,7.0924
2010-09-30,12.3603
2010-10-29,5.1694
2010-11-30,10.9486
2010-12-31,11.0293
2011-01-31,12.9056
2011-02-28,11.7138
2011-03-31,13.3283
2011-04-29,12.3858
2011-05-31,2.3533
2011-06-30,-3.9966
2011-07-29,-8.5617
2011-08-31,-6.2901
2011-09-30,-27.7589
2011-10-31,2.9649
2011-11-30,9.4581
2011-12-30,12.5231
2012-01-31,11.7140
2012-02-29,13.3838
2012-03-30,9.0801
2012-04-30,-5.3487
2012-05-31,-13.4734
2012-06-29,-15.7660
2012-07-31,-10.3358
2012-08-31,-0.9599
2012-09-28,-0.1568
2012-10-31,0.2271
2012-11-30,2.3473
2012-12-31,3.9481
2013-01-31,10.0603
2013-02-28,5.8557
2013-03-29,0
2013-04-30,-10.9647
2013-05-31,-2.5240
2013-06-28,-1.2344
2013-07-31,-3.1698
2013-08-30,-0.6822
2013-09-30,1.4256
2013-10-31,1.1777
2013-11-29,1.7450
2013-12-31,5.6407
2014-01-31,8.3362
2014-02-28,10.4688
2014-03-31,7.9564
2014-04-30,10.7281
2014-05-30,5.0947
2014-06-30,5.3295
2014-07-31,-1.9633
2014-08-29,2.2304
2014-09-30,-8.3300
2014-10-31,0.1848
2014-11-28,-5.9632
2014-12-31,-4.6196
2015-01-30,-15.7638
2015-02-27,-12.4041
2015-03-31,-9.0027
2015-04-30,2.9873
2015-05-29,3.4881
2015-06-30,3.2737
2015-07-31,-6.2492
2015-08-31,-7.2885
2015-09-30,-14.7526
2015-10-30,-3.0365
2015-11-30,-0.8347
2015-12-31,-1.7521
2016-01-29,-9.4323
2016-02-29,-2.4953
2016-03-31,7.9589
2016-04-29,12.8606
2016-05-31,0.3211
2016-06-30,1.1263
2016-07-29,7.9557
2016-08-31,5.0633
2016-09-30,12.4448
2016-10-31,1.4153
2016-11-30,12.3520
2016-12-30,3.5724
2017-01-31,13.3400
2017-02-28,1.6502
2017-03-31,-0.0389
2017-04-28,6.9988
2017-05-31,9.3187
2017-06-30,12.3583
2017-07-31,13.6045
2017-08-31,13.1145
2017-09-29,16.8914
2017-10-31,19.4968
2017-11-30,22.2676
2017-12-29,28.2935
2018-01-31,24.2332
2018-02-28,12.7080
2018-03-30,0
2018-04-30,-15.4273
2018-05-31,-0.9599
2018-06-29,-10.5902
2018-07-31,-1.5221
2018-08-31,-14.9978
2018-09-28,15.9357
2018-10-31,-18.4407
2018-11-30,-4.5603
2018-12-31,-27.5880
2019-01-31,8.5165
2019-02-28,7.3041
2019-03-29,9.1253
2019-04-30,8.6144
2019-05-31,-13.1813
2019-06-28,-1.9838
2019-07-31,-3.7965
2019-08-30,-3.2362
2019-09-30,-7.6263
2019-10-31,16.9149
2019-11-29,21.3755
2019-12-31,25.9749
2020-01-31,-13.7985
2020-02-28,-16.8111
2020-03-31,-29.7458
2020-04-30,-15.2645
2020-05-29,-5.8843
2020-06-30,12.2788
2020-07-31,25.0708
2020-08-31,7.9017
2020-09-30,22.0696
2020-10-30,22.7631
2020-11-30,26.8793
2020-12-31,30.4562
