,MOM_daily_60
2000-01-31,1.3155
2000-02-29,2.7021
2000-03-31,-0.0542
2000-04-28,1.2842
2000-05-31,-0.6567
2000-06-30,1.7328
2000-07-31,2.6315
2000-08-31,2.4468
2000-09-29,1.6044
2000-10-31,-0.5601
2000-11-30,-0.2656
2000-12-29,1.3690
2001-01-31,0.6770
2001-02-28,0.5493
2001-03-30,-1.5400
2001-04-30,-0.3057
2001-05-31,-0.1473
2001-06-29,0.8735
2001-07-31,0.8991
2001-08-31,0.6568
2001-09-28,0.3136
2001-10-31,-1.2614
2001-11-30,-1.0898
2001-12-31,0.1652
2002-01-31,1.1812
2002-02-28,0.4703
2002-03-29,0
2002-04-30,0.2135
2002-05-31,1.1252
2002-06-28,0.2065
2002-07-31,-1.0482
2002-08-30,-1.7822
2002-09-30,-1.9448
2002-10-31,0.2357
2002-11-29,1.4855
2002-12-31,1.2955
2003-01-31,-0.8112
2003-02-28,0.0514
2003-03-31,0.3474
2003-04-30,3.0006
2003-05-30,2.0105
2003-06-30,0.7346
2003-07-31,-0.2817
2003-08-29,0.3654
2003-09-30,0.5449
2003-10-31,1.0926
2003-11-28,0.1116
2003-12-31,-0.2484
2004-01-30,-0.8133
2004-02-27,-0.4279
2004-03-31,1.0033
2004-04-30,0.3767
2004-05-31,0
2004-06-30,0.9335
2004-07-30,1.0332
2004-08-31,0.3518
2004-09-30,0.2111
2004-10-29,3.9587
2004-11-30,3.6695
2004-12-31,2.8801
2005-01-31,-0.6521
2005-02-28,0.1097
2005-03-31,-1.1460
2005-04-29,0.0252
2005-05-31,1.0849
2005-06-30,2.6669
2005-07-29,2.9336
2005-08-31,1.9040
2005-09-30,2.1637
2005-10-31,3.8944
2005-11-30,6.5925
2005-12-30,4.1212
2006-01-31,2.7566
2006-02-28,3.1878
2006-03-31,7.9960
2006-04-28,3.3851
2006-05-31,-0.5153
2006-06-30,1.4479
2006-07-31,-1.6683
2006-08-31,1.3316
2006-09-29,-6.0001
2006-10-31,-3.3071
2006-11-30,0.5126
2006-12-29,-2.8432
2007-01-31,8.6223
2007-02-28,5.0130
2007-03-30,3.5676
2007-04-30,0.7614
2007-05-31,2.8367
2007-06-29,2.6939
2007-07-31,-4.7223
2007-08-31,-1.6500
2007-09-28,1.8164
2007-10-31,0.4396
2007-11-30,1.0405
