,MOM_daily_60
2000-01-31,2.1456
2000-02-29,1.0453
2000-03-31,1.1124
2000-04-28,1.5383
2000-05-31,2.8244
2000-06-30,0.9295
2000-07-31,0.9879
2000-08-31,-1.4249
2000-09-29,-1.3313
2000-10-31,-0.1122
2000-11-30,-0.5097
2000-12-29,3.1960
2001-01-31,1.6527
2001-02-28,4.0976
2001-03-30,3.6613
2001-04-30,2.8428
2001-05-31,1.2498
2001-06-29,3.0317
2001-07-31,3.1134
2001-08-31,1.6983
2001-09-28,-1.9136
2001-10-31,-0.1472
2001-11-30,-2.4778
2001-12-31,0.6979
2002-01-31,-0.8346
2002-02-28,1.5895
2002-03-29,0
2002-04-30,2.7997
2002-05-31,0.4421
2002-06-28,-0.2483
2002-07-31,-5.2353
2002-08-30,-3.2306
2002-09-30,4.8918
2002-10-31,4.9213
2002-11-29,2.9252
2002-12-31,-2.1440
2003-01-31,-0.7275
2003-02-28,0.4508
2003-03-31,4.1535
2003-04-30,1.6634
2003-05-30,5.0885
2003-06-30,4.3802
2003-07-31,6.5753
2003-08-29,3.0043
2003-09-30,4.9846
2003-10-31,10.4027
2003-11-28,1.2511
2003-12-31,6.9169
2004-01-30,4.2974
2004-02-27,1.1247
2004-03-31,7.4918
2004-04-30,6.8707
2004-05-31,0
2004-06-30,9.1020
2004-07-30,3.7868
2004-08-31,2.6623
2004-09-30,7.5352
2004-10-29,10.5532
2004-11-30,3.6295
2004-12-31,-0.0683
2005-01-31,4.9644
2005-02-28,12.1667
2005-03-31,2.3878
2005-04-29,-10.3111
2005-05-31,-16.6754
2005-06-30,-13.4297
2005-07-29,9.8506
2005-08-31,4.1079
2005-09-30,14.0379
2005-10-31,0.5824
2005-11-30,-14.3538
2005-12-30,-23.7790
2006-01-31,-15.4248
2006-02-28,-2.2674
2006-03-31,1.1953
2006-04-28,0.1185
2006-05-31,-5.0576
2006-06-30,-8.3485
2006-07-31,-8.4671
2006-08-31,3.6867
2006-09-29,9.6176
2006-10-31,14.8367
2006-11-30,4.2899
2006-12-29,-8.2042
2007-01-31,-9.7836
2007-02-28,-7.9364
2007-03-30,4.7774
2007-04-30,2.7695
2007-05-31,9.7230
2007-06-29,4.5498
2007-07-31,-1.7724
2007-08-31,-4.3350
2007-09-28,-2.0684
2007-10-31,-12.4402
2007-11-30,-6.5912
2007-12-31,-12.2334
2008-01-31,-4.2853
