,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,3.7629
2001-04-30,6.9831
2001-05-31,5.8741
2001-06-29,1.1685
2001-07-31,-4.8598
2001-08-31,-2.7760
2001-09-28,-2.0698
2001-10-31,-0.1068
2001-11-30,-2.4912
2001-12-31,-2.5343
2002-01-31,-2.4704
2002-02-28,0.0874
2002-03-29,0
2002-04-30,3.8039
2002-05-31,-0.9808
2002-06-28,-0.8396
2002-07-31,-2.7315
2002-08-30,-3.4935
2002-09-30,-4.7553
2002-10-31,-2.3711
2002-11-29,0.0584
2002-12-31,2.0712
2003-01-31,2.0675
2003-02-28,0.2972
2003-03-31,1.8082
2003-04-30,2.2623
2003-05-30,2.4883
2003-06-30,-0.5355
2003-07-31,0.6501
2003-08-29,0.3361
2003-09-30,1.2082
2003-10-31,1.4381
2003-11-28,-0.0003
2003-12-31,0.1601
2004-01-30,0.0559
2004-02-27,1.8500
2004-03-31,-0.4636
2004-04-30,0.4048
2004-05-31,0
2004-06-30,4.1741
2004-07-30,2.6988
2004-08-31,0.9852
2004-09-30,-0.8778
2004-10-29,1.6163
2004-11-30,3.6352
2004-12-31,4.0760
2005-01-31,3.3088
2005-02-28,4.3537
2005-03-31,1.0266
2005-04-29,-0.9288
2005-05-31,-1.6461
2005-06-30,0.4008
2005-07-29,4.4548
2005-08-31,0.4209
2005-09-30,2.1859
2005-10-31,-0.0871
2005-11-30,5.0602
2005-12-30,7.1475
2006-01-31,8.6155
2006-02-28,5.0739
2006-03-31,3.3520
2006-04-28,2.2797
2006-05-31,2.3480
2006-06-30,2.1079
2006-07-31,-2.2688
2006-08-31,0.4456
2006-09-29,-6.6026
2006-10-31,-4.6867
2006-11-30,1.4102
2006-12-29,1.9264
2007-01-31,1.6999
2007-02-28,-0.2959
2007-03-30,3.8097
2007-04-30,4.1177
2007-05-31,6.1028
2007-06-29,8.1935
2007-07-31,7.0543
2007-08-31,11.1717
2007-09-28,12.6832
2007-10-31,17.2375
2007-11-30,5.9863
2007-12-31,-1.9086
2008-01-31,-11.5065
2008-02-29,-3.7882
2008-03-31,-1.2490
2008-04-30,12.4728
2008-05-30,18.5255
2008-06-30,13.9844
2008-07-31,0.1753
2008-08-29,-12.0432
2008-09-30,-26.6623
2008-10-31,-30.9780
2008-11-28,-16.8636
2008-12-31,-0.5238
2009-01-30,1.3247
2009-02-27,-6.9358
2009-03-31,-11.1132
2009-04-30,-0.5775
2009-05-29,11.8403
2009-06-30,11.8431
2009-07-31,9.4310
2009-08-31,0.0000
2009-09-30,3.9330
2009-10-30,-9.7126
2009-11-30,-8.4710
2009-12-31,-2.3837
2010-01-29,0.8510
2010-02-26,0.3778
2010-03-31,0.5399
2010-04-30,5.2715
2010-05-31,0
2010-06-30,-6.2780
2010-07-30,-2.0384
2010-08-31,1.7293
2010-09-30,4.5061
2010-10-29,-0.4623
2010-11-30,8.4981
2010-12-31,12.3167
2011-01-31,16.9744
2011-02-28,9.4620
2011-03-31,7.9502
2011-04-29,0.5038
2011-05-31,-2.0509
2011-06-30,-7.5639
2011-07-29,-2.1971
2011-08-31,-2.2232
2011-09-30,-17.3831
2011-10-31,-0.1234
2011-11-30,-2.5478
2011-12-30,0.4971
2012-01-31,0.6819
