,MOM_daily_60
2000-01-31,-0.1501
2000-02-29,0.0463
2000-03-31,0.4414
2000-04-28,0.6240
2000-05-31,0.3722
2000-06-30,0.2648
2000-07-31,0.0740
2000-08-31,0.1805
2000-09-29,0.0082
2000-10-31,-0.5485
2000-11-30,0.1164
2000-12-29,0.6757
2001-01-31,1.1938
2001-02-28,0.1897
2001-03-30,-0.2177
2001-04-30,-0.1594
2001-05-31,0.5675
2001-06-29,0.7003
2001-07-31,0.0671
2001-08-31,0.1521
2001-09-28,-0.3934
2001-10-31,0.1513
2001-11-30,0.3255
2001-12-31,0.5415
2002-01-31,0.6207
2002-02-28,0.4331
2002-03-29,0
2002-04-30,0.8512
2002-05-31,0.7031
2002-06-28,1.0101
2002-07-31,0.3211
2002-08-30,0.4401
2002-09-30,0.4071
2002-10-31,0.0237
2002-11-29,0.0682
2002-12-31,0.6733
2003-01-31,0.1738
2003-02-28,0.4354
2003-03-31,0.4029
2003-04-30,1.1102
2003-05-30,1.1529
2003-06-30,1.1912
2003-07-31,1.9150
2003-08-29,1.5567
2003-09-30,0.9829
2003-10-31,1.7510
2003-11-28,1.5975
2003-12-31,1.5065
2004-01-30,2.1436
2004-02-27,2.3205
2004-03-31,3.8809
2004-04-30,-1.0157
2004-05-31,0
2004-06-30,-2.0443
2004-07-30,1.7294
2004-08-31,0.6768
2004-09-30,-0.0481
2004-10-29,1.3450
2004-11-30,2.2218
2004-12-31,2.3347
2005-01-31,-0.8017
2005-02-28,0.1209
2005-03-31,-0.4266
2005-04-29,3.4043
2005-05-31,1.9084
2005-06-30,3.8958
2005-07-29,4.4134
2005-08-31,2.7461
2005-09-30,1.4040
2005-10-31,-0.5262
2005-11-30,-0.4989
2005-12-30,2.3727
2006-01-31,5.9204
2006-02-28,2.7331
2006-03-31,0.1793
2006-04-28,-2.4739
2006-05-31,-3.1551
2006-06-30,-0.7573
2006-07-31,0.1868
2006-08-31,0.1416
2006-09-29,1.2286
2006-10-31,3.7323
2006-11-30,5.2069
2006-12-29,1.9875
2007-01-31,5.9323
2007-02-28,5.9965
2007-03-30,7.2244
2007-04-30,1.8291
2007-05-31,-1.3557
2007-06-29,-5.8343
2007-07-31,-7.6661
2007-08-31,-2.5907
2007-09-28,-0.2642
2007-10-31,3.5779
2007-11-30,-1.4822
2007-12-31,-7.7918
2008-01-31,-8.3254
2008-02-29,-6.4239
2008-03-31,-1.0520
2008-04-30,1.2473
2008-05-30,3.6375
2008-06-30,-3.9374
2008-07-31,-9.1599
2008-08-29,-9.3474
2008-09-30,-9.5534
2008-10-31,-13.9457
2008-11-28,-14.5055
2008-12-31,-3.8882
2009-01-30,-1.8538
2009-02-27,-0.3310
2009-03-31,-0.4273
2009-04-30,-0.0722
2009-05-29,0.9690
2009-06-30,0.6681
2009-07-31,0.6681
2009-08-31,-0.1745
2009-09-30,1.8358
2009-10-30,1.1677
2009-11-30,2.3654
2009-12-31,4.1786
2010-01-29,3.3493
2010-02-26,4.0637
2010-03-31,2.7967
2010-04-30,3.4974
2010-05-31,0
2010-06-30,-1.8340
2010-07-30,-1.6147
2010-08-31,0.4996
2010-09-30,1.4501
2010-10-29,1.5294
2010-11-30,3.2652
2010-12-31,2.2217
2011-01-31,1.0077
2011-02-28,0.2774
2011-03-31,0.1163
2011-04-29,1.5283
2011-05-31,1.1318
2011-06-30,1.1949
2011-07-29,0.6259
2011-08-31,-1.8943
2011-09-30,-4.0478
2011-10-31,0.7975
2011-11-30,1.3433
2011-12-30,2.9845
2012-01-31,1.4750
2012-02-29,2.2960
2012-03-30,2.0702
2012-04-30,1.5213
2012-05-31,0.3031
2012-06-29,1.2686
2012-07-31,0.2646
2012-08-31,3.2524
2012-09-28,1.0624
2012-10-31,0.8139
2012-11-30,-1.0612
2012-12-31,0.8138
2013-01-31,0.2388
2013-02-28,-0.1048
2013-03-29,0
2013-04-30,2.4049
2013-05-31,0.4244
2013-06-28,-0.3584
2013-07-31,-2.0839
2013-08-30,-1.1387
2013-09-30,-0.5395
2013-10-31,0.7534
2013-11-29,1.8615
2013-12-31,0.4139
2014-01-31,-0.9671
2014-02-28,1.4249
2014-03-31,1.6841
2014-04-30,2.8579
2014-05-30,1.4022
2014-06-30,1.5038
2014-07-31,0.4298
2014-08-29,0.3671
2014-09-30,-0.0536
2014-10-31,2.5289
2014-11-28,2.0899
2014-12-31,4.3326
2015-01-30,3.4781
2015-02-27,2.0607
2015-03-31,0.8819
2015-04-30,-2.6181
2015-05-29,-0.4527
2015-06-30,-4.0469
2015-07-31,0.5194
2015-08-31,-1.2648
2015-09-30,-0.6227
2015-10-30,1.5213
2015-11-30,0.4112
2015-12-31,0.8419
2016-01-29,-1.1725
2016-02-29,1.4485
2016-03-31,2.7342
2016-04-29,0.1129
2016-05-31,-1.2431
2016-06-30,0.9655
2016-07-29,2.6837
2016-08-31,2.3491
2016-09-30,-2.0703
2016-10-31,-5.4266
2016-11-30,-3.5626
2016-12-30,-0.4113
2017-01-31,0.9825
2017-02-28,-0.0057
2017-03-31,-2.6363
2017-04-28,-2.7265
2017-05-31,-1.6754
2017-06-30,0.7557
2017-07-31,0.5057
2017-08-31,-2.2394
2017-09-29,-1.5359
2017-10-31,-2.9950
2017-11-30,2.5155
2017-12-29,2.5931
2018-01-31,3.4676
2018-02-28,-2.0664
2018-03-30,0
2018-04-30,-2.5725
2018-05-31,-0.8370
2018-06-29,0.1629
2018-07-31,1.7464
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
