,MOM_daily_60
2000-01-31,0.0205
2000-02-29,-0.0205
2000-03-31,0.2271
2000-04-28,0.5914
2000-05-31,1.4887
2000-06-30,0.6702
2000-07-31,0.6119
2000-08-31,0.2161
2000-09-29,1.0645
2000-10-31,1.1149
2000-11-30,2.3655
2000-12-29,2.3450
2001-01-31,1.7836
2001-02-28,1.4777
2001-03-30,0.2224
2001-04-30,1.1891
2001-05-31,0.7664
2001-06-29,2.4286
2001-07-31,-0.4763
2001-08-31,-1.8372
2001-09-28,-2.9884
2001-10-31,-0.1467
2001-11-30,1.2821
2001-12-31,3.5530
2002-01-31,2.2394
2002-02-28,0.8721
2002-03-29,0
2002-04-30,-0.2366
2002-05-31,-0.7680
2002-06-28,-0.2366
2002-07-31,-0.5945
2002-08-30,0.6261
2002-09-30,1.7410
2002-10-31,2.7251
2002-11-29,2.2583
2002-12-31,1.3515
2003-01-31,0.3801
2003-02-28,0.2981
2003-03-31,0.5914
2003-04-30,1.2048
2003-05-30,1.6811
2003-06-30,3.3606
2003-07-31,2.2296
2003-08-29,1.6799
2003-09-30,1.5760
2003-10-31,5.2471
2003-11-28,5.2641
2003-12-31,4.5279
2004-01-30,2.8616
2004-02-27,2.6998
2004-03-31,6.2207
2004-04-30,0.8552
2004-05-31,0
2004-06-30,-4.5158
2004-07-30,-2.6502
2004-08-31,-6.9386
2004-09-30,-1.2991
2004-10-29,1.5955
2004-11-30,3.4760
2004-12-31,1.2811
2005-01-31,-1.9834
2005-02-28,-3.1544
2005-03-31,-4.5688
2005-04-29,-2.6602
2005-05-31,-1.0709
2005-06-30,0.6020
2005-07-29,-0.2101
2005-08-31,-0.2998
2005-09-30,-0.9881
2005-10-31,-0.3234
2005-11-30,1.4859
2005-12-30,2.4586
2006-01-31,6.2826
2006-02-28,4.2907
2006-03-31,2.8238
2006-04-28,1.3218
2006-05-31,1.4120
2006-06-30,1.1539
2006-07-31,-0.2331
2006-08-31,2.1758
2006-09-29,2.9061
2006-10-31,3.5217
2006-11-30,4.0526
2006-12-29,2.9770
2007-01-31,1.1233
2007-02-28,-1.7960
2007-03-30,-3.8376
2007-04-30,-4.0219
2007-05-31,0.2483
2007-06-29,-0.0467
2007-07-31,-3.5570
2007-08-31,-0.8910
2007-09-28,1.9529
2007-10-31,6.1324
2007-11-30,3.2299
2007-12-31,0.1599
2008-01-31,-0.5673
2008-02-29,1.3970
2008-03-31,-1.9600
2008-04-30,-5.4850
2008-05-30,-6.8695
2008-06-30,-11.1035
2008-07-31,-8.7091
2008-08-29,-9.6011
2008-09-30,-5.0082
2008-10-31,-5.4102
2008-11-28,-6.3212
2008-12-31,-1.5877
2009-01-30,-1.5985
2009-02-27,-0.5958
2009-03-31,-2.4327
2009-04-30,1.3626
2009-05-29,6.3553
2009-06-30,2.9908
2009-07-31,2.6458
2009-08-31,2.7671
2009-09-30,5.3162
2009-10-30,-1.1997
2009-11-30,-1.1836
2009-12-31,-1.3734
2010-01-29,-0.0366
2010-02-26,-0.8998
2010-03-31,-0.8184
2010-04-30,1.6893
2010-05-31,0
2010-06-30,-2.7840
2010-07-30,-3.8568
2010-08-31,-2.8359
2010-09-30,-1.0848
2010-10-29,0.0430
2010-11-30,-0.0852
2010-12-31,2.5144
2011-01-31,0.5603
2011-02-28,0.6438
2011-03-31,-1.1882
2011-04-29,0.3906
2011-05-31,0.4392
2011-06-30,0.8904
2011-07-29,0.8072
2011-08-31,-0.5607
2011-09-30,-2.5501
2011-10-31,1.0555
2011-11-30,2.0950
2011-12-30,1.8993
2012-01-31,-1.0306
2012-02-29,-1.3070
2012-03-30,-0.2959
2012-04-30,-0.5017
2012-05-31,-0.3458
2012-06-29,-0.7167
2012-07-31,-2.8717
2012-08-31,-1.1189
2012-09-28,-1.9896
2012-10-31,1.2393
2012-11-30,1.3230
2012-12-31,0.7464
2013-01-31,1.8421
2013-02-28,1.5731
2013-03-29,0
2013-04-30,1.0892
2013-05-31,0.8275
2013-06-28,0.4051
2013-07-31,0.9000
2013-08-30,1.1900
2013-09-30,1.6881
2013-10-31,-0.0296
2013-11-29,-1.2906
2013-12-31,-0.5565
2014-01-31,-3.7412
2014-02-28,-1.6018
2014-03-31,-2.6744
2014-04-30,-1.1116
2014-05-30,-1.9159
2014-06-30,1.6512
2014-07-31,3.4056
2014-08-29,3.3674
2014-09-30,1.0823
2014-10-31,0.1574
2014-11-28,0.6638
2014-12-31,0.2782
2015-01-30,0.5068
2015-02-27,0.6342
2015-03-31,0.1750
2015-04-30,2.6220
2015-05-29,0.1010
2015-06-30,0.0622
2015-07-31,-0.8781
2015-08-31,-0.4736
2015-09-30,-1.3288
2015-10-30,-1.7709
2015-11-30,-0.9754
2015-12-31,0.1327
2016-01-29,-1.2457
2016-02-29,-0.6295
2016-03-31,1.8304
2016-04-29,2.9936
2016-05-31,2.6974
2016-06-30,1.0166
2016-07-29,2.8558
2016-08-31,2.8191
2016-09-30,5.1675
2016-10-31,6.0308
2016-11-30,1.7503
2016-12-30,0.4750
2017-01-31,-1.2118
2017-02-28,1.1834
2017-03-31,-1.6237
2017-04-28,-3.4153
2017-05-31,-8.1271
2017-06-30,-4.1347
2017-07-31,-1.7385
2017-08-31,1.8120
2017-09-29,5.7413
2017-10-31,2.8860
2017-11-30,6.0205
2017-12-29,2.0902
2018-01-31,4.7420
2018-02-28,-0.8506
2018-03-30,0
2018-04-30,-1.0085
2018-05-31,-1.9551
2018-06-29,-2.7792
2018-07-31,-2.1333
2018-08-31,-2.9178
2018-09-28,-2.5101
2018-10-31,-3.0174
2018-11-30,-1.3943
2018-12-31,-3.6348
