,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,-3.1747
2016-03-31,-2.1862
2016-04-29,0.7034
2016-05-31,2.3573
2016-06-30,3.5027
2016-07-29,2.7945
2016-08-31,2.2717
2016-09-30,2.8325
2016-10-31,2.0436
2016-11-30,1.7109
2016-12-30,-0.4943
2017-01-31,1.5874
2017-02-28,-1.7299
2017-03-31,-0.9125
2017-04-28,2.0056
2017-05-31,3.0131
2017-06-30,0.8840
2017-07-31,-0.8745
2017-08-31,2.3383
2017-09-29,5.4560
2017-10-31,7.5566
2017-11-30,5.8267
2017-12-29,5.8077
2018-01-31,7.0053
2018-02-28,10.1230
2018-03-30,0
2018-04-30,11.2732
2018-05-31,-1.2072
2018-06-29,-3.8306
2018-07-31,1.2357
2018-08-31,8.7258
2018-09-28,17.8413
2018-10-31,12.2047
2018-11-30,-9.6478
2018-12-31,-11.6853
2019-01-31,2.8938
2019-02-28,16.0760
2019-03-29,14.2300
2019-04-30,5.6700
2019-05-31,13.9500
2019-06-28,9.9500
2019-07-31,12.7400
2019-08-30,14.0700
2019-09-30,-0.8400
2019-10-31,-18.7800
2019-11-29,-11.2600
2019-12-31,7.6800
2020-01-31,7.0100
2020-02-28,-3.4200
2020-03-31,-18.0600
2020-04-30,-5.9700
2020-05-29,20.9800
2020-06-30,43.3500
2020-07-31,15.3500
2020-08-31,21.5900
2020-09-30,18.6500
2020-10-30,2.8100
2020-11-30,28.6700
2020-12-31,36.9800
2021-01-29,20.8800
2021-02-26,13.6400
2021-03-31,-12.5400
2021-04-30,17.5100
2021-05-31,0
2021-06-30,18.1100
2021-07-30,15.6000
2021-08-31,-6.0400
2021-09-30,-0.7000
2021-10-29,4.3600
2021-11-30,-18.2000
2021-12-31,-25.0600
2022-01-31,-40.2400
2022-02-28,-15.9900
2022-03-31,-24.2300
