,MOM_daily_60
2000-01-31,3.6140
2000-02-29,1.3857
2000-03-31,0.8399
2000-04-28,-1.0837
2000-05-31,0.6197
2000-06-30,-1.9135
2000-07-31,-0.4566
2000-08-31,-2.5252
2000-09-29,-4.7587
2000-10-31,1.9397
2000-11-30,-0.9137
2000-12-29,2.3801
2001-01-31,0.9732
2001-02-28,3.8290
2001-03-30,-1.0062
2001-04-30,0.0020
2001-05-31,0.6690
2001-06-29,2.0971
2001-07-31,-0.4309
2001-08-31,-4.4240
2001-09-28,-5.9802
2001-10-31,-3.1388
2001-11-30,3.0611
2001-12-31,6.9028
2002-01-31,2.9242
2002-02-28,2.4903
2002-03-29,0
2002-04-30,-0.3043
2002-05-31,-2.1163
2002-06-28,-14.4387
2002-07-31,-9.8043
2002-08-30,-4.7702
2002-09-30,3.5199
2002-10-31,1.6259
2002-11-29,3.2470
2002-12-31,4.0463
2003-01-31,-0.8012
2003-02-28,-5.1036
2003-03-31,-3.9064
2003-04-30,0.9709
2003-05-30,5.6886
2003-06-30,4.5824
2003-07-31,3.0956
2003-08-29,2.0335
2003-09-30,-0.0766
2003-10-31,2.5686
2003-11-28,-0.1567
2003-12-31,4.3041
2004-01-30,0.7711
2004-02-27,0.6190
2004-03-31,-2.3945
2004-04-30,-0.5714
2004-05-31,0
2004-06-30,-1.9606
2004-07-30,-3.4233
2004-08-31,-3.6062
2004-09-30,1.1191
2004-10-29,3.2453
2004-11-30,3.9173
2004-12-31,3.2784
2005-01-31,1.6805
2005-02-28,2.9321
2005-03-31,1.3552
2005-04-29,-0.6840
2005-05-31,-2.5035
2005-06-30,-2.1051
2005-07-29,-0.0806
2005-08-31,-0.3518
2005-09-30,1.2779
2005-10-31,-0.3208
2005-11-30,0.9499
2005-12-30,1.8538
2006-01-31,-0.3353
2006-02-28,-1.4879
2006-03-31,-1.0198
2006-04-28,2.3696
2006-05-31,5.0564
2006-06-30,2.0745
2006-07-31,-0.6391
2006-08-31,-2.7003
2006-09-29,1.6752
2006-10-31,4.7285
2006-11-30,4.4864
2006-12-29,3.6771
2007-01-31,1.5502
2007-02-28,0.2985
2007-03-30,0.3661
2007-04-30,0.0204
2007-05-31,0.3384
2007-06-29,1.0991
2007-07-31,-0.3024
2007-08-31,-0.3020
2007-09-28,-2.9695
2007-10-31,-2.4872
2007-11-30,-2.0354
2007-12-31,-0.6345
2008-01-31,-3.0150
2008-02-29,-2.3097
2008-03-31,-1.3856
2008-04-30,0.6006
2008-05-30,2.7977
2008-06-30,-0.0397
2008-07-31,-4.2308
2008-08-29,-3.4181
2008-09-30,-2.2151
2008-10-31,-8.9665
2008-11-28,-8.8475
2008-12-31,-5.5744
2009-01-30,-2.1605
2009-02-27,-1.4376
2009-03-31,-3.2606
2009-04-30,3.2427
2009-05-29,4.5350
2009-06-30,3.1927
2009-07-31,0.9087
2009-08-31,2.5865
2009-09-30,4.5463
2009-10-30,-0.1695
2009-11-30,1.1617
2009-12-31,1.9678
2010-01-29,0.5159
2010-02-26,0.0323
2010-03-31,-0.4220
2010-04-30,4.1007
2010-05-31,0
2010-06-30,-3.4548
2010-07-30,-2.7621
2010-08-31,-0.6555
2010-09-30,3.7088
2010-10-29,3.7955
2010-11-30,6.1179
2010-12-31,4.4207
2011-01-31,-0.2327
2011-02-28,3.3002
2011-03-31,2.1513
2011-04-29,2.2730
2011-05-31,-1.9923
2011-06-30,-0.2247
2011-07-29,-0.8316
2011-08-31,-3.0928
2011-09-30,-8.6637
