,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,2.5465
2007-04-30,0.2257
2007-05-31,-4.3431
2007-06-29,-11.1914
2007-07-31,-10.0655
2007-08-31,-5.6016
2007-09-28,-4.2044
2007-10-31,-1.9860
2007-11-30,-8.3446
2007-12-31,-10.5105
2008-01-31,-2.4976
2008-02-29,-2.9045
2008-03-31,-0.5996
2008-04-30,-4.6241
2008-05-30,0.1855
2008-06-30,-5.4394
2008-07-31,-4.9561
2008-08-29,-7.0115
2008-09-30,-4.1453
2008-10-31,-3.9917
2008-11-28,-6.5068
2008-12-31,0.5403
2009-01-30,-0.8715
2009-02-27,-0.5926
2009-03-31,-4.1220
2009-04-30,1.8127
2009-05-29,4.7495
2009-06-30,2.5795
2009-07-31,1.3333
2009-08-31,2.5098
2009-09-30,6.4401
2009-10-30,1.2549
2009-11-30,-0.6187
2009-12-31,-0.4183
2010-01-29,1.2811
2010-02-26,4.6972
2010-03-31,2.5970
2010-04-30,3.9652
2010-05-31,0
2010-06-30,-3.1896
2010-07-30,-3.3639
2010-08-31,-4.7321
2010-09-30,-0.0436
2010-10-29,4.1830
2010-11-30,4.2963
2010-12-31,3.5382
2011-01-31,-0.7320
2011-02-28,-3.6253
2011-03-31,-4.5665
2011-04-29,-5.1765
2011-05-31,-4.6972
2011-06-30,-4.9238
2011-07-29,-1.8562
2011-08-31,-0.2963
2011-09-30,-2.6493
2011-10-31,-1.5686
2011-11-30,-0.5316
2011-12-30,-0.2440
2012-01-31,0.3660
2012-02-29,0.9063
2012-03-30,0.7407
2012-04-30,-0.8715
2012-05-31,-0.1481
2012-06-29,-0.3834
2012-07-31,0.0784
2012-08-31,1.2225
2012-09-28,2.1096
2012-10-31,2.1428
2012-11-30,3.5816
2012-12-31,1.8751
2013-01-31,2.8833
2013-02-28,1.7471
2013-03-29,0
2013-04-30,0.6677
2013-05-31,1.1357
2013-06-28,0.3492
2013-07-31,1.0400
2013-08-30,-0.3751
2013-09-30,1.8965
2013-10-31,4.0141
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
