,MOM_daily_60
2000-01-31,-0.7745
2000-02-29,-1.5652
2000-03-31,-0.0583
2000-04-28,0.5579
2000-05-31,2.9228
2000-06-30,1.8946
2000-07-31,0.4722
2000-08-31,-0.2027
2000-09-29,-0.4744
2000-10-31,-1.1404
2000-11-30,-1.1047
2000-12-29,0.6829
2001-01-31,-0.2416
2001-02-28,-0.0629
2001-03-30,0.1599
2001-04-30,0.5127
2001-05-31,-0.0285
2001-06-29,-0.6090
2001-07-31,-0.1102
2001-08-31,0.6382
2001-09-28,0.5653
2001-10-31,-0.0425
2001-11-30,-0.4680
2001-12-31,0.3149
2002-01-31,0.5689
2002-02-28,0.5330
2002-03-29,0
2002-04-30,0.2548
2002-05-31,-0.5975
2002-06-28,-0.7429
2002-07-31,-1.0369
2002-08-30,0.9195
2002-09-30,-0.0157
2002-10-31,0.1554
2002-11-29,-0.5058
2002-12-31,0.1469
2003-01-31,-0.8881
2003-02-28,-0.6620
2003-03-31,-0.9664
2003-04-30,-0.7439
2003-05-30,1.6795
2003-06-30,1.0566
2003-07-31,0.1969
2003-08-29,-1.2446
2003-09-30,-0.9731
2003-10-31,0.4582
2003-11-28,0.7152
2003-12-31,1.0695
2004-01-30,1.3393
2004-02-27,1.6553
2004-03-31,0.5539
2004-04-30,-0.4781
2004-05-31,0
2004-06-30,-1.0716
2004-07-30,-0.3985
2004-08-31,1.4562
2004-09-30,1.0216
2004-10-29,1.3854
2004-11-30,0.6950
2004-12-31,0.7750
2005-01-31,0.7282
2005-02-28,0.6289
2005-03-31,0.2385
2005-04-29,-0.2607
2005-05-31,0.1067
2005-06-30,1.8899
2005-07-29,1.2318
2005-08-31,0.0300
2005-09-30,-0.1797
2005-10-31,-1.1394
2005-11-30,-0.6526
2005-12-30,0.1281
2006-01-31,1.2141
2006-02-28,1.3888
2006-03-31,0.1106
2006-04-28,0.2013
2006-05-31,-0.0538
2006-06-30,0.4469
2006-07-31,0.9495
2006-08-31,1.4759
2006-09-29,0.4889
2006-10-31,0.9386
2006-11-30,0.7947
2006-12-29,0.9881
2007-01-31,0.2335
2007-02-28,0.5941
2007-03-30,1.8004
2007-04-30,2.4146
2007-05-31,2.2500
2007-06-29,-0.6047
2007-07-31,-1.5466
2007-08-31,0.4595
2007-09-28,-0.8140
2007-10-31,0.8875
2007-11-30,0.4257
2007-12-31,1.2839
2008-01-31,-1.4193
2008-02-29,-1.6745
2008-03-31,-2.6405
2008-04-30,-0.8763
2008-05-30,1.2157
2008-06-30,0.6732
2008-07-31,0.0787
2008-08-29,-0.8129
2008-09-30,-1.2000
2008-10-31,-2.4216
2008-11-28,-3.8950
2008-12-31,-2.4168
2009-01-30,-1.6879
2009-02-27,-0.8961
2009-03-31,-3.6626
2009-04-30,-3.8064
2009-05-29,0.7321
2009-06-30,0.8156
2009-07-31,1.3538
2009-08-31,0.8630
2009-09-30,1.6126
2009-10-30,0.6901
2009-11-30,1.7729
2009-12-31,1.6807
2010-01-29,1.4171
2010-02-26,0.5669
2010-03-31,0.3831
2010-04-30,0.3929
2010-05-31,0
2010-06-30,-1.2725
2010-07-30,0.4268
2010-08-31,2.0197
2010-09-30,1.8624
2010-10-29,1.7491
2010-11-30,0.1016
2010-12-31,-0.3741
2011-01-31,-0.2862
2011-02-28,0.3512
2011-03-31,0.4405
2011-04-29,0.6495
2011-05-31,1.0770
2011-06-30,0.8701
2011-07-29,-0.3859
2011-08-31,0.2220
2011-09-30,-0.6538
2011-10-31,1.5544
2011-11-30,0.8188
2011-12-30,1.7417
2012-01-31,0.2587
2012-02-29,-0.0681
2012-03-30,-0.9432
2012-04-30,-0.5400
2012-05-31,-0.0615
2012-06-29,0.8370
2012-07-31,1.1250
2012-08-31,0.0169
2012-09-28,-0.2586
2012-10-31,0.1840
2012-11-30,0.4868
2012-12-31,0.7989
2013-01-31,0.1292
2013-02-28,0.7127
2013-03-29,0
2013-04-30,2.9982
2013-05-31,0.2307
2013-06-28,-0.9906
2013-07-31,-1.0741
2013-08-30,-1.4186
2013-09-30,-0.5756
2013-10-31,-0.7520
2013-11-29,0.8691
2013-12-31,1.0148
2014-01-31,0.3214
2014-02-28,1.5561
2014-03-31,1.7802
2014-04-30,7.2492
2014-05-30,7.2609
2014-06-30,6.9812
2014-07-31,-0.1731
2014-08-29,-0.0270
2014-09-30,-0.5870
2014-10-31,0.8472
2014-11-28,0.3881
2014-12-31,0.2731
2015-01-30,0.3445
2015-02-27,-0.0571
2015-03-31,-0.0395
2015-04-30,-1.1406
2015-05-29,0.3480
2015-06-30,0.3028
2015-07-31,0.6586
2015-08-31,-3.7061
2015-09-30,-2.4171
2015-10-30,0.0661
2015-11-30,2.8719
2015-12-31,0.0576
2016-01-29,0.3118
2016-02-29,0.3760
2016-03-31,1.0300
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
