,MOM_daily_60
2000-01-31,1.6187
2000-02-29,1.6811
2000-03-31,-1.7100
2000-04-28,-2.7331
2000-05-31,-2.6130
2000-06-30,-1.8300
2000-07-31,-1.6811
2000-08-31,0.3939
2000-09-29,-0.8982
2000-10-31,-0.5091
2000-11-30,-1.9501
2000-12-29,-1.0807
2001-01-31,0.7493
2001-02-28,1.3833
2001-03-30,0.1201
2001-04-30,-0.8598
2001-05-31,-0.6917
2001-06-29,0.7445
2001-07-31,-0.5812
2001-08-31,0.2161
2001-09-28,-0.6677
2001-10-31,-0.1681
2001-11-30,1.3113
2001-12-31,2.2191
2002-01-31,1.2585
2002-02-28,0.9943
2002-03-29,0
2002-04-30,0.9799
2002-05-31,0.4467
2002-06-28,-0.1921
2002-07-31,-1.6571
2002-08-30,-2.6898
2002-09-30,-3.1077
2002-10-31,-0.2930
2002-11-29,2.7667
2002-12-31,2.4881
2003-01-31,0.9126
2003-02-28,-0.8262
2003-03-31,-0.0288
2003-04-30,0.8310
2003-05-30,0.8358
2003-06-30,-0.3939
2003-07-31,-0.0769
2003-08-29,2.4208
2003-09-30,2.3296
2003-10-31,3.5784
2003-11-28,1.4698
2003-12-31,1.2200
2004-01-30,-0.3026
2004-02-27,-0.7781
2004-03-31,-0.4515
2004-04-30,-0.1307
2004-05-31,0
2004-06-30,1.6306
2004-07-30,1.4031
2004-08-31,0.6387
2004-09-30,0.5854
2004-10-29,0.9919
2004-11-30,1.3305
2004-12-31,1.6789
2005-01-31,1.3257
2005-02-28,-0.6967
2005-03-31,-0.5649
2005-04-29,-1.6573
2005-05-31,0.3821
2005-06-30,0.1390
2005-07-29,1.8582
2005-08-31,-0.1609
2005-09-30,0.0585
2005-10-31,0.5560
2005-11-30,0.9584
2005-12-30,0.9437
2006-01-31,0.1536
2006-02-28,1.0535
2006-03-31,2.2965
2006-04-28,2.3021
2006-05-31,-0.7890
2006-06-30,-1.5790
2006-07-31,-3.6745
2006-08-31,-0.7969
2006-09-29,0.2730
2006-10-31,2.0291
2006-11-30,1.8225
2006-12-29,0.5239
2007-01-31,0.4132
2007-02-28,0.1992
2007-03-30,-0.1991
2007-04-30,-0.6504
2007-05-31,0.1265
2007-06-29,-1.7460
2007-07-31,-1.6863
2007-08-31,-0.1940
2007-09-28,-2.3354
2007-10-31,-0.1939
2007-11-30,0.4626
2007-12-31,1.0297
2008-01-31,1.5221
2008-02-29,-1.0446
2008-03-31,0.1694
2008-04-30,-0.9019
2008-05-30,1.0120
2008-06-30,0.3784
2008-07-31,0.2649
2008-08-29,-0.0833
2008-09-30,-0.4844
2008-10-31,-2.9063
2008-11-28,-5.4947
2008-12-31,-1.1807
2009-01-30,-2.1192
2009-02-27,0.6282
2009-03-31,-0.4527
2009-04-30,3.3931
2009-05-29,3.8164
2009-06-30,0.6410
2009-07-31,0.7273
2009-08-31,1.1168
2009-09-30,3.3926
2009-10-30,-0.3752
2009-11-30,1.5683
2009-12-31,1.2284
2010-01-29,1.2944
2010-02-26,1.9363
2010-03-31,-0.7711
2010-04-30,-0.1634
2010-05-31,0
2010-06-30,-3.7632
2010-07-30,-2.1383
2010-08-31,-2.1701
2010-09-30,1.2285
2010-10-29,0.3203
2010-11-30,2.3020
2010-12-31,1.5042
2011-01-31,1.5573
2011-02-28,-0.7038
2011-03-31,-2.6823
2011-04-29,-0.8422
2011-05-31,-2.7551
2011-06-30,-3.5655
2011-07-29,-3.7763
2011-08-31,-0.4201
2011-09-30,-1.9779
2011-10-31,0.5783
2011-11-30,0.7016
2011-12-30,0.1185
2012-01-31,0.2821
2012-02-29,0.3539
2012-03-30,1.4820
2012-04-30,0.8118
2012-05-31,-1.7155
2012-06-29,-2.3501
2012-07-31,-1.6254
2012-08-31,-1.4278
2012-09-28,-1.2534
2012-10-31,-1.0620
2012-11-30,0.7761
2012-12-31,0.0470
2013-01-31,1.7612
2013-02-28,1.3106
2013-03-29,0
2013-04-30,-0.1334
2013-05-31,2.3244
2013-06-28,2.1956
2013-07-31,2.7474
2013-08-30,-0.8405
2013-09-30,-1.0219
2013-10-31,-0.4472
2013-11-29,1.3598
2013-12-31,1.0294
2014-01-31,-2.4850
2014-02-28,-1.5208
2014-03-31,-3.5392
2014-04-30,-0.2282
2014-05-30,-1.7398
2014-06-30,-0.9886
2014-07-31,-0.7822
2014-08-29,0.5270
2014-09-30,0.8701
2014-10-31,1.4354
2014-11-28,1.2759
2014-12-31,5.6955
2015-01-30,3.8148
2015-02-27,2.6416
2015-03-31,-1.0742
2015-04-30,-2.2889
2015-05-29,-0.0050
2015-06-30,-0.5864
2015-07-31,-1.3615
2015-08-31,-1.9118
2015-09-30,-3.4656
2015-10-30,-0.8349
2015-11-30,-1.4572
2015-12-31,-2.5346
2016-01-29,-3.6993
2016-02-29,-2.3798
2016-03-31,1.5135
2016-04-29,1.5138
2016-05-31,-0.6443
2016-06-30,-2.1502
2016-07-29,-0.8800
2016-08-31,-0.1792
2016-09-30,0.0959
2016-10-31,-1.5869
2016-11-30,1.1721
2016-12-30,0.8851
2017-01-31,1.8765
2017-02-28,-0.5473
2017-03-31,-0.2493
2017-04-28,0.8537
2017-05-31,0.3288
2017-06-30,0.4434
2017-07-31,0.6713
2017-08-31,1.1852
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
