,MOM_daily_60
2000-01-31,-0.7500
2000-02-29,-1.4638
2000-03-31,-0.3739
2000-04-28,0.6762
2000-05-31,3.5343
2000-06-30,1.1826
2000-07-31,0.0868
2000-08-31,-0.0569
2000-09-29,1.4530
2000-10-31,3.1096
2000-11-30,3.7925
2000-12-29,4.2815
2001-01-31,0.8917
2001-02-28,-0.1702
2001-03-30,-0.5715
2001-04-30,0.5166
2001-05-31,2.1067
2001-06-29,0.5036
2001-07-31,-0.7026
2001-08-31,-0.9151
2001-09-28,-2.0705
2001-10-31,-1.2923
2001-11-30,-1.8661
2001-12-31,-0.0989
2002-01-31,3.1536
2002-02-28,2.9557
2002-03-29,0
2002-04-30,-0.0224
2002-05-31,-1.0695
2002-06-28,-0.8726
2002-07-31,-1.3527
2002-08-30,0.7719
2002-09-30,1.1929
2002-10-31,2.1802
2002-11-29,0.1310
2002-12-31,0.5129
2003-01-31,-1.5690
2003-02-28,-1.0492
2003-03-31,-3.0294
2003-04-30,-0.2498
2003-05-30,3.9919
2003-06-30,2.0140
2003-07-31,0.8258
2003-08-29,0.3474
2003-09-30,1.2820
2003-10-31,2.3270
2003-11-28,2.8391
2003-12-31,2.2732
2004-01-30,2.3704
2004-02-27,2.2423
2004-03-31,1.5609
2004-04-30,0.5147
2004-05-31,0
2004-06-30,-1.2950
2004-07-30,-2.4245
2004-08-31,-2.9536
2004-09-30,-2.9140
2004-10-29,-0.8162
2004-11-30,1.2215
2004-12-31,4.8329
2005-01-31,0.3179
2005-02-28,-0.4121
2005-03-31,-0.7071
2005-04-29,-0.0043
2005-05-31,1.6177
2005-06-30,0.0254
2005-07-29,0.2821
2005-08-31,-2.4611
2005-09-30,-2.9629
2005-10-31,-1.3080
2005-11-30,-0.3048
2005-12-30,-0.2471
2006-01-31,0.1653
2006-02-28,-1.2758
2006-03-31,0.5838
2006-04-28,-0.4658
2006-05-31,0.8034
2006-06-30,-0.7555
2006-07-31,-0.9344
2006-08-31,0.5896
2006-09-29,1.7579
2006-10-31,4.6586
2006-11-30,2.7215
2006-12-29,2.3854
2007-01-31,-0.2386
2007-02-28,-1.9098
2007-03-30,-1.4273
2007-04-30,-1.1711
2007-05-31,1.0316
2007-06-29,-0.2743
2007-07-31,-1.0126
2007-08-31,0.8557
2007-09-28,1.5976
2007-10-31,1.3257
2007-11-30,-0.2588
2007-12-31,-2.2771
