,MOM_daily_60
2000-01-31,1.7439
2000-02-29,-2.3805
2000-03-31,-1.3243
2000-04-28,-0.5217
2000-05-31,2.8048
2000-06-30,3.5623
2000-07-31,3.3931
2000-08-31,3.6171
2000-09-29,4.2815
2000-10-31,9.3043
2000-11-30,7.4505
2000-12-29,2.7638
2001-01-31,-2.1716
2001-02-28,-0.1374
2001-03-30,1.0700
2001-04-30,0.5846
2001-05-31,-2.4649
2001-06-29,-3.6989
2001-07-31,-6.0999
2001-08-31,-4.4039
2001-09-28,-0.2687
2001-10-31,-0.6354
2001-11-30,-1.2365
2001-12-31,-0.6467
2002-01-31,3.3994
2002-02-28,4.9358
2002-03-29,0
2002-04-30,1.5367
2002-05-31,-0.5728
2002-06-28,-0.5997
2002-07-31,-1.8576
2002-08-30,-1.6279
2002-09-30,-4.6948
2002-10-31,-0.4871
2002-11-29,-2.8809
2002-12-31,-1.7177
2003-01-31,-1.6974
2003-02-28,-0.3142
2003-03-31,-0.3946
2003-04-30,1.2612
2003-05-30,1.6617
2003-06-30,-0.9640
2003-07-31,-2.0482
2003-08-29,-0.0234
2003-09-30,0.3912
2003-10-31,3.2350
2003-11-28,3.4277
2003-12-31,2.7505
2004-01-30,-0.5665
2004-02-27,-0.9144
2004-03-31,-1.5464
2004-04-30,0.0154
2004-05-31,0
2004-06-30,2.2315
2004-07-30,0.9776
2004-08-31,1.4551
2004-09-30,-0.3500
2004-10-29,0.1715
2004-11-30,0.6431
2004-12-31,1.3388
2005-01-31,4.1679
2005-02-28,2.7170
2005-03-31,2.8507
2005-04-29,-0.3747
2005-05-31,0.2453
2005-06-30,1.1383
2005-07-29,2.6946
2005-08-31,0.4351
2005-09-30,-2.0736
2005-10-31,-1.2550
2005-11-30,-0.0250
2005-12-30,0.3161
2006-01-31,-0.9011
2006-02-28,-0.5294
2006-03-31,-0.5521
2006-04-28,-0.9453
2006-05-31,-2.2176
2006-06-30,0.9976
2006-07-31,4.1401
2006-08-31,5.7907
2006-09-29,-0.7655
2006-10-31,-3.2728
2006-11-30,-7.0359
2006-12-29,0.7696
2007-01-31,2.3019
2007-02-28,2.8441
2007-03-30,-0.0710
2007-04-30,-1.2429
2007-05-31,0.5344
2007-06-29,-1.6835
2007-07-31,-0.3983
2007-08-31,0.8588
2007-09-28,2.4244
2007-10-31,-4.0765
2007-11-30,-5.9504
2007-12-31,-1.1306
2008-01-31,-2.8220
2008-02-29,0.1474
2008-03-31,0.6049
2008-04-30,-0.3599
2008-05-30,-0.1178
2008-06-30,-3.7772
2008-07-31,-0.6835
2008-08-29,-0.1139
2008-09-30,-0.4613
2008-10-31,-6.9271
2008-11-28,-7.2230
2008-12-31,-1.9742
2009-01-30,2.0950
2009-02-27,0.6494
2009-03-31,0.3753
2009-04-30,2.7446
2009-05-29,5.1437
2009-06-30,1.8771
2009-07-31,-0.0330
2009-08-31,2.3208
2009-09-30,6.3641
2009-10-30,5.4153
2009-11-30,3.9890
2009-12-31,-1.0641
2010-01-29,-1.8451
2010-02-26,-2.5639
2010-03-31,-0.0441
2010-04-30,0.4910
2010-05-31,0
2010-06-30,-7.7758
2010-07-30,-5.1873
2010-08-31,-2.1758
2010-09-30,4.8313
2010-10-29,4.3468
2010-11-30,4.9843
2010-12-31,3.7763
2011-01-31,4.0486
2011-02-28,5.8480
2011-03-31,0.4891
2011-04-29,0.6908
2011-05-31,1.1766
2011-06-30,1.1357
2011-07-29,-2.6822
2011-08-31,-5.6334
2011-09-30,-8.2955
2011-10-31,-2.7213
2011-11-30,-0.8621
2011-12-30,0.1999
2012-01-31,0.4584
2012-02-29,-0.3801
2012-03-30,0.6719
2012-04-30,1.3420
2012-05-31,-1.6354
2012-06-29,-2.6901
2012-07-31,2.2729
2012-08-31,3.9014
2012-09-28,5.2865
2012-10-31,-0.2296
2012-11-30,-1.1749
2012-12-31,0.3144
2013-01-31,4.1975
2013-02-28,5.7237
2013-03-29,0
2013-04-30,7.4693
2013-05-31,6.3640
2013-06-28,-1.6926
2013-07-31,2.1216
2013-08-30,0.1111
2013-09-30,7.8531
2013-10-31,7.8809
2013-11-29,7.4431
2013-12-31,1.5580
2014-01-31,-1.9961
2014-02-28,7.3635
2014-03-31,7.7977
2014-04-30,10.1570
2014-05-30,3.0294
2014-06-30,5.9493
2014-07-31,0.2432
2014-08-29,-11.9523
2014-09-30,-11.3339
2014-10-31,2.9969
2014-11-28,5.2918
2014-12-31,12.9807
2015-01-30,7.4473
2015-02-27,12.8267
2015-03-31,7.4040
2015-04-30,6.9557
2015-05-29,2.5963
2015-06-30,-2.6625
2015-07-31,11.4376
2015-08-31,2.4733
2015-09-30,-3.1594
2015-10-30,-7.1993
2015-11-30,-3.1936
2015-12-31,1.1903
2016-01-29,-5.3642
2016-02-29,-3.8947
2016-03-31,1.3203
2016-04-29,2.3664
2016-05-31,-1.4190
2016-06-30,-0.0334
2016-07-29,-1.5708
2016-08-31,1.6440
2016-09-30,0.4086
2016-10-31,2.1642
2016-11-30,2.9298
2016-12-30,2.2134
2017-01-31,0.3198
2017-02-28,1.7280
2017-03-31,0.3758
2017-04-28,4.9925
2017-05-31,-3.8325
2017-06-30,-2.1396
2017-07-31,-4.2766
2017-08-31,0.3774
2017-09-29,-0.1025
2017-10-31,-12.7566
2017-11-30,-7.3837
2017-12-29,-2.4075
2018-01-31,7.6536
2018-02-28,-2.9975
2018-03-30,0
2018-04-30,-7.9715
2018-05-31,-6.1052
2018-06-29,-3.7093
2018-07-31,3.6690
2018-08-31,4.7157
2018-09-28,9.6030
2018-10-31,11.5652
2018-11-30,15.0447
2018-12-31,-4.4938
2019-01-31,-6.3854
2019-02-28,-11.7037
2019-03-29,-3.8794
2019-04-30,-15.9137
2019-05-31,-10.1004
2019-06-28,0.2584
2019-07-31,0.9159
2019-08-30,0.5995
2019-09-30,0.5518
2019-10-31,2.5048
2019-11-29,6.9830
2019-12-31,5.8192
2020-01-31,-7.6323
2020-02-28,-11.9597
2020-03-31,-11.7955
2020-04-30,-7.9098
2020-05-29,-4.8385
2020-06-30,1.9862
2020-07-31,-0.0200
