,MOM_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,-0.1596
2001-04-30,1.5845
2001-05-31,0.6361
2001-06-29,-0.4985
2001-07-31,-0.5286
2001-08-31,-1.3532
2001-09-28,-0.3192
2001-10-31,1.2491
2001-11-30,0.7460
2001-12-31,0.9368
2002-01-31,-0.3851
2002-02-28,0.8987
2002-03-29,0
2002-04-30,1.3150
2002-05-31,0.1596
2002-06-28,0.3053
2002-07-31,-0.8154
2002-08-30,0.3019
2002-09-30,0.3331
2002-10-31,2.0471
2002-11-29,1.4330
2002-12-31,1.2491
2003-01-31,0.5343
2003-02-28,0.3504
2003-03-31,-0.0752
2003-04-30,0.5968
2003-05-30,1.2919
2003-06-30,0.6986
2003-07-31,-0.3007
2003-08-29,-0.3747
2003-09-30,0.8605
2003-10-31,1.7811
2003-11-28,2.1466
2003-12-31,3.1135
2004-01-30,1.2028
2004-02-27,1.7673
2004-03-31,1.4434
2004-04-30,3.0233
2004-05-31,0
2004-06-30,2.7642
2004-07-30,1.4342
2004-08-31,1.6655
2004-09-30,1.0236
2004-10-29,3.2905
2004-11-30,4.4470
2004-12-31,0.8327
2005-01-31,1.2549
2005-02-28,5.9911
2005-03-31,6.2378
2005-04-29,1.8370
2005-05-31,-2.2303
2005-06-30,-0.9638
2005-07-29,3.9863
2005-08-31,6.5925
2005-09-30,6.7159
2005-10-31,5.1738
2005-11-30,0.7633
2005-12-30,0.7171
2006-01-31,3.9941
2006-02-28,0.9253
2006-03-31,-1.3416
2006-04-28,-5.4745
2006-05-31,-0.8173
2006-06-30,0.0283
2006-07-31,3.6404
2006-08-31,3.0990
2006-09-29,-1.5947
2006-10-31,-0.2058
2006-11-30,3.9319
2006-12-29,5.3298
2007-01-31,3.3616
2007-02-28,1.1039
2007-03-30,7.9688
2007-04-30,3.0996
2007-05-31,5.7571
2007-06-29,3.2470
2007-07-31,-0.7161
2007-08-31,-3.9094
2007-09-28,1.0200
2007-10-31,8.8425
2007-11-30,3.6278
2007-12-31,1.9421
2008-01-31,-0.5889
2008-02-29,11.9471
2008-03-31,9.5956
2008-04-30,8.1722
2008-05-30,1.9163
2008-06-30,5.4534
2008-07-31,-15.9091
2008-08-29,-11.3415
2008-09-30,-16.8099
2008-10-31,-8.9375
2008-11-28,-8.9908
2008-12-31,-2.7361
2009-01-30,2.3713
2009-02-27,-2.3853
2009-03-31,-6.7334
2009-04-30,-1.6385
2009-05-29,11.1108
2009-06-30,3.5328
2009-07-31,-1.5892
2009-08-31,-1.8119
2009-09-30,7.4981
2009-10-30,1.2329
2009-11-30,5.4392
2009-12-31,5.4791
2010-01-29,3.1125
2010-02-26,3.2417
2010-03-31,-0.0652
2010-04-30,1.2483
2010-05-31,0
2010-06-30,-5.7380
2010-07-30,-4.5017
2010-08-31,-0.0600
2010-09-30,0.0000
2010-10-29,0.0000
2010-11-30,0.0000
2010-12-31,0.0000
2011-01-31,0.0000
2011-02-28,0.0000
2011-03-31,0.0000
2011-04-29,0.0000
2011-05-31,0.0000
2011-06-30,0.0000
2011-07-29,0.0000
2011-08-31,0.0000
2011-09-30,0.0000
2011-10-31,0.0000
2011-11-30,0.0000
2011-12-30,0.0000
2012-01-31,0.0000
2012-02-29,0.0000
2012-03-30,0.0000
